Code,Web description,Brand,model,category,price,EAN,url,image_url
10013512,"SCALA TELESCOPICA PROFESS.FARAONE H3,53m EN131 ALLUMINIO 4+4 GRADINI 11 kg - PORTATA 150 kg",FARAONE,2000000005904,building/materials,168,2000000005904,http://www.bricoman.it/negozio/rezzato/10013512,http://www.bricoman.it/media/foto_articoli/2012/1/10013512.jpg
10013513,"SCALA TELESCOPICA PROFESS.FARAONE H4,65m EN131 ALLUMINIO 5+5 GRADINI 13 kg - PORTATA 150 kg",FARAONE,2000000005911,building/materials,189.5,2000000005911,http://www.bricoman.it/negozio/rezzato/10013513,http://www.bricoman.it/media/foto_articoli/2012/3/10013513.jpg
10014086,BASE P/TRABATTELLO FARAONE PONTAL ALLUMINIO 60x140x150cm PORTATA 150kg EN131,FARAONE,2000000007243,building/materials,164,2000000007243,http://www.bricoman.it/negozio/rezzato/10014086,http://www.bricoman.it/media/foto_articoli/2012/3/10014086.jpg
10014087,INTERMEDIO FARAONE P/TRABATTELLO PONTALE ALLUMINIO 60x140x150cm PORTATA 150kg EN131,FARAONE,2000000007250,building/materials,114.5,2000000007250,http://www.bricoman.it/negozio/rezzato/10014087,http://www.bricoman.it/media/foto_articoli/2012/3/10014087.jpg
10014088,STABILIZZATORI FARAONE P/TRABATTELLO PONTALE ALLUMINIO EN 131,FARAONE,2000000007267,building/materials,79,2000000007267,http://www.bricoman.it/negozio/rezzato/10014088,http://www.bricoman.it/media/foto_articoli/2012/3/10014088.jpg
10014089,PIANO CON BOTOLA FARAONE P/TRABATTELLO PONTALE COMPENSATO MARINO EN 131,FARAONE,2000000007274,building/materials,67.5,2000000007274,http://www.bricoman.it/negozio/rezzato/10014089,http://www.bricoman.it/media/foto_articoli/2013/1/10014089.jpg
10014090,TAVOLA FERMAPIEDE FARAONE P/TRABATTELLO PONTALE COMPENSATO MARINO EN 131,FARAONE,2000000007281,building/materials,54.5,2000000007281,http://www.bricoman.it/negozio/rezzato/10014090,http://www.bricoman.it/media/foto_articoli/2013/1/10014090.JPG
10015291,"SCALA PROFESSIONALE FARAONE H 4m/9,90m ALLUMINIO 3 RAMPE 13+14+14 36 kg - PORTATA 150 kg",FARAONE,S3400/EM,building/materials,399,2000000009629,http://www.bricoman.it/negozio/rezzato/10015291,http://www.bricoman.it/media/foto_articoli/2012/3/10015291.jpg
10015292,"SCALA TELESCOPICA PROFESS.FARAONE H5,79m EN131 ALLUMINIO 6+6GRADINI 15,5 kg - PORTATA 150 kg",FARAONE,2000000009636,building/materials,199,2000000009636,http://www.bricoman.it/negozio/rezzato/10015292,http://www.bricoman.it/media/foto_articoli/2012/3/10015292.jpg
10017905,MEZZO MODULO FARAONE TERMINALE P/PONTALE BASE 60x140cm ALLUMINIO CERTIFICATO UNI EN 1004,FARAONE,2000000015644,building/materials,84.9,2000000015644,http://www.bricoman.it/negozio/rezzato/10017905,http://www.bricoman.it/media/foto_articoli/2013/1/10017905.JPG
