Code,Description,Spicer_Code
GB03077,Acco Slotted Lugg Card Pouch 125mic P100,000531
HX26834,Helix Metric/Imperial Metre Rule X82040,000825
JTCS75,Concord Index 5Part A5 Cs75,000884
JTCS70,Concord Index 1-5 A5 White Cs70,000906
JT02801,Concord Professional Index A4 Tax Year,000914
JT50799,Concord Bright Divider A4 6Pt Asst 50799,001030
JT50999,Concord Bright Divider A4 12Pt Ass 50999,001049
JT74099,Concord Subj Dvdr A4 20Pt Ast 74099/J40,001065
JT71190,Concord Divider 5Part A4 Multi 5Sets,001081
JT72090,Concord Divider 10Part A4 Multipac J20M,00109X
JT60199,Concord Bright Tel/Add Book A-Z Astd Pk5,001189
JT37202,Concord Dbl Pocket Wlt Buff 37202/372,001375
JT37203,Concord Dbl Pocket Wlt Blue 37203/372,001383
JT37204,Concord Dbl Pocket Wlt Green 37204/372,001391
JT37206,Concord Dbl Pocket Wlt Orange 37206/372,001413
JT37208,Concord Dbl Pocket Wlt Red 37208/372,00143X
JT37209,Concord Dbl Pocket Wlt Ylw 37209/372,001448
JT22202,Concord Transfer File 275G Buf 22202/222,001456
JT22203,Concord Transfr File 275G Blue 22203/222,001480
JT22204,Concord Transfer File 275G Grn 22204/222,001499
JT22205,Concord Transfer File 275G Gry 22205/222,001502
JT22206,Concord Transfer File 275G Org 22206/222,001510
JT22207,Concord Transfer File 275G Pnk 22207/222,001529
JT22208,Concord Transfer File 275G Red 22208/222,001537
JT22209,Concord Transfer File 275G Ylw 22209/222,001545
JT27202,Concord Tfr Pkt File 315G Buff 27202/272,001634
JT27203,Concord Tfr Pkt Files 315G Blu 27203/272,001642
JT27204,Concord Tfr Pkt File 315G Grn 27204/272,001650
JT27205,Concord Tfr Pkt File 315G Gry 27205/272,001669
JT27206,Concord Tfr Pkt File 315G Org 27206/272,001677
JT27207,Concord Tfr Pkt File 315G Pnk 27207/272,001685
JT27208,Concord Tfr Pkt File 315G Red 27208/272,001693
JT27505,Concord Tfr Pkt File 450G Gry 27505/275,001731
JT27506,Concord Tfr Pkt File 450G Org 27506/275,00174X
JT27508,Concord Tfr Pkt File 450G Red 27508/275,001766
JT27509,Concord Tfr Pkt File 450G Ylw 27509/275,001774
JT19099,Concord Nine Part File Fcap Asst Pk10,001863
JT43202,Concord Sqcut Fldr 270Gm Buff 43202/432,001871
JT43203,Concord Sqcut Fldr 270Gm Blue 43203/432,00188X
JT43204,Concord Sqcut Fldr 270Gm Grn 43204/432,001898
JT43205,Concord Sqcut Fldr 270Gm Gry 43205/432,001901
JT43206,Concord Sqcut Fldr 270Gm Org 43206/432,00191X
JT43207,Concord Sqcut Fldr 270Gm Pink 43207/432,001928
JT43208,Concord Sqcut Fldr 270Gm Red 43208/432,001936
JT43209,Concord Sqcut Fldr 270Gm Ylw 43209/432,001944
TX801296,Tippex Rapid Fluid 8012969,00215X
EL67208,Rolodex Vip V Business Card Tray Blk,002664
CO20171,Canon Toner Cartridge Black EP27,002924
SAM33327,Samsung Drum Unit SCX-6320R2/SEE,003034
SAM33322,Samsung TnrCart Black SCX-6320D8/SEE,003092
PEXZL31W,Pentel Micro Correct White Xzl31W,003171
SAM36286,Samsung TnrCart HY Black CLP-510D7K,003343
SAM36290,Samsung TnrCart Std Black CLP510D3K,003377
PI27974,Pilot V5 Grip Liquid Ink Rollerball Red,003392
PI27982,Pilot V7 Grip Liquid Ink Rollerball Red,003406
PI13290,Pilot Ballpen Fine Black Bpsgp01,003414
PI13291,Pilot Ballpen Fine Red 203101202,003422
PI13292,Pilot Ballpen Fine Blue Bpsgp03,003430
PIG105R,Pilot Gel Ink Rollerball 0.5Mm Rd G10502,003449
