Number,Code,Manufacturer,Description,Html Description,Specification,Part Number,Warranty,Measure,Section,Date Added,Price,Web Price,Web Expiry,Daily Offer,Available,Options,FFX,FFX
5,10030725,Everbuild,Everbuild Aqua Mate Sealant Translucent,<p> Everbuild Aqua Mate Sealant Translucent</p> <p> Aqua Mate Sealant is a high modulus acetic cure 100% silicone sealant and adhesive designed specifically for aquarium manufacture.</p> <p> 100% fish safe formula.</p> <p> Conforms to BS&nbsp5889 (B) and ISO 11600</p>,,AQUATR,,,Sealants and Adhesives,26-Oct-09,2.4,0,,,Yes,,http://www.ffx.co.uk/tools/product/Everbuild%20Evbaquatr%205029347120009%20Aqua%20Mate%20Silicone%20Transparent,
14,8391DWPETK,Makita,Makita 8391DWPETK 18V Combi Drill and 101 Piece Accessory Set,"<p> <span class=""main-title"" itemprop=""name""><strong>Makita 8391DWPETK </strong>18V Combi Drill and 101 Piece Accessory Set</span></p> <div class=""product-desc""> <span class=""main-title"" itemprop=""name"">Supplied complete with:</span></div> <ul> <li> <span class=""main-title"" itemprop=""name"">2 x 1.3Ah Ni-Cad batteries, </span></li> <li> <span class=""main-title"" itemprop=""name"">charger, </span></li> <li> <span class=""main-title"" itemprop=""name"">carrying case </span></li> <li> <span class=""main-title"" itemprop=""name"">101 piece accessory set. </span></li> </ul> <div class=""product-desc""> &nbsp</div> <div class=""product-desc""> <span class=""main-title"" itemprop=""name"">Max in Steel: 13mm . Max in Wood: 36mm . Max in Masonry: 13mm . No Load Speed: H:0-1,300 L:0-400rpm . Blows per minute: H: 0-19,500 L:0-6000 . Torque Settings S/H Nm: 16+ Drill . Max Torque: 27/42Nm . Net Weight: 2.3kg . </span></div>",,10109345,1 YEAR,,Power Tools Cordless / Cordless Drills and Screwdrivers / Combi Drills,31-Oct-11,135,0,16-Oct-15,,Yes,,http://www.ffx.co.uk/tools/product/Makita%208391Dwpetk%200088381098564%2018V%20Combi%20Drill%202%20X%201.3Ah%20And%20101%20Accessories,
26,9032,Makita,Makita 9032 Filing Sander,"<p> <strong>The Makita 9032 </strong>filing sander is ideal for use in confined areas, it takes a belt size of 9 x 533 mm. This filing sander weighs 1.5kg net weight and has an input wattage of 500w.</p> <p> <br /> <strong>The Makita 9032</strong> is Available in 110v and 240v.</p> <p> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px""><strong>Features:</strong></span></span></p> <ul> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Electronic Speed Control</span></span></li> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Double Insulated for Safety</span></span></li> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Perfect for accessing hard to reach places</span></span></li> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Multi-position sanding arm pivots 100&deg.</span></span></li> </ul> <p> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px""><strong>Specification:</strong></span></span></p> <ul> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Belt Size - 9 x 533mm</span></span></li> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Belt Speed - 300-1,700m/min</span></span></li> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Input Wattage - 500w</span></span></li> <li> <span style=""font-family: arial, helvetica, sans-serif""><span style=""font-size: 12px"">Net Weight - 1.5kg</span></span></li> </ul>",,9032,1 Year,,Power Tools Mains / Sanders and Polishers,4-Sep-08,127,0,,,Yes,"[110V], [240V]",http://www.ffx.co.uk/tools/product/Makita%209032%200088381041355%20110V%209Mm%20Belt%20Filing%20Finger%20Sander,http://www.ffx.co.uk/tools/product/Makita%209032%200088381041348%20240V%209Mm%20Belt%20Filing%20Finger%20Sander
27,90564281,Black and Decker,Spool and Line for Black and Decker Strimmer STC1815 | 90564281,<p> 90564281</p> <p> Spool and Trimmer Line for Black and Decker Strimmer</p>,,90564281,,,New! Draper range / Power Tools and Accessories,20-May-15,5.5,0,,,Yes,,http://www.ffx.co.uk/tools/product/Black%20%20Decker%20B%20Da6481%205019977016230%20Spool%20And%20Line%20Suitable%20For%20Reflex%20Strimmer,
1,ALR 900,Bosch,Bosch ALR 900 Lawn Raker,"<p> <strong>Bosch ALR 900 </strong>Lawn Raker</p> <p> Your lawn will only flourish if you regulary free it from moss and leaves.&nbsp you can remove both of these using the Bosch Lawn Raker by setting its 20 spring steel tines to the corresponding height from -5mm to gently comb out the thatch out damaging the grass to +10mm to collect leaves.&nbsp The patented &quotJet-Collect&quot System creates an airflow to blast everything into the collection box, therefore preventing annoying blockages.</p> <p> &nbspFeatures:</p> <ul> <li> Compact storage - Double folding handle, stackable collection box</li> <li> Large 50-Litre collection box - means less stopping and time to empty it</li> <li> &quotJet-Collect&quot System - Innovative drum with spring steel tines and airflow inlets quickly and completely removes thatch and moss</li> </ul> <p> Specification:</p> <ul> <li> Motor Power - 900W</li> <li> Drum System - 10 double steel tines</li> <li> &quotJet-Collection&quot System</li> <li> Working width - 32cm</li> <li> Working Height - +10/+5/0/-5mm</li> <li> Working height settings - 4</li> <li> Collection Box capacity - 50 litres</li> <li> Weight - 9.4kg</li> </ul>",,060088A070,,,Outdoor Power Tools / Scarifiers,2-Sep-09,100,0,,,Yes,,,
12,AXT25TC,Bosch,Bosch AXT 25 TC Quiet Shredder,"<p> Bosch AXT 25 TC Quiet Shredder</p> <p> Ideal for all types of wood and green material.</p> <p> Do you want to shread your garden waste without having to separate green material from wood?&nbsp Bosch has a quiet shredder with &quotTurbine-Cut&quot System for all types of wood and green material.&nbsp You also get your work finished more quickly due to the patented fast feed hopper and automatic feed for fast material throughput.&nbsp And the removable hopper fits exactly in the collection box to ensure space-saving storage.</p> <p> Features:</p> <ul> <li> Automatic feed and low noise levels - for extremely convenient shredding</li> <li> Cutting capacity - of up to 45mm for powerful shredding</li> <li> Practical collection box - 53-litre capacity for easier collection of the shredded material</li> <li> Patented, removable hopper - for easy filling and safe release of blockages</li> <li> Shielded cutting mechanism - for greater user safety</li> <li> &quotTurbine-Cut&quot System - Innovative cutting system with motor power of 2500 Watts</li> <li> Patented safety function of the collection box - the tool only works when the collection box is in position</li> </ul> <p> Specification:</p> <ul> <li> Cutting System - Turbine-cut</li> <li> Motor Power - 2500W</li> <li> Cutting capacity - 45mm diameter</li> <li> Material throughput rate - approx. 230kg/h</li> <li> Cutting Speed - 41rpm</li> <li> Torque - approx 650Nm</li> <li> LWA Noise Emission Level - approx 89bd (A)</li> <li> Voltage - 230V</li> <li> Weight - 30.5kg</li> <li> Automatic Feed</li> <li> Collection Box - 53 Litres</li> </ul>",,600803370,,,Outdoor Power Tools / Shredders,3-Sep-09,312.5,0,31-Oct-14,25-Jul-15,Yes,,,
34,B-03006,Makita,Makita Nylon Head B-03006,"<p> Makita Nylon Head B-03006</p> <p> A replacement petrol grass trimmer nylon cutting head to fit Makita grass trimmer models UM3830, RST200, RST210 &amp RST250</p> <p> 2 Line Super Auto (4x) M8 x 1.25R</p>",,B-03006,,,Makita Power Tool Accessories / Makita Outdoor Power Tool Accessories,30-Mar-12,9.96,0,,,Yes,,,
17,BHX2501,Makita,Makita BHX2501 4-Stroke Petrol Powered Handheld Blower,"<p> <strong>Makita BHX2501 MM4 4-Stroke Hand Held Blower</strong></p> <p> Take the hard work out of cleaning leaves and garden debris. Compact and lightweight machine with slim body for comfortable handling.</p> <ul> <li> air flow : 10.1m3/min</li> <li> engine : 4-stroke OHV</li> <li> cubic capacity : 24.5cc</li> <li> fuel : unleaded</li> <li> net weight 4.4kg</li> </ul> <p> This tool comes with:</p> <p> harness, hose clamp, flexible pipe, pipe 1 and 2, end pipe, tool kit</p>",,BHX2501,1 Year,,Outdoor Power Tools / Blowers,17-Feb-12,190.3,0,30-Apr-16,,Yes,,,
36,DHP453RFX,Makita,"Makita DHP453RFX 18V Li-Ion Cordless Combi Drill, Fast Charger","<p> <u>Makita DHP453 RFX 18 Volt Lithium ion Combi Drill </u></p> <p> <u><br /> </u>All metal 2 speed gearbox, a battery and charger which delivers a full charge in approximately 22 minutes. <br /> The drill has an ergonomically designed rubberised grip which provides more control whilst minimising fatigue and strain. <br /> This all rounder also has 16 different torque settings to choose from.</p> <p> <br /> <u>Features</u>:</p> <ul> <li> Single sleeve keyless drill chuck for easy bit installation and removal</li> <li> Compact and lightweight design for easy handling</li> <li> High comfort grips - Non slip even in wet conditions</li> <li> 2 Speed gearbox - high / low speed change lever</li> <li> All metal gears - for added life and durability</li> <li> Electronic brake control</li> <li> Forward/reverse</li> <li> Variable speed trigger</li> </ul> <p> <br /> <u>Technical Spec</u>:</p> <ul> <li> Max in Steel: 13mm</li> <li> Max. in Wood: 36mm</li> <li> Max in Masonry: 13</li> <li> Torque Settings S/H Nm: 16+ drill</li> <li> Max Torque: 27/42Nm</li> <li> Blows per minute: H:0-19,5000ipm L:0-6,000bpm</li> <li> No Load Speed: H:0-1,300rpm L:0-400rpm</li> <li> Net Weight: 3kgs</li> <li> Power: 18 volts</li> </ul> <p> <u><br /> Comes with:</u></p> <ul> <li> 1 x 3Ah li-ion battery</li> <li> Fast Charger</li> <li> Aluminium case</li> </ul>",,DHP453RFX,1 Year,,Power Tools Cordless / Cordless Drills and Screwdrivers / Combi Drills,15-Jan-15,141.49,0,31-May-15,,Yes,,,
22,DMR104,Makita,Makita DAB Job Site Radio DMR104,<p> Makita DAB Job Site Radio &nbsp DMR104</p> <p> Features:</p> <ul> <li> Bumpers and metal pipes protect against rough handling</li> <li> Shower Proof</li> <li> Dual Power Sources</li> <li> Digital quartz display</li> <li> Auto-scan and clock set button</li> <li> Headphone Jack</li> <li> AC Adapter Jack Timer set button</li> <li> Sound volume and Manual tuning button</li> <li> Digital quartz display with backlight</li> <li> Power on-off and Off-timer button</li> <li> Front Control Panel FM/AM band selection and Mono-stereo change button</li> <li> Carry Handle</li> <li> Soft grip swivels 90 degrees</li> <li> Shower Proof withstands up to 5 minute exposure to rain</li> <li> Max. Output Power 5W x 2 (24V Battery)</li> <li> AC or Makita batteries</li> </ul> <p> Specification:</p> <ul> <li> Power Supply: DC 9.6v-24v battery</li> <li> Frequency: FM 87.5-108Mhz</li> <li> Frequency: DAB 5A-BF</li> <li> Dimensions (LxWxH): 263x166x305mm</li> <li> Includes:</li> <li> AC power adapter</li> <li> aux MP3 player input</li> </ul>,,DMR104,1 Year,,Radios,30-Jul-13,92,0,31-Mar-16,,Yes,,,
