SKU,Barcode,Descritpion,Price,Product images,ASIN,use_barcode
250012409,0024147086079,"Le Creuset 24cm Classic Cast Iron Round Casserole, Volcanic",175.00,http://ecx.images-amazon.com/images/I/61vkkr-jgzL._SL1500_.jpg,B0000AR0OK,false
211772409,0024147260769,"Le Creuset 24cm Signature Cast Iron Round Casserole, Volcanic",175.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/24cm_Signature_Round_Volcanic.jpg,,false
250012406,0024147086109,"Le Creuset 24cm Classic Cast Iron Round Casserole, Cerise",175.00,http://ecx.images-amazon.com/images/I/61UhuuXmzuL._SL1500_.jpg,B0000A14MX,false
211772406,0024147259770,"Le Creuset 24cm Signature Cast Iron Round Casserole, Cerise",175.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/24cm_Signature_Round_Cerise.jpg,,false
210012420,0024147242055,"Le Creuset 24cm Classic Cast Iron Round Casserole, Marseille",175.00,http://ecx.images-amazon.com/images/I/91P8ZHynVoL._SL1500_.jpg,B00BOSY1Y8,false
211772420,0024147260790,"Le Creuset 24cm Signature Cast Iron Round Casserole, Marseille",175.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/24cm_Signature_Round_Marseille_Blue.jpg,,false
210012400,0024147163787,"Le Creuset 24cm Classic Cast Iron Round Casserole, Satin Black",175.00,http://ecx.images-amazon.com/images/I/41%2Bd8-BfW0L.jpg,B000LCPBE2,false
211772400,0024147262473,"Le Creuset 24cm Signature Cast Iron Round Casserole, Satin Black",175.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/24cm_Signature_Round_Satin_Black.jpg,,false
210012434,0024147209775,"Le Creuset 24cm Classic Cast Iron Round Casserole, Cassis",175.00,http://ecx.images-amazon.com/images/I/31j5QIzEfeL.jpg,B002RWZNTC,false
211772434,0024147260813,"Le Creuset 24cm Signature Cast Iron Round Casserole, Cassis",175.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/24cm_Signature_Round_Cassis.jpg,,false
210012442,0024147219644,"Le Creuset 24cm Classic Cast Iron Round Casserole, Coastal Blue",175.00,http://ecx.images-amazon.com/images/I/81%2BlA3MPB8L._SL1500_.jpg,B005F410BY,false
211772442,0024147260820,"Le Creuset 24cm Signature Cast Iron Round Casserole, Coastal Blue",175.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/24cm_Signature_Round_Coastal_Blue.jpg,,false
250022509,0024147086536,"Le Creuset 25cm Classic Cast Iron Oval Casserole, Volcanic",150.00,http://ecx.images-amazon.com/images/I/61H8DiaNXpL._SL1300_.jpg,B0000DGQSX,false
211782509,0024147261483,"Le Creuset 25cm Signature Cast Iron Oval Casserole, Volcanic",150.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/29cm_Signature_Oval_Volcanic.jpg,,false
250022506,0024147086567,"Le Creuset 25cm Classic Cast Iron Oval Casserole, Cerise",150.00,http://ecx.images-amazon.com/images/I/51bQBhOpw8S._SL1000_.jpg,B0000DGQST,false
211782506,0024147261506,"Le Creuset 25cm Signature Cast Iron Oval Casserole, Cerise",150.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/29cm_Signature_Oval_Cerise.jpg,,false
210022520,0024147242086,"Le Creuset 25cm Classic Cast Iron Oval Casserole, Marseille",150.00,http://ecx.images-amazon.com/images/I/81N5pyKRf7L._SL1500_.jpg,B00FOMEDKW,false
211782520,0024147261469,"Le Creuset 25cm Signature Cast Iron Oval Casserole, Marseille",150.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/29cm_Signature_Oval_Marseille_Blue.jpg,,false
210022500,0024147154976,"Le Creuset 25cm Classic Cast Iron Oval Casserole, Satin Black",150.00,http://ecx.images-amazon.com/images/I/41FhTu8x3oL.jpg,B000BGRWVI,false
211782500,0024147262749,"Le Creuset 25cm Signature Cast Iron Oval Casserole, Satin Black",150.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/29cm_Signature_Oval_Satin_Black.jpg,,false
210022568,0024147159285,"Le Creuset 25cm Classic Cast Iron Oval Casserole, Almond",150.00,http://ecx.images-amazon.com/images/I/31ePduiHXlL.jpg,B000E3LK8E,false
211782568,0024147261452,"Le Creuset 25cm Signature Cast Iron Oval Casserole, Almond",150.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/29cm_Signature_Oval_Almond.jpg,,false
210022542,0024147219552,"Le Creuset 25cm Classic Cast Iron Oval Casserole, Coastal Blue",150.00,http://ecx.images-amazon.com/images/I/81bHK1sNdLL._SL1500_.jpg,B005F4115O,false
211782542,0024147261445,"Le Creuset 25cm Signature Cast Iron Oval Casserole, Coastal Blue",150.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/29cm_Signature_Oval_Coastal_Blue.jpg,,false
250322609,0024147004011,"Le Creuset 26cm Classic Cast Iron Shallow Casserole, Volcanic",160.00,http://ecx.images-amazon.com/images/I/41ny98VoZkL.jpg,B000059S94,false
211802609,0024147263302,"Le Creuset 26cm Signature Cast Iron Shallow Casserole, Volcanic",160.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/30cm_Signature_Shallow_Volcanic.jpg,,false
250322606,0024147032571,"Le Creuset 26cm Classic Cast Iron Shallow Casserole, Cerise",160.00,http://ecx.images-amazon.com/images/I/41pIYuDBPOL.jpg,B000059S92,false
211802606,0024147263296,"Le Creuset 26cm Signature Cast Iron Shallow Casserole, Cerise",160.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/30cm_Signature_Shallow_Cerise.jpg,,false
