Rapid Code,Description,Manufactures Code,Brand,URL
48-0770,Finder 80.01.0.240.0000 Module Timer 16A Multivoltage/Function,80.01.0.240.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-80-01-0-240-0000-Module-Timer-16A-Multivoltage-Function-48-0770
48-0774,Finder 85.04.0.012.0000 12V Plug-In Timer (Miniature) Coil,85.04.0.012.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-85-04-0-012-0000-12V-Plug-In-Timer-Miniature-Coil-48-0774
48-0776,Finder 85.04.0.024.0000 24V Plug-In Timer (Miniature) Coil,85.04.0.024.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-85-04-0-024-0000-24V-Plug-In-Timer-Miniature-Coil-48-0776
48-0778,Finder 85.04.8.240.0000 240V Plug-In Timer (Miniature) Coil,85.04.8.240.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-85-04-8-240-0000-240V-Plug-In-Timer-Miniature-Coil-48-0778
48-0788,Finder 94.74SMA Plug-In Base 85 Series (Type 94.74),94.74SMA,Finder,https://www.rapidonline.com/Electrical-Power/Finder-94-74SMA-Plug-In-Base-85-Series-Type-94-74-48-0788
49-2928,Finder 10.51.8.230.0000 Twilight Switch Compact Design 1 NOC,10.51.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-10-51-8-230-0000-Twilight-Switch-Compact-Design-1-NOC-49-2928
49-2929,Finder 11.31.8.230.0000 Twilight Switch for 35mm DIN Rail SPST-NO,11.31.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-11-31-8-230-0000-Twilight-Switch-for-35mm-DIN-Rail-SPST-NO-49-2929
49-2930,Finder 11.42.8.230.0000 Twilight Switch for 35mm DIN Rail 1 COC 1 NOC,11.42.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-11-42-8-230-0000-Twilight-Switch-for-35mm-DIN-Rail-1-COC-1-NOC-49-2930
49-2931,Finder 11.91.8.230.0000 Twilight Switch for 35mm DIN Rail 1 COC,11.91.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-11-91-8-230-0000-Twilight-Switch-for-35mm-DIN-Rail-1-COC-49-2931
49-2932,Finder 19.91.9.012.4000 Power Module for Twilight Switch 12 VDC SPDT-CO,19.91.9.012.4000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-19-91-9-012-4000-Power-Module-for-Twilight-Switch-12-VDC-SPDT-CO-49-2932
49-2933,Finder 41.81.7.024.9024 Solid State Relay 24VDC 40A,41.81.7.024.9024,Finder,https://www.rapidonline.com/Electronic-Components/Finder-41-81-7-024-9024-Solid-State-Relay-24VDC-40A-49-2933
49-2951,Finder 14.01.8.230.0000 Time Delay Relay 1 NOC 230V 50-60Hz,14.01.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-14-01-8-230-0000-Time-Delay-Relay-1-NOC-230V-50-60Hz-49-2951
49-2970,Finder 072.51 Electrode holder,072.51,Finder,https://www.rapidonline.com/Electrical-Power/Finder-072-51-Electrode-holder-49-2970
49-2988,Finder 15.51.8.230.0400 Pulse Relay With Dimmer,15.51.8.230.0400,Finder,https://www.rapidonline.com/Electronic-Components/Finder-15-51-8-230-0400-Pulse-Relay-With-Dimmer-49-2988
49-3007,Finder 12.71.8.230.0000 16A Digital Weekly Time Switch SPDT-CO 250VAC,12.71.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-12-71-8-230-0000-16A-Digital-Weekly-Time-Switch-SPDT-CO-250VAC-49-3007
49-3018,Finder 11.41.8.230.0000 Twilight Switch for 35mm DIN Rail 1?80/30?1000 lx,11.41.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-11-41-8-230-0000-Twilight-Switch-for-35mm-DIN-Rail-1-80-30-1000-lx-49-3018
49-3021,Finder 10.61.8.230.0000 Twilight Switch Compact Design 230V/50-60 Hz SPST-NO,10.61.8.230.0000,Finder,https://www.rapidonline.com/Electrical-Power/Finder-10-61-8-230-0000-Twilight-Switch-Compact-Design-230V-50-60-Hz-SPST-NO-49-3021
49-3023,Finder 093.60 Separator Board For Series 39 Coupler Relays,093.60,Finder,https://www.rapidonline.com/Electrical-Power/Finder-093-60-Separator-Board-For-Series-39-Coupler-Relays-49-3023
49-3024,Finder 093.63 control Module For 39.31/30/81/80 Types,093.63,Finder,https://www.rapidonline.com/Electrical-Power/Finder-093-63-control-Module-For-39-31-30-81-80-Types-49-3024
49-3422,Finder 39.10.8.230.9024 MasterBasic Solid State Relay Interface Module 230V 2A,39.10.8.230.9024,Finder,https://www.rapidonline.com/Electronic-Components/Finder-39-10-8-230-9024-MasterBasic-Solid-State-Relay-Interface-Module-230V-2A-49-3422
49-3423,Finder 39.20.8.230.9024 MasterOUTPUT Solid State Relay Interface Module 230V 2A,39.20.8.230.9024,Finder,https://www.rapidonline.com/Electronic-Components/Finder-39-20-8-230-9024-MasterOUTPUT-Solid-State-Relay-Interface-Module-230V-2A-49-3423
49-3424,Finder 39.30.8.230.9024 MasterPLUS Solid State Relay Interface Module 230V 2A,39.30.8.230.9024,Finder,https://www.rapidonline.com/Electronic-Components/Finder-39-30-8-230-9024-MasterPLUS-Solid-State-Relay-Interface-Module-230V-2A-49-3424
49-3425,Finder 39.31.0.012.0060 MasterPLUS Emech Relay Interface Module 250V 6A,39.31.0.012.0060,Finder,https://www.rapidonline.com/Electronic-Components/Finder-39-31-0-012-0060-MasterPLUS-Emech-Relay-Interface-Module-250V-6A-49-3425
49-3426,Finder 39.31.0.024.0060 MasterPLUS Emech Relay Interface Module 24V 6A,39.31.0.024.0060,Finder,https://www.rapidonline.com/Electronic-Components/Finder-39-31-0-024-0060-MasterPLUS-Emech-Relay-Interface-Module-24V-6A-49-3426
49-3427,Finder 39.31.8.230.0060 MasterPLUS Emech Relay Interface Module 230V 6A,39.31.8.230.0060,Finder,https://www.rapidonline.com/Electronic-Components/Finder-39-31-8-230-0060-MasterPLUS-Emech-Relay-Interface-Module-230V-6A-49-3427
