,Brand,,,Model Number,Cost Price,Discontinued,NEW,All Best-seller,Ray-Ban Best-seller
,Ray-Ban Junior,,,RJ9056S 195/87 50,21.07,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9052S 152/73 47,24.65,NO,NO,YES,YES
,Ray-Ban Junior,,,RJ9052S 178/80 47,24.65,NO,NO,YES,YES
,Ray-Ban Junior,,,RJ9052S 179/84 47,24.65,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9057S 100/71 50,24.65,NO,NO,YES,YES
,Ray-Ban Junior,,,RJ9506S 223/71 50,24.65,NO,NO,YES,YES
,Ray-Ban Junior,,,RJ9050S 100/71 45,28.22,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9052S 100S55 47,28.22,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9052S 100S6Q 47,28.22,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9061S 700571 49,28.22,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9061S 700673 49,28.22,NO,NO,NO,NO
,Guess,,,GU7401 01D 56,29,NO,NO,NO,NO
,Guess,,,GU7420 01B 57,30,NO,NO,NO,NO
,Guess,,,GU7420 21F 57,30,NO,NO,NO,NO
,Guess,,,GU7420 52F 57,30,NO,NO,NO,NO
,Guess,,,GU7420 57B 57,30,NO,NO,NO,NO
,Guess,,,GU7420 72F 57,30,NO,NO,NO,NO
,Guess,,,GU7444 01B 58,30,NO,NO,NO,NO
,Guess,,,GU7444 52F 58,30,NO,NO,NO,NO
,Guess,,,GU7459 01B 52,30,NO,NO,NO,NO
,Guess,,,GU7459 52F 52,30,NO,NO,NO,NO
,Guess,,,GU7459 72C 52,30,NO,NO,NO,NO
,Guess,,,GU7460 05B 60,30,NO,NO,NO,NO
,Guess,,,GU7460 28C 60,30,NO,NO,NO,NO
,Guess,,,GU7460 48F 60,30,NO,NO,NO,NO
,Guess,,,GU7462 01B 58,30,NO,NO,NO,NO
,Guess,,,GU7462 52F 58,30,NO,NO,NO,NO
,Guess,,,GU7462 57F 58,30,NO,NO,NO,NO
,Guess,,,GU7389 01C 58,30.8,NO,NO,NO,NO
,Oakley,,,OX3136 03 53,31.24,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9061S 700530 49,31.8,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9061S 700555 49,31.8,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9061S 701155 49,31.8,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9063S 70084V 48,31.8,NO,NO,NO,NO
,Ray-Ban Junior,,,RJ9063S 701030 48,31.8,NO,NO,NO,NO
,Guess,,,GU6509 J45 00,32.5,NO,NO,YES,NO
,Guess,,,GU7417 01B 60,32.5,NO,NO,NO,NO
,Guess,,,GU7417 52F 60,32.5,NO,NO,NO,NO
,Guess,,,GU7418 01B 60,32.5,NO,NO,NO,NO
,Guess,,,GU7418 52F 60,32.5,NO,NO,NO,NO
,Guess,,,GU7425 01A 56,32.5,NO,NO,NO,NO
,Oakley,,,OX8038 01 52,33.98,NO,NO,NO,NO
,Oakley,,,OX8081 01 53,33.98,NO,NO,NO,NO
,Oakley,,,OX8081 03 53,33.98,NO,NO,NO,NO
,Oakley,,,OX8093 01 49,33.98,NO,NO,NO,NO
,Oakley,,,OX8093 04 49,33.98,NO,NO,NO,NO
,Oakley,,,OO9238 04 54,34.09,NO,NO,NO,NO
,Oakley,,,OO9238 05 54,34.09,NO,NO,NO,NO
,Oakley,,,OO9238 07 54,34.09,NO,NO,YES,NO
,Guess,,,GU7368 28G 61,34.8,NO,NO,NO,NO
,Guess,,,GU7368 32L 61,34.8,NO,NO,NO,NO
,Ray-Ban,,,RX5246 5092 52,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX5268 5119 50,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX5268 5179 50,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX5268 5583 50,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX7046 5364 51,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX7046 5365 51,35.93,NO,NO,YES,YES
,Ray-Ban,,,RX7047 5196 54,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX7047 5573 54,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX7066 2000 52,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX7066 5577 52,35.93,NO,NO,NO,NO
,Ray-Ban,,,RX7074 5364 52,35.93,NO,NO,NO,NO
,Stella McCartney Kids,,,SK0001S 001 47,36,NO,NO,NO,NO
,Stella McCartney Kids,,,SK0001S 002 47,36,NO,NO,NO,NO
,Stella McCartney Kids,,,SK0001S 003 47,36,NO,NO,NO,NO
,Ralph By Ralph Lauren,,,RA5165 601/11 57,36.04,NO,NO,YES,NO
,Oakley,,,OX8076 03 56,36.71,NO,NO,NO,NO
,Oakley,,,OX8078 01 52,36.71,NO,NO,NO,NO
,Oakley,,,OX8078 02 52,36.71,NO,NO,NO,NO
,Oakley,,,OX8078 05 52,36.71,NO,NO,NO,NO
,Oakley,,,OX8094 01 51,36.71,NO,NO,NO,NO
,Oakley,,,OX8104 02 52,36.71,NO,NO,NO,NO
,Guess,,,GU7407 81C 00,37,NO,NO,NO,NO
,Guess,,,GU7442 02B 58,37,NO,NO,NO,NO
,Guess,,,GU7442 49F 58,37,NO,NO,NO,NO
,Guess,,,GU7442 58G 58,37,NO,NO,NO,NO
,Guess,,,GU7442 73C 58,37,NO,NO,NO,NO
,Guess,,,GU7443 28C 60,37,NO,NO,NO,NO
,Guess,,,GU7443 57C 60,37,NO,NO,NO,NO
,Guess,,,GU7451 72G 58,37,NO,NO,NO,NO
,Guess,,,GU1731 D03 53,37.45,NO,NO,NO,NO
,Guess,,,GU2291 B18 52,37.45,NO,NO,NO,NO
,Guess,,,GU2291 S87 52,37.45,NO,NO,NO,NO
,Oakley,,,OO9013 24-306 55,38.06,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2057 5001 55,38.41,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2057 5003 55,38.41,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2065 5001 54,38.41,NO,NO,NO,NO
,Dolce & Gabbana,,,DG5005 1934 54,38.62,NO,NO,NO,NO
,Ray-Ban,,,RX5114 2097 52,38.94,NO,NO,NO,NO
,Guess,,,GU1869 002 53,39,NO,NO,NO,NO
,Guess,,,GU2538 005 55,39,NO,NO,NO,NO
,Guess,,,GU2538 052 55,39,NO,NO,NO,NO
,Guess,,,GU1862 002 54,39.5,NO,NO,NO,NO
,Guess,,,GU1862 009 54,39.5,NO,NO,NO,NO
,Michael Kors,,,MK8016 3099 52,39.94,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2146 5568 53,39.94,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2146 5569 53,39.94,NO,NO,NO,NO
,Adidas Originals,,,AOR001 001 009,40,NO,NO,NO,NO
,Adidas Originals,,,AOR001 009 063,40,NO,NO,NO,NO
,Adidas Originals,,,AOR001 027 149,40,NO,NO,NO,NO
,Adidas Originals,,,AOR001 140 030,40,NO,NO,NO,NO
,Adidas Originals,,,AOR002 148 001,40,NO,NO,NO,NO
,Adidas Originals,,,AOR002 FCP 011,40,NO,NO,NO,NO
,Adidas Originals,,,AOR004 009 009,40,NO,NO,NO,NO
,Adidas Originals,,,AOR004 009 027,40,NO,NO,NO,NO
,Adidas Originals,,,AOR004 140 030,40,NO,NO,NO,NO
,Adidas Originals,,,AOR004 143 070,40,NO,NO,NO,NO
,Adidas Originals,,,AOR006 021 009,40,NO,NO,NO,NO
,Adidas Originals,,,AOR012 021 009,40,NO,NO,NO,NO
,Adidas Originals,,,AOR012 030 009,40,NO,NO,NO,NO
,Adidas Originals,,,AOR012 140 030,40,NO,NO,NO,NO
,Guess,,,GU7451 01C 58,40,NO,NO,NO,NO
,Guess,,,GU7451 52F 58,40,NO,NO,NO,NO
,Guess,,,GU7452 01C 59,40,NO,NO,NO,NO
,Guess,,,GU7452 52F 59,40,NO,NO,NO,NO
,SUPER by Retrosuperfuture,,,SUPER 002,41.01,NO,NO,NO,NO
,SUPER by Retrosuperfuture,,,SUPER 036,41.01,NO,NO,YES,NO
,SUPER by Retrosuperfuture,,,SUPER 290,41.01,NO,NO,NO,NO
,Guess,,,GU1878 001 53,41.5,NO,NO,NO,NO
,Guess,,,GU1878 048 53,41.5,NO,NO,NO,NO
,Emporio Armani,,,EA4034 504287 57,41.56,NO,NO,NO,NO
,Emporio Armani,,,EA4038 501787 57,41.56,NO,NO,YES,NO
,Emporio Armani,,,EA4038 527613 57,41.56,NO,NO,NO,NO
,Dolce & Gabbana,,,DG3245 3003 52,41.84,NO,NO,NO,NO
,Dolce & Gabbana,,,DG3249 2955 53,41.84,NO,NO,NO,NO
,Dolce & Gabbana,,,DG3249 2958 53,41.84,NO,NO,NO,NO
,Dolce & Gabbana,,,DG5004 2616 53,41.84,NO,NO,NO,NO
,Dolce & Gabbana,,,DG5017 3028 52,41.84,NO,NO,NO,NO
,Dolce & Gabbana,,,DG5017 501 52,41.84,NO,NO,NO,NO
,Oakley,,,OO9013 24-305 55,41.91,NO,NO,YES,NO
,Oakley,,,OO9013 70 55,41.91,NO,NO,NO,NO
,Oakley,,,OO9013 A5 55,41.91,NO,NO,NO,NO
,Oakley,,,OO9013 A6 55,41.91,NO,NO,NO,NO
,Ray-Ban,,,RX5150 5023 50,41.96,NO,NO,NO,NO
,Ray-Ban,,,RX5150 5607 50,41.96,NO,NO,NO,NO
,Ray-Ban,,,RX5206 2479 52,41.96,NO,NO,NO,NO
,Ray-Ban,,,RX5277 2077 52,41.96,NO,NO,NO,NO
,Ray-Ban,,,RX6356 2861 52,41.96,NO,NO,NO,NO
,Ray-Ban,,,RX7078 2000 53,41.96,NO,NO,NO,NO
,Oakley,,,OO9096 01 60,42.04,NO,NO,YES,NO
,Oakley,,,OX1066 01 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8039 01 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8046 01 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8046 03 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8049 01 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8069 03 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8069 06 53,42.2,NO,NO,NO,NO
,Oakley,,,OX8070 06 53,42.2,NO,NO,NO,NO
,Ray-Ban,,,RB3471 004/71 32,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB3471 029/13 32,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB3539 002/8G 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4068 601 60,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4165 601/71 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4165 601/8G 51,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4165 601/8G 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4165 710/13 51,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4165 710/13 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4165 710/8G 55,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4165 852/88 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4165 854/7Z 51,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4165 854/7Z 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4171 600068 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4171 60028G 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4171 622/8G 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4171 865/13 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4187 622/8G 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4187 622519 54,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4187 856/13 54,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4202 601/8G 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4202 606971 55,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4202 607313 55,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4221 622/8G 50,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4221 865/13 50,42.92,NO,NO,YES,YES
,Ray-Ban,,,RB4222 622/8G 50,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4222 62268G 50,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4232 601/71 57,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4243 622/8G 49,42.92,NO,NO,NO,NO
,Ray-Ban,,,RB4243 865/13 49,42.92,NO,NO,NO,NO
,Guess,,,GU7404 32D 59,43,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2138 5001 53,43.01,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2138 5351 53,43.01,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2139 5017 54,43.01,NO,NO,NO,NO
,Polo Ralph Lauren,,,PH2156 5007 51,43.01,NO,NO,NO,NO
,Guess,,,GU2376 B24 53,43.45,NO,NO,NO,NO
,Guess,,,GU2376 S30 53,43.45,NO,NO,NO,NO
,Guess,,,GU2378 B84 52,43.45,NO,NO,NO,NO
,Guess,,,GU2378 D96 52,43.45,NO,NO,NO,NO
,Guess,,,GU7393 10C 62,43.8,NO,NO,NO,NO
,Guess,,,GU7393 28X 62,43.8,NO,NO,NO,NO
,Guess,,,GU2513 001 53,44.5,NO,NO,NO,NO
,Guess,,,GU2513 045 53,44.5,NO,NO,NO,NO
,Guess,,,GU7414 55U 51,44.5,NO,NO,NO,NO
,Guess,,,GU7414 56F 51,44.5,NO,NO,NO,NO
,Guess,,,GU7414 68F 51,44.5,NO,NO,NO,NO
,Guess,,,GU7427 52F 57,44.5,NO,NO,NO,NO
,Ray-Ban,,,RX4246V 2000 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX4246V 2012 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5154 2000 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5154 2000 51,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5154 2012 49,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2000 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2000 52,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2012 52,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5184 2479 52,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2000 50,44.98,NO,NO,NO,NO
,Ray-Ban,,,RX5228 2000 53,44.98,NO,NO,NO,NO
