Unique Product Code,Product name,Brand,Product Group,Stock Availability?,Product URL,Image URL
SHIMGRSS5060000DOUBL,STI Levers Ultegra 6800 11Spd w/cables Double                                                       ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-ultegra-6800-11spd-w-cables/,
SHIMGRSS511000000000,STI Levers 105 Black 5800 11Spd with cables                                                         ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-105-black-5800-11spd-with-cables/,
SHIMBRAR607000000000,Ultegra 11 Spd 6800 Brake Set                                                                       ,Shimano                                           ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-11-spd-6800-brake-set/,
SHIMGRSS504000000000,STI Levers Dura Ace 9001 11 Spd with cables                                                         ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-dura-ace-9001-11-spd-with-cables/,
SHIMCHAR198000072340,Ultegra Double 6800 11 Spd Chainset 172.5 34/50                                                     ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-double-6800-11-spd-chainset/,
SHIMELSS205000000000,STI Levers Ultegra Di2 6870 11Spd ex cables                                                         ,Shimano                                           ,ELECTRONIC BRAKE/GEAR SHIFTERS                    ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-ultegra-di2-6870-11spd-ex-cables/,
SHIMBRAR564000000000,105 Black 5800 (11Spd) Brake Set                                                                    ,Shimano                                           ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/shimano-105-black-5800-11spd-brake-set/,
SHIMELFR205000020000,Ultegra Di2 6870 11Spd Front Gear Braze-on                                                          ,Shimano                                           ,ELECTRONIC DERAILLEUR FRONT                       ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-di2-6870-11spd-front-gear/,
SHIMCASS931000011280,11 Spd Ultegra 6800 Cassette 11-28                                                                  ,Shimano                                           ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-11-spd-ultegra-6800-cassette/,
CAMPWHFR5050000ED200,Pr Whls Zonda Black Clin 9/10/11 Camp 0135592                                                       ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/campagnolo-pr-whls-zonda-black-clincher/,
SHIMWHFR6250000HG500,Pr Whls Ultegra 6800 Clincher 9/10/11 Shim                                                          ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pr-whls-ultegra-6800-clincher/,
SHIMBRAR665000000000,Dura Ace 9000 Brake Set                                                                             ,Shimano                                           ,BRAKES ROAD                                       ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-9000-brake-set/,
RODIWHFR205BKRDHG550,Pr Whls Airline 5 Clinchers Black/Red 9/10/11 Shim                                                  ,Rodi                                              ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/rodi-pr-whls-airline-5-clinchers/,
SHIMPEDA912000000000,Clipless SPD-SL 9000 Carbon Dura Ace Pedals                                                         ,Shimano                                           ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/shimano-clipless-spd-sl-9000-carbon-dura-ace-pedals/,
SHIMGRSS508000000000,STI Levers 105 Silver 5800 11Spd with cables                                                        ,Shimano                                           ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,yes,http://www.ribblecycles.co.uk/shimano-sti-levers-105-silver-5800-11spd-with-cables/,
SHIMCHAR198000072393,Ultegra Double 6800 11 Spd Chainset 172.5 39/53                                                     ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-double-6800-11-spd-chainset/,
SHIMPEDA853000000000,Clipless SPD-SL 5800 (105) Carbon Pedals                                                            ,Shimano                                           ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/shimano-clipless-spd-sl-5800-105-carbon-pedals/,
SHIMELRR2050000BSHSS,Ultegra Di2 6870 11Spd Rear Gear SS (Short)                                                         ,Shimano                                           ,ELECTRONIC DERAILLEUR REAR                        ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-di2-6870-11spd-rear-gear/,
SHIMPEDA888000000000,Clipless SPD-SL 6800 Ultegra Carbon Pedals                                                          ,Shimano                                           ,PEDALS - ROAD                                     ,yes,http://www.ribblecycles.co.uk/shimano-clipless-spd-sl-6800-ultegra-carbon-pedals/,
