"identifier","sku","brand","name","category","price"
"Sagemcom DTR94500","Sagemcom DTR94500","Sagemcom","Sagemcom DTR94500","Freesat DTR",0
"Humax HDR 100S","Humax HDR 100S","Humax","Humax HDR 100S","Freesat DTR",0
"Sandstrom 500GB","Sandstrom 500GB","Sandstrom","Sandstrom 500GB","Freesat DTR",0
"Manhattan HDR 320GB","Manhattan HDR 320GB","Manhattan","Manhattan HDR 320GB","Freesat DTR",0
"Bush 320GB","Bush 320GB","Bush","Bush 320GB","Freesat DTR",0
"Bush 500GB","Bush 500GB","Bush","Bush 500GB","Freesat DTR",0
"Sagemcom RTI95-320","Sagemcom RTI95-320","Sagemcom","Sagemcom RTI95-320","Freeview+ HD",0
"Sagemcom RTI95-500","Sagemcom RTI95-500","Sagemcom","Sagemcom RTI95-500","Freeview+ HD",0
"Philips HDTP8530","Philips HDTP8530","Philips","Philips HDTP8530","Freeview+ HD",0
"Philips HDTP8540","Philips HDTP8540","Philips","Philips HDTP8540","Freeview+ HD",0
"Humax","Humax","Humax","Humax","Freeview+ HD",0
"Logik","Logik","Logik","Logik","Freeview+ HD",0
"Panasonic DMR HWT230EB","Panasonic DMR HWT230EB","Panasonic","Panasonic DMR HWT230EB","Freeview+ HD",0
"View21 320GB","View21 320GB","View21","View21 320GB","Freeview+ HD",0
"Echostar HDT610","Echostar HDT610","Echostar","Echostar HDT610","Freeview+ HD",0
"Goodmans GV102ZRH50","Goodmans GV102ZRH50","Goodmans","Goodmans GV102ZRH50","Freeview+ HD",0
"Panasonic DMR HWT130EB","Panasonic DMR HWT130EB","Panasonic","Panasonic DMR HWT130EB","Freeview+ HD",0
"Hitachi  500GB","Hitachi  500GB","Hitachi","Hitachi  500GB","Freeview+ HD",0
"Bush 500Gb","Bush 500GB","Bush","Bush 500Gb","Freeview+ HD",0
"Pure Avalon 300R 500GB","Pure Avalon 300R 500GB","Pure Avalon","Pure Avalon 300R 500GB","Freeview+ HD",0
"Pure Avalon 300R 1TB","Pure Avalon 300R 1TB","Pure Avalon","Pure Avalon 300R 1TB","Freeview+ HD",0
"PPX3610","PPX3610","Philips","PPX3610","Philips PicoPix",0
"PPX2340","PPX2340","Philips","PPX2340","Philips PicoPix",0
"PPX2330","PPX2330","Philips","PPX2330","Philips PicoPix",0
"PPX2055","PPX2055","Philips","PPX2055","Philips PicoPix",0
"PPX3410","PPX3410","Philips","PPX3410","Philips PicoPix",0
"PPX2480","PPX2480","Philips","PPX2480","Philips PicoPix",0
"Aiptek V100","Aiptek V100","Aiptek","Aiptek V100","Philips PicoPix",0
"Aiptek V10","Aiptek V10","Aiptek","Aiptek V10","Philips PicoPix",0
"Telstar MP50","Telstar MP50","Telstar","Telstar MP50","Philips PicoPix",0
"Optoma PK320","Optoma PK320","Optoma","Optoma PK320","Philips PicoPix",0
"Optoma PK120","Optoma PK120","Optoma","Optoma PK120","Philips PicoPix",0
"Pico Genie P100","Pico Genie P100","Pico","Pico Genie P100","Philips PicoPix",0
"PHD1590TV","PHD1590TV",Philips","PHD1590TV","Philips Screeneo",0
"Sixty Black","Sixty Black","Sagemcom","Sixty Black","Sagemcom DECT",0
"Sixty Purple","Sixty Purple","Sagemcom","Sixty Purple","Sagemcom DECT",0
"D790A","D790A","Sagemcom","D790A","Sagemcom DECT",0
"D750A Twin","D750A Twin","Sagemcom","D750A Twin","Sagemcom DECT",0
"D750A Single","D750A Single","Sagemcom","D750A Single","Sagemcom DECT",0
"D77V Single","D77V Single","Sagemcom","D77V Single","Sagemcom DECT",0
"D77T Single","D77T Single","Sagemcom","D77T Single","Sagemcom DECT",0
