Name,SKU Code,Price,Brand,Category,Your Own URL
"SCHNEIDER ELECTRIC / TELEMECANIQUE  ZB4BS844  Switch Actuator, Harmony pushbuttons and switches, IP66, IK03, NEMA 4X",ZB4BS844,16.11,Schneider Electric,Harmony,http://www.schneider-electric.com/en/product-range-selector/632-harmony-xb4/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_632_L4%26prd_id%3DZB4BS844%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  ZBE101  Switch Contact Block, ZB5AZ009, 230 V, 600 V, Screw, 1 Pole",ZBE101,3.42,Schneider Electric,Harmony,http://www.schneider-electric.com/en/product-range-selector/660-harmony-xald--xalk/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_660_L4%26prd_id%3DZBE101%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  ZBE102  Switch Contact Block, 10 A, ZB5AZ009, 600 V, 600 V, Screw, 1 Pole",ZBE102,3.42,Schneider Electric,Harmony,http://www.schneider-electric.com/en/product-range-selector/660-harmony-xald--xalk/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_660_L4%26prd_id%3DZBE102%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  XALK178F  Control Station, 2NC, Yellow, Red 40mm Mushroom Head Pushbutton, Turn to Release",XALK178F,31.48,Schneider Electric,Harmony,http://www.schneider-electric.com/en/product-range-selector/660-harmony-xald--xalk/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_660_L4%26prd_id%3DXALK178F%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  ZB4BZ101  Switch Contact Block, 6 A, Harmony XB4, 600 V, 600 V, Screw",ZB4BZ101,4.97,Schneider Electric,Harmony,http://www.schneider-electric.com/en/product-range-selector/632-harmony-xb4/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_632_L4%26prd_id%3DZB4BZ101%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  XALK178  CONTROL STATION, EMERGENCY STOP/OFF",XALK178,31.48,Schneider Electric,Harmony,http://www.schneider-electric.com/en/product-range-selector/660-harmony-xald--xalk/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_AUT_660_L4%26prd_id%3DXALK178%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  GV2ME06  Thermal Magnetic Circuit Breaker, GV2M Series, 690 VAC, 1.6 A, 3 Pole, DIN Rail",GV2ME06,45.45,Schneider Electric,Tesys,http://www.schneider-electric.com/en/product-range-selector/684-tesys-gv2/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_684_L3%26prd_id%3DGV2ME06%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  GV2ME07  Thermal Magnetic Circuit Breaker, GV2M Series, 690 VAC, 2.5 A, 3 Pole, DIN Rail",GV2ME07,45.45,Schneider Electric,Motor Starters,http://www.schneider-electric.com/en/product-range-selector/63049-motor-starters-and-contactors/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_CHA_OEM_C3_63049_L3%26prd_id%3DGV2ME07%26scp_id%3DZ000
"SCHNEIDER ELECTRIC / TELEMECANIQUE  GV2ME08  Thermal Magnetic Circuit Breaker, GV2M Series, 690 VAC, 4 A, 3 Pole, DIN Rail",GV2ME08,45.45,Schneider Electric,Tesys,http://www.schneider-electric.com/en/product-range-selector/684-tesys-gv2/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_684_L3%26prd_id%3DGV2ME08%26scp_id%3DZ000
"SCHNEIDER ELECTRIC  LC1D09BD  Contactor, 3PST-NO, DIN Rail, 690 VAC, 25 A, 24 V",LC1D09BD,50.07,Schneider Electric,Tesys,http://www.schneider-electric.com/en/product-range-selector/664-tesys-d/?p_url=http%3A%2F%2Fwww.ops-ecat.schneider-electric.com%2Fecatalogue%2Fbrowse.do%3Fel_typ%3Dproduct%26cat_id%3DBU_POW_664_L3%26prd_id%3DLC1D09BD%26scp_id%3DZ000
