identifier,cost_price
T-BT-R7XS20PU,9.528
T-BT-M25BK,10.056
XA-9801,5.568
T-BT-M24BK,8.544
XA-9802,4.644
2PS122L-2,3.648
2PS122L-7,3.66
230L-BX,4.368
269L-BX,2.436
2K975LPK-BX,11.328
7118-BX,4.548
2V2743,1.212
2P417PPR,2.112
2PS415-7,2.172
2P415PPR,2.22
207SMJPR-BX,2.1
894JR-BX,2.088
F06D003A00-051,2.928
6626QG-BX,1.692
6626S-BX,1.32
2P200JPKXSWP,3.636
251JBR-BX,3.18
97068BLU-BCD,2.832
2P-1584-1,3.792
2P-1584-10,3.252
2P200JPK,3.144
2P121,2.916
2P200,2.532
2PS121-7,2.976
250B-BX,2.196
2P503,3.492
2P913,2.892
220G-BX,2.256
2P220JPK,3.42
2P220,3.072
230B-BX,2.028
F06D002A00-051,3.312
WE8220,33.192
A8614-6,6.492
1484946,
1484516,5.976
1486014,
134-KIO-0003,10.284
134-KIO-0006,10.08
134-KIO-0001,8.16
134-KIO-0004,7.98
134-KIO-0002,9.504
134-KIO-0005,9.348
11-01CRP-BCD,8.832
SE-1870-03-3,4.788
95916,40.032
95616,22.38
96016,29.184
95716,39.816
1032067,3.468
SE-0623-60-3,5.496
CN09,3
BATT-GOLDS-AAX1,0.36
BATT-GOLDS-AAAX1,0.24
ATH-001G,8.952
7007,11.928
N2-9402,4.644
2V1245,2.136
12-6902K,5.004
12-7702K,2.232
16-7902K,7.164
13-9702K,3.036
11-1052K,4.392
16-1022K,7.44
10-1072K,4.968
17-1062K,4.98
11-1042K,6.612
10-1062K,8.88
13-1072K,2.496
12-1082K,4.776
17-1082K,4.32
4-9402K,2.784
4-8702K,4.668
12-5092K,5.304
G-8012K,4.92
4-9702K,5.856
16-8002K,7.296
12-8602K,2.772
11-8902K,5.088
11-4807L,10.908
11-4807M,10.908
11-4807S,10.908
11-5807L,10.908
11-5807M,10.908
11-5807S,10.908
AL11-PVC-AP,10.908
AL11-PVC-HNB,13.176
11-1527XL,13.176
11-1527L,13.176
11-1527M,13.176
11-1527S,13.176
AL11-PVC-DMOR,11.364
11-4407L,11.364
11-4407M,11.364
11-4407S,11.364
11-4507XL,11.364
11-4407XL,11.364
11-4507L,11.364
11-4507M,11.364
11-4507S,11.364
11-9047L,11.892
11-9047M,11.904
11-9047S,11.904
AL11-PVC-FO,11.904
AL11-PVC-FLO,11.82
11-3307L,11.82
11-3307M,11.82
11-3307S,11.82
11-5307XL,11.82
11-5307L,11.82
11-5307M,11.82
11-5307S,11.82
AL11-PVC-FMP,11.82
11-8607L,11.82
11-8607M,11.82
11-8607S,11.82
11-4807XL,10.908
11-9047XL,11.892
11-3307XL,11.82
11-8607XL,11.82
AL11-PVC-LFR,12.72
11-7041WXL,12.72
11-7041WL,12.72
11-7041WM,12.72
11-7041WS,12.72
11-5807XL,10.908
AL11-PVC-UBLF,12.72
11-1007XL,12.72
11-1007L,12.72
11-1007M,12.72
11-1007S,12.72
134-KIO-0065,14.184
PD9803-62,1.308
PD9980-00,1.44
PD4665-23,8.532
PD4635-23,6.12
PD4623-23,3.972
PD4618-23,3.336
PD4621-23,4.08
PD4662-23,
PD4667-23,6.312
PD4610-23,4.08
PD4620-23,3.336
PD4627-23,8.532
PD4625-23,6.312
PD4656-23,7.428
PD4630-23,4.452
PD4614-23,7.056
PD4652-23,4.824
PD4608-23,5.748
ALOVIN,0.744
SC06-181SMK-BCD,8.268
ANDRO-PENIS,68.316
DEVICE,18.804
EUPHOCLASSIC,14.88
EUPHORIASYN,20.148
EVI,14.46
HELIXCLASSIC,14.64
HELIXSYN,20.304
MGXCLASSIC,14.52
MUZE,28.452
PERIDISE2PK,5.652
PERIDISE4PK,16.164
PROGASMCLASSIC,16.536
ANR-PG-I,17.484
PROGASMBLACK,17.484
PROGASMICE,16.164
PROGASMRED,16.284
PROGASMJR,15.132
TEMPO,18.42
VICE,40.56
F2VR3692-008,
2K103VLV-BX,2.34
PD9753-00,1.368
FDDF015RHA-001,30.408
2K683CL-BCD,2.988
F06F025A00-010,2.136
F06F073A00-010,2.232
F06F070A00-010,2.94
1013004,2.7
1013018,4.392
1013003,3.78
1013017,2.304
1013006,3.78
1013005,3.396
1013008,11.652
1013009,11.676
AsylumSJac,11.676
1013010,3.864
1013012,9.132
1013013,9.204
AsylumSSKin,9.204
1013019,2.304
AutoB2,50.436
AB2A,50.436
