SKU,category_name,brand,ean,Web Description,store_status,should_be_visible,price,url_key,warnings
4942781,Máq. Reflex,NIKON,8431016320219,Máquina fotográfica Reflex NIKON D3200 18-55MM VR + 55-200MM VR,Disabled,No,579,https://www.worten.pt/maquina-fotografica-reflex-nikon-d3200-18-55mm-vr-55-200mm-vr.html,not_visible_because_not_enabled
4900714,Avançada,CANON,8714574577739,Máquina fotográfica compacta CANON POWERSHOT G1X,Enabled,No,659,https://www.worten.pt/mq-fotografica-compacta-canon-powershot-g1-grande-sensor-cmos.html,not_visible_because_stock_lower_min_stock
4978077,Avançada,CANON,8714574586588,MQ.Fotográfica.COMPACTA Canon Powersh.S110 ecrã tátil,Enabled,No,399,https://www.worten.pt/mq-fotografica-compacta-canon-powersh-s110-ecr-tatil.html,not_visible_because_stock_lower_min_stock
4330599,Máq. Reflex,CANON,8714574542645,Máquina fotográfica Reflex CANON EOS 7D 15-85MM,Enabled,No,2149,https://www.worten.pt/maquina-fotografica-digital-canon-eos-7d-objetiva-15-85.html,not_visible_because_stock_lower_min_stock
4330600,Máq. Reflex,CANON,8714574542706,Máquina fotográfica Reflex CANON EOS 7D 18-135MM,Enabled,No,1749,https://www.worten.pt/maquina-fotografica-digital-canon-eos-7d-18-135-mm.html,not_visible_because_stock_lower_min_stock
4924978,Máq. Reflex,NIKON,8431016851539,Máquina fotográfica Reflex NIKON D5100 AFS DX 18-55MM G,Disabled,No,599.99,https://www.worten.pt/maquina-fotografica-reflex-nikon-d5100-afs-dx-18-55mm-g-1.html,not_visible_because_not_enabled
4832654,Lentes Intermutáveis - CSC,NIKON,18208922468,Máquina fotográfica CSC NIKON J1 PRETA 10-30MM VR,Enabled,No,379,https://www.worten.pt/maquina-fotografica-reflex-nikon-j1-lente-10-30-mm-vr-preta.html,not_visible_because_stock_lower_min_stock
4666090,Máq. Reflex,NIKON,18208884575,Máquina fotográfica Reflex Nikon Kit Corpo+1Lente,Disabled,No,599,https://www.worten.pt/mq-fotografica-reflex-nikon-kit-corpo-1lente.html,not_visible_because_not_enabled
4955740,Lentes Intermutáveis - CSC,CANON,8714574590387,Máquina fotográfica CSC CANON EOS M EF-M 18-55MM PRETA,Enabled,No,499,https://www.worten.pt/maquina-fotografica-csc-canon-eos-m-ef-m-18-55mm-preta.html,not_visible_because_stock_lower_min_stock
4736520,Máq. Reflex,NIKON,8431016851089,Máquina fotográfica Reflex NIKON D5100 18-55MM G + 55-200MM GV,Enabled,No,799.99,https://www.worten.pt/maquina-fotografica-slr-mid-nikon-d5100-bol-tripe-liv-4gb.html,not_visible_because_stock_lower_min_stock
4886387,Lentes Intermutáveis - CSC,OLYMPUS,4545350040413,Mq. Fotográfica. Reflex Olympus E-M5 Pret visor ótico eletró,Enabled,Yes,1089,https://www.worten.pt/mq-fotografica-reflex-olympus-e-m5-pret-visor-otico-eletro.html,
4735829,Máq. Reflex,NIKON,8431016310210,Máquina fotográfica Reflex NIKON D3100 18-55MM,Disabled,No,469,https://www.worten.pt/maquina-fotografica-reflex-nikon-d3100-18-55mm.html,not_visible_because_not_enabled
4530921,Máq. Reflex,CANON,8714574574929,Máquina fotográfica Reflex CANON EOS 60D 18-55MM IS,Disabled,No,849,https://www.worten.pt/maquina-fotografica-reflex-canon-eos-60d-objetiva-18-55is.html,not_visible_because_not_enabled
4898025,Máq. Reflex,NIKON,18208922055,Máquina fotográfica Reflex NIKON D800,Enabled,No,2649,https://www.worten.pt/mq-fotografica-reflex-nikon-d800-corpo.html,not_visible_because_stock_lower_min_stock
5037742,Máq. Reflex,CANON,8714574593647,Máquina fotográfica Reflex CANON EOS 6D CORPO,Enabled,No,1699,https://www.worten.pt/maquina-fotografica-reflex-canon-eos-6d-corpo.html,not_visible_because_stock_lower_min_stock
5021250,Máq. Reflex,SONY,4905524896176,Máquina fotográfica reflex SONY SLTA99V.CE corpo,Enabled,No,2299,https://www.worten.pt/maquina-fotografica-reflex-sony-slta99v-ce-corpo.html,not_visible_because_stock_lower_min_stock
