identifier,name,price,url,brand,category,image_url,stock
PYAB,Abby Wig by Paula Young (A),79,http://www.naturalimagewigs.co.uk/Abby-MP-A.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Abbey_Sept_T2.jpg,in stock
PYAB/L,Abby Wig by Paula Young (L),79,http://www.naturalimagewigs.co.uk/Abby-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Abbey_Sept_T2.jpg,in stock
PYAB/MP,Abby Wig by Paula Young (MP),79,http://www.naturalimagewigs.co.uk/Abby-Wig-by-Paula-Young-MP.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Abbey_Sept_T2.jpg,in stock
PYAB/P,Abby Wig by Paula Young (P),79,http://www.naturalimagewigs.co.uk/Abby-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Abbey_Sept_T2.jpg,in stock
ABIG01,Abigail Wig by Paula Young,75,http://www.naturalimagewigs.co.uk/Abigail-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/A8193_5060H_Abigail_2470_opt.png,in stock
PYAD,Adelaide Wig by Paula Young (A),95,http://www.naturalimagewigs.co.uk/Adelaide-ADEL.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/adelaide_t1.jpg,in stock
PYAD/L,Adelaide Wig by Paula Young (L),95,http://www.naturalimagewigs.co.uk/Adelaide-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/adelaide_t1.jpg,in stock
PYAD/P,Adelaide Wig by Paula Young (P),95,http://www.naturalimagewigs.co.uk/Adelaide-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/adelaide_t1.jpg,in stock
ALE,Alex Wig by Natural Image,90,http://www.naturalimagewigs.co.uk/Alex-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/alex_t-01.jpg,in stock
PYALE/A,Alex Wig by Paula Young,60,http://www.naturalimagewigs.co.uk/Alex.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/alex%20thumbnail.jpg,in stock
ALX/P,Alexis Wig By Joan Collins,95,http://www.naturalimagewigs.co.uk/Alexis-Wig-By-Joan-Collins.html,Dynasty Hairstyles by Joan Collins,Wigs,http://www.naturalimagewigs.co.uk/images/T/jc_alexis_t.jpg,in stock
NA,Alice Wig by Jacqueline,79,http://www.naturalimagewigs.co.uk/Alice.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/Alice_04-th.jpg,in stock
PYALS/A,Allison Lace Front Wig by Paula Young,89,http://www.naturalimagewigs.co.uk/Allison.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/alison_t.jpg,in stock
PYAU,Allure Wig by Paula Young (A),79,http://www.naturalimagewigs.co.uk/Allure-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/A5010_Allure-thumb.jpg,in stock
PYAU/L,Allure Wig by Paula Young (L) ,79,http://www.naturalimagewigs.co.uk/Allure-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/A5010_Allure-thumb.jpg,in stock
ALW,Always Wig by Raquel Welch,120,http://www.naturalimagewigs.co.uk/Always-Wig-by-Raquel-Welch.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/always_t.jpg,in stock
2536,Alyssa Wig by Amore,207,http://www.naturalimagewigs.co.uk/Alyssa-Wig-by-Amore.html,Amore,Wigs,http://www.naturalimagewigs.co.uk/images/T/Alyssa%20T.jpeg,in stock
AMA/A,Amanda Wig By Joan Collins,39,http://www.naturalimagewigs.co.uk/Amanda-Wig-By-Joan-Collins.html,Dynasty Hairstyles by Joan Collins,Wigs,http://www.naturalimagewigs.co.uk/images/T/jc_amanda_p.jpg,in stock
PYAMZ,Amaze Wig by Paula Young,79,http://www.naturalimagewigs.co.uk/Amaze-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/amaze-th.jpg,in stock
PYANG,Angel Wig by Paula Young (A),85,http://www.naturalimagewigs.co.uk/Angel.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/xctmpnppZf1.png,in stock
PYANG/L,Angel Wig by Paula Young (L),85,http://www.naturalimagewigs.co.uk/Angel-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/xctmpnppZf1.png,in stock
PYANG/P,Angel Wig by Paula Young (P),85,http://www.naturalimagewigs.co.uk/Angel-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/xctmpnppZf1.png,in stock
ANGE,Angelica Wig by Noriko,158.8,http://www.naturalimagewigs.co.uk/Angelica-Wig-by-Noriko.html,Noriko,Wigs,http://www.naturalimagewigs.co.uk/images/T/angelica_t.jpg,in stock
ANG,Angelique Wig by Natural Image,89,http://www.naturalimagewigs.co.uk/Angelique.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/angelique_t.jpg,in stock
APR/A,April Wig by Natural Image,79,http://www.naturalimagewigs.co.uk/April-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/April_t-01.jpg,in stock
ARR,Arrival Wig by Natural Image,110,http://www.naturalimagewigs.co.uk/Arrival-Wig-by-Natural-Image.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/arrival_t.jpg,in stock
ARU,Aruba Wig by Jacqueline,79,http://www.naturalimagewigs.co.uk/Aruba.html,Jacqueline,Wigs,http://www.naturalimagewigs.co.uk/images/T/Aruba_581-th.jpg,in stock
APE,Aspire Wig by Natural Image,39,http://www.naturalimagewigs.co.uk/Aspire-Wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/aspire_t.jpg,in stock
AST,Asset Wig by Natural Image,80,http://www.naturalimagewigs.co.uk/Asset-wig.html,Natural Image,Wigs,http://www.naturalimagewigs.co.uk/images/T/asset_t.jpg,in stock
