Product Title,Lens Type,Vendor,AU,NZ,$au,$NZ,Priority,PLU
1 Day Acuvue Moist,Daily Disposables,Johnson & Johnson,http://www.specsavers.com.au/contact-lenses/daily-disposables/1-day-acuvue-moist,http://www.specsavers.co.nz/contact-lenses/daily-disposables/1-day-acuvue-moist,26,31.5,1,
Acuvue Oasys,Fortnightly,Johnson & Johnson,http://www.specsavers.com.au/contact-lenses/fortnightly/acuvue-oasys,http://www.specsavers.co.nz/contact-lenses/fortnightly/acuvue-oasys,31,34,2,
1 Day Acuvue Moist for Astigmatism,Daily Toric,Johnson & Johnson,http://www.specsavers.com.au/contact-lenses/daily-toric/1-day-acuvue-moist-astigmatism,http://www.specsavers.co.nz/contact-lenses/daily-toric/1-day-acuvue-moist-astigmatism,35,45,3,
Acuvue Oasys for Astigmatism,Fortnightly Toric,Johnson & Johnson,http://www.specsavers.com.au/contact-lenses/fortnightly-toric/acuvue-oasys-astigmatism,http://www.specsavers.co.nz/contact-lenses/fortnightly-toric/acuvue-oasys-astigmatism,49,57,4,
Focus Dailies Aqua Comfort Plus,Daily Disposables,Alcon (Ciba Vision),http://www.specsavers.com.au/contact-lenses/daily-disposables/focus-dailies-aqua-comfort-plus,http://www.specsavers.co.nz/contact-lenses/daily-disposables/focus-dailies-aqua-comfort-plus,28,30,5,
Focus Dailies All Day Comfort,Daily Disposables,Alcon (Ciba Vision),http://www.specsavers.com.au/contact-lenses/daily-disposables/focus-dailies-all-day-comfort,http://www.specsavers.co.nz/contact-lenses/daily-disposables/focus-dailies-all-day-comfort,22,23.5,6,
1 Day Acuvue Trueye,Daily Disposables,Johnson & Johnson,http://www.specsavers.com.au/contact-lenses/daily-disposables/1-day-acuvue-trueye,http://www.specsavers.co.nz/contact-lenses/daily-disposables/1-day-acuvue-trueye,36,40,7,
Air Optix Aqua,Monthly Disposables,Alcon (Ciba Vision),http://www.specsavers.com.au/contact-lenses/monthly-disposables/air-optix-aqua,http://www.specsavers.co.nz/contact-lenses/monthly-disposables/air-optix-aqua,29.5,30,8,
Air Optix Night & Day Aqua,Monthly Disposables,Alcon (Ciba Vision),http://www.specsavers.com.au/contact-lenses/monthly-disposables/air-optix-night-day-aqua,http://www.specsavers.co.nz/contact-lenses/monthly-disposables/air-optix-night-day-aqua,37.5,42,9,
Proclear 1 Day,Daily Disposables,CooperVision,http://www.specsavers.com.au/contact-lenses/daily-disposables/proclear-1-day,http://www.specsavers.co.nz/contact-lenses/daily-disposables/proclear-1-day,28.5,28,10,
