Product Title,Lens Type,Vendor,PLU,KR SE,Kr NO
Focus Dailies All Day Comfort,Daily Disposables,Alcon (Ciba Vision),9996140,,30
Focus Dailies Aqua Comfort Plus,Daily Disposables,Alcon (Ciba Vision),4000859,,30
Focus Dailies Aqua Comfort Plus Toric,Daily Toric,Alcon (Ciba Vision),5000226,,30
Dailies Total 1,Daily Disposables,Alcon (Ciba Vision),5000004,,30
Focus Dailies Aqua Comfort Plus Multifocal,Daily Multifocal,Alcon (Ciba Vision),5000227,,30
1 Day Acuvue Moist,Daily Disposables,Johnson & Johnson,9996155,,30
1 Day Acuvue Moist for Astigmatism,Daily Toric,Johnson & Johnson,4001096,,30
1 Day Acuvue Trueye,Daily Disposables,Johnson & Johnson,4000311,,30
Proclear 1 Day,Daily Disposables,CooperVision,9996173,,30
Air Optix Aqua,Monthly Disposables,Alcon (Ciba Vision),4000869,,30
Biofinity,Monthly Disposables,CooperVision,4001920,,30
Acuvue Oasys,Fortnightly,Johnson & Johnson,9996175,,30
Acuvue Oasys for Astigmatism,Fortnightly Toric,Johnson & Johnson,4000830,,30
Air Optix Night & Day Aqua,Monthly Disposables,Alcon (Ciba Vision),4000572,,30
Air Optix for Astigmatism,Monthly Toric,Alcon (Ciba Vision),4000472,,30
Air Optix Aqua Multifocal,Monthly Multifocal,Alcon (Ciba Vision),4000535,,30
Proclear,Monthly Disposables,CooperVision,9996133,,30
1Day ACUVUE MOIST MULTIFOCAL,Daily Disp.,,,,
Soflens daily disposable,Daily Disp.,,,,
Soflens daily disposable toric,Daily Disp.,,,,
MyDay daily disposable,Daily Disp.,,,,
Proclear 1Day Multifocal,Daily Disp.,,,,
Biotrue ONEday Lenses,Daily Disp.,,,,
Biomedics 1 day extra,Daily Disp.,,,,
Biomedics 1 day extra toric,Daily Disp.,,,,
Biofinity toric,Monthly Disp.,,,,
Biofinity multifocal,Monthly Disp.,,,,
AIR OPTIX for ASTIGMATISM,Monthly Disp.,,,,
AIR OPTIX AQUA Multifocal,Monthly Disp.,,,,
PureVision 2,Monthly Disp.,,,,
PureVision 2 for Astigmatism,Monthly Disp.,,,,
PureVision 2 for Presbyopia,Monthly Disp.,,,,
ACUVUE OASYS FOR PRESBYOPIA,14-day Disp.,,,,
Proclear toric,Monthly Disp.,,,,
proclear multifocal,Monthly Disp.,,,,
proclear multifocal,Monthly Disp.,,,,
