Nome,SKU,URL,EAN,forumsport.com,elcorteingles.es
Tiempo Rio FG,5721707,https://www.sportzone.es/tienda-deportes-online/futbol/botas-de-futbol/cesped-natural/terreno-seco/tiempo-rio-fg-5721707,8848029645820890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,
Chapman strip,5696581,https://www.sportzone.es/tienda-deportes-online/zapatos-ropa-deportiva/calzado/estilo-casual/urban/chapman-strip-5696581,"0881862394809,0881862394717,0881862394779,0881862394786,0881862394748,0881862394816,0881862394731,05606675964903",http://www.forumsport.com/vans-zapatilla-moda-hombre-m-chapman-stripe-varsity-v3d7iz9-402077/,
DESCENDANT TR,5676727,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/trail/descendant-tr-5676727,"4056204938485,4056204938478,4056204938539,4056204938577,4056204938515,4056204938560,4056204938508,4056204938546,05606675933022",,
VS RUN,5668533,https://www.sportzone.es/tienda-deportes-online/zapatos-ropa-deportiva/calzado/estilo-casual/urban/vs-run-5668533,"4055342272611,4055342272642,4055342273236,4055342273267,4055342272666,4055342273274,4055342272635,4055342272673,05606675920169",,
Wmns Nike Free 5.0,5387066,https://www.sportzone.es/tienda-deportes-online/running/top-marcas/nike/wmns-nike-free-5-0-5387066,"0885259377437,0885259377468,0885259377482,0885259377406,0885259377420,0885259377451,0885259377413,0885259377444,05606675328712",http://www.forumsport.com/nike-zapatilla-running-hombre-free-50-642198-406-387998/,
RCF SKINNY BRA GRAP,5650750,https://www.sportzone.es/tienda-deportes-online/gimnasio-fitness/textil/tops/rcf-skinny-bra-grap-5650750,"4056562193007,4056562192963,5606675874080,4056562188904,4056562192987,05606675874028",,
SUDADERA CON CAPUCHA TECH FLEECE FZ,5667859,https://www.sportzone.es/tienda-deportes-online/zapatos-ropa-deportiva/textil/sudaderas/sudadera-con-capucha-tech-fleece-fz-5667859,"0888410839836,0888410839850,2100007494685,0888410839829,0888410839843,05606675912249",,
Adidas Camiseta Oficial Portero R. Madrid,5522356,https://www.sportzone.es/tienda-deportes-online/futbol/productos-oficiales/clubes/adidas-camiseta-oficial-portero-r-madrid-5522356,"4055343161013,4055343165080,4055343160924,4055343160979,05606675611937",,http://www.elcorteingles.es/deportes/A14700939-camiseta-de-portero-real-madrid-cf-2015-2016-adidas/
Micro G Neo Mantis,5361803,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/pisada-neutra/micro-g-neo-mantis-5361803,"0888284359096,0888284359133,0888284359171,0888284359072,0888284359126,0888284359102,0888284359157,05606675283875",,
REPONSE BOOST 2,5681409,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/pisada-neutra/reponse-boost-2-5681409,"4055341032308,4055341032414,4055341032377,4055341032360,4055341032391,4055341032315,05606675940563",http://www.forumsport.com/adidas-zapatilla-running-mujer-response-boost-2-w-s41913-401527/,
ELASTIKA ELEVATE TANK,5666068,https://www.sportzone.es/tienda-deportes-online/gimnasio-fitness/textil/elastika-elevate-tank-5666068,"0091208841427,0091208841410,0091208840291,0091208841434,05606675912836",,
Adipure 360.3 W,5653790,https://www.sportzone.es/tienda-deportes-online/gimnasio-fitness/calzado/adipure-360-3-w-5653790,"4055341040143,4055341040112,4055341037693,4055341040167,4055341040136,05606675881439",,
SPEED CROSS 3,5690207,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/trail/speed-cross-3-5690207,"0887850865511,0887850865542,0887850865573,0887850865498,0887850865504,0887850865528,0887850865474,0887850865481,05606675950883",http://www.forumsport.com/salomon-zapatillas-trail-mujer-speedcross-3-w-l37905800-401995/,http://www.elcorteingles.es/deportes/A17928883-zapatillas-de-running-de-hombre-speedcross-3-salomon/
Furon Pro FG,5577280,https://www.sportzone.es/tienda-deportes-online/futbol/botas-de-futbol/cesped-natural/terreno-seco/furon-pro-fg-5577280,"0899116003674,0899116003681,0899116003698,0899116003711,0899116003735,0899116003704,0899116003650,05606675706572",,
GEL-DS TRAINER 20,5573694,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/pisada-pronadora-estabilidad/gel-ds-trainer-20-5573694,"8718833113355,8718833113324,8718833113409,8718833113379,8718833113331,8718833113362,8718833113317,8718833113348,8718833113393,05606675696590",http://www.forumsport.com/asics-zapatilla-running-hombre-gel-ds-trainer-20-t528n-0730-393076/,http://www.elcorteingles.es/deportes/A15343067-zapatillas-de-running-de-hombre-gel-ds-trainer-asics/
EvoSPEED 5.3 FG,5454989,https://www.sportzone.es/tienda-deportes-online/futbol/botas-de-futbol/cesped-natural/terreno-seco/evospeed-5-3-fg-5454989,"4053987391223,4053987391162,4053987391193,4053987391179,4053987391155,4053987391131,4053987391209,4053987391186,05606675457412",,
XA PRO 3D ULTRA 2,5473009,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/trail/xa-pro-3d-ultra-2-5473009,"0887850515911,0887850515935,0887850515904,0887850515928,0887850515942,05606675494431",,
AIR ZOOM STRUCTURE 18,5666126,https://www.sportzone.es/tienda-deportes-online/running/zapatillas/pisada-pronadora-estabilidad/zoom-structure-18-5666126,"0886550055352,0886550055390,0886550055314,0886550055321,0886550055376,0886550055369,0886550055345,0886550055307,0886550055338,05606675591024",,
Bolivar,5441020,https://www.sportzone.es/tienda-deportes-online/zapatos-ropa-deportiva/calzado/estilo-casual/urban/bolivar-5441020,"3606802266476,3606802266490,3606802266445,3606802266469,3606802266520,3606802266506,05606675438374",http://www.forumsport.com/le-coq-sportif-zapatilla-moda-hombre-bolivar-classic-1610407-402390/,
ACE 16.4 FXG,5750930,https://www.sportzone.es/tienda-deportes-online/futbol/botas-de-futbol/ace-16-4-fxg-5750930,"4055341257916,4055341257961,4055341257985,4055341258036,4055341257930,4055341257992,4055341258005,4055341257909,4055341257923,4055341257978,4055341258029,05606675944646",,
Messi 10.3 FG/AG,5541835,https://www.sportzone.es/tienda-deportes-online/futbol/botas-de-futbol/messi-10-3-fg-ag-5541835,"4055338868569,4055338868583,4055338868521,4055338868620,4055338868590,4055338868538,4055338868606,4055338868507,4055338868552,4055338868576,05606675654644",http://www.forumsport.com/adidas-botas-futbol-hombre-messi-103-fgag-ce-b26950-394998/,
GO WALK,5688054,https://www.sportzone.es/marca/skechers/zapatos-moda-casual/go-walk-5688054,"0887047502663,0887047502601,0887047502649,0887047502625,5606675094853,0887047502687,0887047502588,05606675094785",,
STYLE Sweat Suit FL cl,5569550,https://www.sportzone.es/tienda-deportes-online/zapatos-ropa-deportiva/chandal/style-sweat-suit-fl-cl-5569550,"4055262546847,4055262546991,4055262546885,4055262546946,05606675688939",,
EQUALIZER - FIRST RATE,5591843,https://www.sportzone.es/marca/skechers/zapatos-moda-casual/equalizer-first-rate-5591843,"0888222691912,0888222691974,0888222691998,0888222691936,0888222691950,0888222692001,05606675755556",,
STYLE ATHL Crew Sweat FL,5567981,https://www.sportzone.es/tienda-deportes-online/zapatos-ropa-deportiva/textil/camisetas/style-athl-crew-sweat-fl-5567981,"4055262541231,4055262541187,4055262541194,4055262540692,05606675688861",,
