"sku","manufacturer","manufacturer_sku","ean_barcode","price (ex VAT)"
"Bristan_ECO SHW 05","Bristan","ECO SHW 05",5014869087763,"3,4389"
"Bristan_ECO SHW 06","Bristan","ECO SHW 06",5014869087756,"3,4389"
"Bristan_ECO SHW 07","Bristan","ECO SHW 07",5014869087749,"3,4389"
"Bristan_ECO SHW 04","Bristan","ECO SHW 04",5014869087770,"3,4389"
"Bristan_ECO SHW 08","Bristan","ECO SHW 08",5014869087800,"3,4389"
"Bristan_ECO BAS3.5","Bristan","ECO BAS3.5",5014869092576,"3,44"
"Bristan_ECO BAS4.5","Bristan","ECO BAS4.5",5014869092583,"3,44"
"Bristan_W BSN2 C","Bristan","W BSN2 C",5014868697772,"3,44"
"Bristan_ECO SPBAS 1.8","Bristan","ECO SPBAS 1.8",5014869105290,"3,44"
"Deva_FOV414","Deva","FOV414",5011632060053,"3,44"
"Bristan_VLV XB080BD200O","Bristan","VLV XB080BD200O",5014869046364,"3,49"
"Deva_DAC179","Deva","DAC179",5011632058203,"3,5"
"Deva_NRV15","Deva","NRV15",5011632662448,"3,5"
"Ideal_Standard_S912067","Ideal Standard","S912067",5012001209707,"3,53"
"Deva_DCM179","Deva","DCM179",5011632058678,"3,54"
"Franke_112.0002.709","Franke","112.0002.709",7612980508082,"3,6192"
"Saxby_Lighting_43829","Saxby Lighting",43829,5017588438298,"3,658"
"Saxby_Lighting_43830","Saxby Lighting",43830,5017588438304,"3,658"
"Croydex_AM155341","Croydex","AM155341",5012044073686,"3,7088"
"Croydex_AK204022","Croydex","AK204022",5012044002853,"3,7088"
"Croydex_PA111822","Croydex","PA111822",5012044084644,"3,7088"
"Croydex_QM731141","Croydex","QM731141",5012044079534,"3,71"
"Croydex_QM360941","Croydex","QM360941",5012044074997,"3,71"
"Croydex_AM168622","Croydex","AM168622",5012044089458,"3,7176"
"Croydex_AM168641","Croydex","AM168641",5012044089465,"3,7176"
"Croydex_AM168922","Croydex","AM168922",5012044089496,"3,7176"
"Rada_1.450.98.1","Rada","1.450.98.1",5013181017625,"3,72"
"Rada_1.935.87.1","Rada","1.935.87.1",5013181009866,"3,72"
"Rada_1.631.10.2.0","Rada","1.631.10.2.0",5013181631104,"3,72"
"Rada_1.937.79.2.0","Rada","1.937.79.2.0",5013181937794,"3,72"
"Rada_1.937.22.2.0","Rada","1.937.22.2.0",5013181937220,"3,72"
"Saxby_Lighting_DL302C","Saxby Lighting","DL302C",5017588174868,"3,72"
"Saxby_Lighting_DL302SS","Saxby Lighting","DL302SS",5017588174882,"3,72"
"Saxby_Lighting_MX78A","Saxby Lighting","MX78A",5017588957720,"3,72"
"Saxby_Lighting_42912","Saxby Lighting",42912,5017588429128,"3,72"
"Saxby_Lighting_42913","Saxby Lighting",42913,5017588429135,"3,72"
"Croydex_AM164641","Croydex","AM164641",5012044082237,"3,87"
"Ideal_Standard_E4670AA","Ideal Standard","E4670AA",5017830261018,"3,9"
"Ideal_Standard_E467201","Ideal Standard","E467201",5017830261070,"3,9"
"Ideal_Standard_S4960AA","Ideal Standard","S4960AA",5017830329466,"3,9"
"Ideal_Standard_E4671GE","Ideal Standard","E4671GE",5017830261049,"3,9"
"Ideal_Standard_E3332GE","Ideal Standard","E3332GE",5017830361602,"3,93"
"Aqualux_1155990","Aqualux",1155990,8718315059188,"3,94"
"Aqualux_1155998","Aqualux",1155998,8718315059263,"3,94"
"Croydex_QM641741","Croydex","QM641741",5012044076366,"3,98"
"Bristan_WB101 C","Bristan","WB101 C",5014868982717,"3,99"
"GROHE_45023000","GROHE",45023000,4005176006494,"4,01"
"Saxby_Lighting_3TRABKL","Saxby Lighting","3TRABKL",5017588172406,"4,03"
"Saxby_Lighting_3TRASSP","Saxby Lighting","3TRASSP",5017588172338,"4,03"
"Saxby_Lighting_3TRAWL","Saxby Lighting","3TRAWL",5017588172529,"4,03"
"Saxby_Lighting_3TRAWP","Saxby Lighting","3TRAWP",5017588172345,"4,03"
"Saxby_Lighting_DLA339W","Saxby Lighting","DLA339W",5017588905783,"4,03"
"Saxby_Lighting_S5511CHTRIM","Saxby Lighting","S5511CHTRIM",5017588304043,"4,03"
"Saxby_Lighting_S5511SSTRIM","Saxby Lighting","S5511SSTRIM",5017588304036,"4,03"
"Armitage_Shanks_S881001","Armitage Shanks","S881001",5012001565544,"4,06"
"Croydex_QM588541","Croydex","QM588541",5012044078445,"4,11"
"Bristan_VLV XB069BX000O","Bristan","VLV XB069BX000O",5014869028483,"4,15"
"Franke_112.0183.990","Franke","112.0183.990",7612980559169,"4,1583"
"Armitage_Shanks_S911067","Armitage Shanks","S911067",5012001210260,"4,1667"
"Bristan_VLV 04008","Bristan","VLV 04008",5014869026878,"4,18"
"Saxby_Lighting_DL805W","Saxby Lighting","DL805W",5017588175452,"4,19"
"GROHE_37101SH0","GROHE","37101SH0",4005176141942,"4,2"
"GROHE_0726400M","GROHE","0726400M",4005176228797,"4,2"
"Croydex_GP98700PC","Croydex","GP98700PC",5029125559557,"4,22"
"Croydex_QM731541","Croydex","QM731541",5012044079558,"4,24"
"Croydex_QM731941","Croydex","QM731941",5012044079589,"4,24"
"Croydex_AM164541","Croydex","AM164541",5012044082220,"4,24"
