"device","url"
"iPhone 5S 16GB","http://www.carphonewarehouse.com/mobiles/mobile-phones/APPLE_IPHONE_5S_16GB/MONTHLY?colourCode=GREY"
"iPhone 5S 32GB","http://www.carphonewarehouse.com/mobiles/mobile-phones/APPLE_IPHONE_5S_32GB/MONTHLY?colourCode=GREY"
"iPhone 5S 64GB","http://www.carphonewarehouse.com/mobiles/mobile-phones/APPLE_IPHONE_5S_64GB/MONTHLY?colourCode=GREY"
"iPhone 5C 16GB","http://www.carphonewarehouse.com/mobiles/mobile-phones/APPLE_IPHONE_5C_16GB/MONTHLY?colourCode=BLUE"
"iPhone 5C 32GB","http://www.carphonewarehouse.com/mobiles/mobile-phones/APPLE_IPHONE_5C_32GB/MONTHLY?colourCode=BLUE"
"Sony Xperia Z1","http://www.carphonewarehouse.com/mobiles/mobile-phones/SONY_XPERIA_Z1/MONTHLY?colourCode=BLACK"
"Nokia Lumia 1020","http://www.carphonewarehouse.com/mobiles/mobile-phones/NOKIA_LUMIA_1020/MONTHLY?colourCode=BLACK"
"Samsung Galaxy S4","http://www.carphonewarehouse.com/mobiles/mobile-phones/SAMSUNG_GALAXY_S4/MONTHLY?colourCode=WHITE"
"HTC One","http://www.carphonewarehouse.com/mobiles/mobile-phones/HTC_ONE/MONTHLY?colourCode=SILVER"
"Nexus 5","http://www.carphonewarehouse.com/mobiles/mobile-phones/GOOGLE_NEXUS_5/MONTHLY?colourCode=WHITE"
