"device","url"
"iPhone 5S 16GB","https://www.o2.co.uk/shop/phones/apple/iphone-5s-16gb-space-grey/ "
"iPhone 5S 32GB","https://www.o2.co.uk/shop/phones/apple/iphone-5s-32gb-space-grey/ "
"iPhone 5S 64GB","https://www.o2.co.uk/shop/phones/apple/iphone-5s-64gb-space-grey/"
"iPhone 5C 16GB","https://www.o2.co.uk/shop/phones/apple/iphone-5c-16gb-blue/"
"iPhone 5C 32GB","https://www.o2.co.uk/shop/phones/apple/iphone-5c-32gb-blue/ "
"Sony Xperia Z1","https://www.o2.co.uk/shop/phones/sony/xperia-z1-black/ "
"Nokia Lumia 1020","https://www.o2.co.uk/shop/phones/nokia/lumia-1020-black/ "
"Samsung Galaxy S4","https://www.o2.co.uk/shop/phones/samsung/galaxy-s4-white-frost/ "
"HTC One","https://www.o2.co.uk/shop/phones/htc/one/"
"Nexus 5","https://www.o2.co.uk/shop/phones/lg/nexus-5/"
