"device","url"
"iPhone 5S 16GB","http://www.three.co.uk/Discover/Devices/Apple/iPhone_5s?tab=Features.&memory=16&colour=Space_Grey"
"iPhone 5S 32GB","http://www.three.co.uk/Discover/Devices/Apple/iPhone_5s?tab=Features.&memory=32&colour=Space_Grey"
"iPhone 5S 64GB","http://www.three.co.uk/Discover/Devices/Apple/iPhone_5s?tab=Features.&memory=64&colour=Space_Grey"
"iPhone 5C 16GB","http://www.three.co.uk/Discover/Devices/Apple/iPhone_5c?tab=Features.&memory=16&colour=Blue"
"iPhone 5C 32GB","http://www.three.co.uk/Discover/Devices/Apple/iPhone_5c?tab=Features.&memory=32&colour=Blue"
"Sony Xperia Z1","http://store.three.co.uk/view/product/ql_catalog/threecatdevice/2729"
"Nokia Lumia 1020","http://store.three.co.uk/view/product/ql_catalog/threecatdevice/2731"
"Samsung Galaxy S4","http://store.three.co.uk/Samsung_Galaxy_S4"
"HTC One","http://store.three.co.uk/HTC_One"
"Nexus 5","http://store.three.co.uk/view/product/ql_catalog/threecatdevice/2737"
