Item Number,Item  Description,UPC,Amazon ASIN,Target TCIN,Walmart #,Wayfair,MSRP,MAP,Brand,Category,Image URL
66172,Soehnle Luggage Travel Scale,047738661721,B004FPYEXK,Err:512,38423061,QJ1067,$29.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/66172_1.jpg
63747,"Soehnle 63747 Pino Digital Bath Scale, White",047738637474,B003MUJV82,Err:512,17459465,QJ1064,$34.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63747_1.jpg
63824,"Soehnle Pino Precision Digital Bathroom Scale, Pink",047738638242,B00M8Q0WGQ,Err:512,38423042,QJ1079,$34.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63824_1.jpg
63740,Soehnle 63740 Melody 2.0 Digital Bath Scale,047738637405,B002BFINWE,Err:512,17459478,QJ1063,$44.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63740_1.jpg
63165,Soehnle 63165 Gala Digital Bath Scale,047738631656,B002BFU6UQ,Err:512,38423048,QJ1074,$47.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63165_1.jpg
63538,"Soehnle 63538 Slim Design Quattrotronic Scale, Silver",047738635388,B000FL07AW,Err:512,17459471,QJ1078,$70.00,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63538_1.jpg
61350,Soehnle 61350 Silver Sense Digital Bath Scale,047738613508,B003MUHYKY,Err:512,38423044,QJ1065,$48.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/61350_1.jpg
63746,Soehnle 63746 Pharo 200 Digital Bath Scale,047738637467,B003MUJVL4,Err:512,17459621,QJ1066,$49.99,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63746_1.jpg
63308,Soehnle 63308 Solar Sense Digital Bath Scale,047738633080,B003MUM1JI,Err:512,17459623,Err:512,$71.75,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63308_1.jpg
63559,"Soehnle 63559 Slim Digital Bath Scale, Black",047738635593,B001BFBHGO,Err:512,17459472,QJ1078,$49.95,,Soehnle,Bath Scales,http://www.householdessential.com/ftp-images/63559_1.jpg
