product_name,product_sku
285/65/18 B F Goodrich T/A KO All Terrain 125R OWL,967031
265/65/18 B F Goodrich T/A KO All Terrain,943246
265/70/17 B F Goodrich T/A KO All Terrain,97055
285/45/19 Bridgestone D Sport Runflat,1348
255/60/17 Bridgestone Dueler H/T D840 106T,77570
235/55/17 Bridgestone Turanza EL 42 99H,77976
245/65/17 Bridgestone Dueler H/T D840 111S,79425
255/60/17 Continental 4x4 Contact 106H ,15449190000
235/65/17 Insa Turbo Dakar Mud Terrain 104Q ,302071490013
275/40/20 Continental 4x4 Sport Contact 106Y XL ,3546580000
275/45/19 Continental 4x4 Sport Contact 108Y ,3546310000
235/65/17 General Grabber UHP 108V,15477120000
235/55/19 Continental Cross Contact UHP 105V XL,3545730000
255/55/18 Insa Turbo Ranger All Terrain 109S,302072030017
"285/45/19 Continental Cross Contact UHP 111W XL Runflat, SSR ",3546530000
285/50/18 Continental Cross Contact UHP 109W,3520700000
255/50/20 Continental Cross Contact UHP 109Y XL ,3545790000
295/45/20 Continental Cross Contact UHP 114W XL ,3545600000
255/50/19 Continental Cross Contact UHP 107Y XL,3540630000
225/65/17 Continental 4x4 Contact 99H,3541550000
275/40/20 Continental 4x4 Sport Contact 106Y XL Porsche ,3546370000
235/70/17 Cooper Discoverer ATR 111S,5554
265/70/17 Cooper Discoverer ATR 115S,5556
275/55/20 Cooper Discoverer ATR 117S,5553
275/60/20 Cooper Discoverer LTZ 119S,14030
275/65/18 Cooper Discoverer STT 110Q,76143
245/70/17 Cooper Discoverer STT 119/116Q,76102
265/70/17 Cooper Discoverer STT Mud Terrain 121Q OWL,76109
265/60/18 Dunlop Grand trek AT20 110H,565744
255/60/18 Toyo Open Country HT 109H,1593800
275/60/18 Dunlop SP Grand trek AT23 113H,558002
225/60/17 Dunlop SP Sport 270 99H,556698
275/55/17 Dunlop SP Sport 5000 109V,556697
255/55/19 Kumho Ecsta KL17 111V,2150643
255/60/17 General Grabber UHP 106V,15477170000
255/65/17 General Grabber All Terrain 110H ,4501380000
255/60/18 General Grabber All Terrain 112H XL,4503660000
