partn,Listing Title,SKU,Barcode,ebay price,ASIN,retail price,pfjones_postage,toys4cars_postage
WITTERKIT-AD37B,Witter Fixed Flange Towbar Kit Fits Audi A4 Avant Estate (B5) 1996 To 2001,AD37B,5053320159151,"119,28",,"125,87",16.00,17.99
WITTERKIT-AD37B-1,Witter Fixed Flange Towbar Kit Fits Audi A4 Saloon (B5) 1995 To 2001,AD37B,5053320159168,"119,28",,"125,87",16.00,17.99
WITTERKIT-AD39B,Witter Fixed Flange Towbar Kit Fits Audi A6 Avant Estate (C5) 1998 To 2004,AD39B,5053320159175,"131,49",,"138,47",16.00,17.99
WITTERKIT-AD39B-1,Witter Fixed Flange Towbar Kit Fits Audi A6 Saloon (C5) 1997 To 2004,AD39B,5053320159182,"131,49",,"138,47",16.00,17.99
WITTERKIT-AD39BQ,Witter Detachable Towbar Kit Fits Audi A6 Avant Estate (C5) 1998 To 2004,AD39BQ,5053320159199,"196,49",,"200,03",16.00,9.99
WITTERKIT-AD39BQ-1,Witter Detachable Towbar Kit Fits Audi A6 Saloon (C5) 1997 To 2004,AD39BQ,5053320159205,"196,49",,"200,03",16.00,9.99
WITTERKIT-AD39BS,Witter Swan Neck Towbar Kit Fits Audi A6 Avant Estate (C5) 1998 To 2004,AD39BS,5053320094209,"149,05",,"149,05",16.00,9.99
WITTERKIT-AD39BS-1,Witter Swan Neck Towbar Kit Fits Audi A6 Saloon (C5) 1997 To 2004,AD39BS,5053320159212,"149,05",,"149,05",16.00,9.99
WITTERKIT-AD41BR,Witter Detachable Towbar Kit Fits Audi A4 Avant Estate (B6) 01 To 05,AD41BR,5053320159229,"199,8",,"199,8",16.00,9.99
WITTERKIT-AD41BR-1,Witter Detachable Towbar Kit Fits Audi A4 Avant Estate (B6) 2001 To 2005,AD41BR,5053320159236,"199,8",,"199,8",16.00,9.99
WITTERKIT-AD41BR-2,Witter Detachable Towbar Kit Fits Audi A4 Convertible (B6) 2001 To 2004,AD41BR,5053320159243,"199,8",,"199,8",16.00,9.99
WITTERKIT-AD41BR-3,Witter Detachable Towbar Kit Fits Audi A4 Saloon (B6) 01 To 04,AD41BR,5053320159250,"199,8",,"199,8",16.00,9.99
WITTERKIT-AD41BR-4,Witter Detachable Towbar Kit Fits Audi A4 Saloon (B6) 2001 To 2004,AD41BR,5053320159267,"199,8",,"199,8",16.00,9.99
WITTERKIT-AD41C,Witter Fixed Flange Towbar Kit Fits Audi A4 Avant Estate (B6) 01 To 05,AD41C,5053320159274,"118,25",,"120,33",16.00,17.99
WITTERKIT-AD41C-1,Witter Fixed Flange Towbar Kit Fits Audi A4 Saloon (B6) 2001 To 2004,AD41C,5053320159281,"118,25",,"120,33",16.00,17.99
