Transcat SKU,MPN,Product Name,Brand,URL,Price,Image URL,Category
179E,FLUKE-179 ESFP,Fluke 179,Fluke,http://www.transcat.com/fluke-179-fluke-179-esfp,314.991,http://www.transcat.com/media/catalog/product/f/l/fluke-179-240x240.jpg,"Handheld Multimeters,Fluke Handheld Digital Multimeters"
65163MM,FLUKE-117,Fluke 117,Fluke,http://www.transcat.com/fluke-117-fluke-117,179.991,http://www.transcat.com/media/catalog/product/f/l/fluke-117-240x240.jpg,"Handheld Multimeters,Fluke Handheld Digital Multimeters"
65164MM,FLUKE-115,Fluke 115,Fluke,http://www.transcat.com/fluke-115-fluke-115,161.991,http://www.transcat.com/media/catalog/product/f/l/fluke-115-240x240.jpg,"Handheld Multimeters,Fluke Handheld Digital Multimeters"
289,FLUKE-289,Fluke 289,Fluke,http://www.transcat.com/fluke-289-fluke-289,539.991,http://www.transcat.com/media/catalog/product/f/l/fluke-289-solo240x240.jpg,"Handheld Multimeters,Fluke Connect,Fluke Handheld Digital Multimeters"
T5-1000E,T5-1000     USA,Fluke T5-1000,Fluke,http://www.transcat.com/fluke-t5-1000-t5-1000-usa,143.96,http://www.transcat.com/media/catalog/product/f/l/fluke-t5-1000-240x240.jpg,"Meters,Fluke Voltage & Electrical Testers"
177E,FLUKE-177 ESFP,Fluke 177,Fluke,http://www.transcat.com/fluke-177-fluke-177-esfp,296.991,http://www.transcat.com/media/catalog/product/f/l/fluk177.jpg,"Handheld Multimeters,Fluke Handheld Digital Multimeters"
T5-600E,T5-600 USA,Fluke T5-600,Fluke,http://www.transcat.com/fluke-t5-600-t5-600-usa,107.991,http://www.transcat.com/media/catalog/product/f/l/fluke-t5-600-240x240.jpg,"Meters,Fluke Voltage & Electrical Testers"
325,FLUKE-325,Fluke 325,Fluke,http://www.transcat.com/fluke-325-fluke-325,269.991,http://www.transcat.com/media/catalog/product/f/l/fluke-325-240x240.jpg,"Meters,Fluke Clamp & Amp Meters"
175E,FLUKE-175 ESFP,Fluke 175,Fluke,http://www.transcat.com/fluke-175-fluke-175-esfp,269.991,http://www.transcat.com/media/catalog/product/f/l/fluke-175-240x240.jpg,"Handheld Multimeters,Fluke Handheld Digital Multimeters"
789E,FLUKE-789,Fluke 789,Fluke,http://www.transcat.com/fluke-789-fluke-789,899.991,http://www.transcat.com/media/catalog/product/f/l/fluke-789-240x240.jpg,"Loop Calibrators,Electrical Calibrators,Fluke Connect,Fluke Temperature Calibrators,Fluke Electrical Calibrators"
45516EL,FLUKE-1507,Fluke 1507,Fluke,http://www.transcat.com/fluke-1507-fluke-1507,539.991,http://www.transcat.com/media/catalog/product/f/l/fluke-1507-240x240.jpg,"Megohmmeters/Insulation Test,Fluke Insulation Testers & Megohmmeters"
