car,model,engine,power,year,doors,price
KA,Studio,1.2,69PS,2013,3,7495
KA,Studio Connect,1.2,69PS,2013,3,8245
KA,Edge,1.2,69PS,2013,3,8945
KA,Zetec,1.2,69PS,2013,3,9745
KA,Titanium,1.2,69PS,2013,3,9895
KA,Metal,1.2,69PS,2013,3,9995
KA,GP III,1.2,69PS,2013,3,9995
Fiesta,Studio,1.25,60PS,2014.5,3,9245
Fiesta,Style,1.25,60PS,2014.5,3,10245
Fiesta,Style,1.25,82PS,2014.5,3,10995
Fiesta,Style,1.5 TDCi,75PS,2014.5,3,12195
Fiesta,Style Eco,1.6 TDCi,95PS S/S,2014.5,3,13495
Fiesta,Zetec,1.25,82PS,2014.5,3,11695
Fiesta,Zetec,1,80PS S/S,2014.5,3,11995
Fiesta,Zetec,1.0 T Eco,100PS S/S,2014.5,3,12595
Fiesta,Zetec,1.0 T Eco,100PS PwrS,2014.5,3,13995
Fiesta,Zetec,1.6,105PS PwrS,2014.5,3,13195
Fiesta,Zetec,1.5 TDCi,75PS,2014.5,3,12995
Fiesta,Zetec Eco,1.6 TDCi,95PS S/S,2014.5,3,13995
Fiesta,Zetec S,1.0 T Eco,125PS S/S,2014.5,5,13995
Fiesta,Zetec S,1.6 TDCi,95PS,2014.5,3,14495
Fiesta,Titanium,1,80PS S/S,2014.5,3,12795
Fiesta,Titanium,1.0 T Eco,100PS S/S,2014.5,3,13495
Fiesta,Titanium,1.0 T Eco,100PS PwrS,2014.5,3,14595
Fiesta,Titanium,1.0 T Eco,125PS S/S,2014.5,3,13995
Fiesta,Titanium,1.6,105PS PwrS,2014.5,3,13995
Fiesta,Titanium,1.5 TDCi,75PS,2014.5,3,13995
Fiesta,Titanium Eco,1.6 TDCi,95PS S/S,2014.5,3,14795
Fiesta,Titanium X,1.0 T Eco,100PS S/S,2014.5,3,14495
Fiesta,Titanium X,1.0 T Eco,100PS PwrS,2014.5,3,15495
Fiesta,Titanium X,1.0 T Eco,125PS S/S,2014.5,3,15195
Fiesta,Titanium X,1.6 TDCi,95PS,2014.5,3,15495
Fiesta,ST,1.6 T Eco,182PS,2014.5,3,16495
Fiesta,ST2,1.6 T Eco,182PS,2014.5,3,17495
Fiesta,ST3,1.6 T Eco,182PS,2014.5,3,17995
EcoSport,Titanium,1.5,112PS,2014,5,13995
EcoSport,Titanium,1.5,112PS PwrS,2014,5,15395
EcoSport,Titanium,1.0 T Eco,125PS,2014,5,14995
EcoSport,Titanium,1.5 TDCi,91PS,2014,5,14795
EcoSport,Titanium X,1.5,112PS,2014,5,14895
EcoSport,Titanium X,1.5,112PS PwrS,2014,5,16295
EcoSport,Titanium X,1.0 T Eco,125PS,2014,5,15895
EcoSport,Titanium X,1.5 TDCi,91PS,2014,5,16295
B Max,Studio,1.4,90PS,2014,5,11995
B Max,Zetec,1.4,90PS,2014,5,12245
B Max,Zetec,1.0 T Eco,100PS,2014,5,12995
B Max,Zetec,1.0 T Eco,125PS,2014,5,13495
B Max,Zetec,1.6,105PS PwrS,2014,5,13995
B Max,Zetec,1.5 TDCi,75PS,2014,5,13495
B Max,Zetec,1.6 TDCi,95PS,2014,5,13995
B Max,Titanium,1.0 T Eco,100PS,2014,5,13995
B Max,Titanium,1.0T Eco,125PS,2014,5,14595
B Max,Titanium,1.6,105PS PwrS,2014,5,14995
B Max,Titanium,1.6 TDCi,95PS,2014,5,14995
B Max,Titanium X,1.0 T Eco,125PS,2014,5,15995
B Max,Titanium X,1.6,105PS,2014,5,16495
B Max,Titanium X,1.6 TDCi,95PS,2014,5,16495
Focus,Studio,1.6,85PS S6,2015.25,5,13495
Focus,Style,1.6,105PS S6,2015.25,5,16795
Focus,Style,1.0 T Eco,100ps S6,2015.25,5,17295
Focus,Style,1.6 PWRS,125PS S6,2015.25,5,18545
Focus,Style,1.6 TDCi,125PS S5,2015.25,5,17895
Focus,Style,1.5 TDCi,95PS S6,2015.25,5,17995
Focus,Zetec,1.0 T Eco,100PS S6,2015.25,5,16545
Focus,Zetec,1.0 T Eco,125PS S6,2015.25,5,18795
Focus,Zetec,1.6 PWRS,125ps,2015.25,5,19545
Focus,Zetec,1.6 TDCi,115PS S5,2015.25,5,19395
Focus,Zetec,1.5 TDCi,120PS S6,2015.25,5,19495
