Product Name,Product URL,Wex Used Condition,MPB Photographic,Camera Jungle,
Canon EF 24-105mm f4 L IS USM Lens ,http://www.wexphotographic.com/buy-used-nikon-d800-digital-slr-camera-body/p1580828,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d800/,NO EXCELLENT,
Nikon D7100 Digital SLR Camera Body ,http://www.wexphotographic.com/buy-used-nikon-d7100-digital-slr-camera-body/p1584711,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d7100/,NO EXCELLENT,
Fuji X-Pro1 Black Digital Camera Body ,NO CONDITION 9,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-compact-system-cameras/used-fuji-x-series-cameras/fuji-x-pro-1/,NO EXCELLENT,
Fuji X-M1 Digital Camera Body - Black ,NO CONDITION 9,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-compact-system-cameras/used-fuji-x-series-cameras/fuji-x-m1/,NO EXCELLENT,
Nikon D600 Digital SLR Camera Body ,http://www.wexphotographic.com/buy-used-nikon-d600-digital-slr-camera-body/p1585285,9,https://www.mpb.com/en-uk/search/?www-product-search=Nikon+D600&www-department=used&www-product-url=,NO EXCELLENT,
Nikon 18-55mm f3.5-5.6 G AF-S DX VR Lens ,NO CONDITION 9,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-lenses/used-nikon-fit-lenses/nikon-af-s-18-55mm-f-3-5-5-6g-dx-vr/,http://www.camerajungle.co.uk/item/207263/nikon-af-s-dx-18-55mm%C2%A0f35-56g-vr-nikon-f-mount-zoom-lens.html, 
Nikon D7000 Digital SLR Camera Body ,http://www.wexphotographic.com/buy-used-nikon-d7000-digital-slr-camera-body/p1585203,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d7000/,http://www.camerajungle.co.uk/item/205890/nikon-d7000-body-dslr.html, 
Nikon D90 Digital SLR Camera Body ,http://www.wexphotographic.com/buy-used-nikon-d90-digital-slr-camera-body/p1580539,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d90/,NO MATCH, 
Nikon D700 Digital SLR Camera Body ,NO CONDITION 9,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d700/,http://www.camerajungle.co.uk/item/207082/nikon-d700-body-dslr.html, 
Nikon D300 Digital SLR Camera Body ,NO CONDITION 9,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d300/,http://www.camerajungle.co.uk/item/206622/nikon-d300-body-dslr.html, 
Canon EOS 5D Mark III Digital SLR Camera Body ,http://www.wexphotographic.com/buy-used-canon-eos-5d-mark-iii-digital-slr-camera-body/p1585166,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-canon-digital-slr-cameras/canon-eos-5d-iii/,http://www.camerajungle.co.uk/item/206687/canon-eos-5d-mk-iii-body-dslr.html, 
Sony Alpha A7R Digital Camera Body ,http://www.wexphotographic.com/buy-used-sony-alpha-a7r-digital-camera-body/p1581046,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-compact-system-cameras/used-sony-compact-system-cameras/sony-alpha-a7r/,NO EXCELLENT, 
Nikon D200 Digital SLR Camera Body ,NO CONDITION 9,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d200/,NO MATCH, 
Canon EF 16-35mm f2.8 L MKII USM Lens ,http://www.wexphotographic.com/buy-used-canon-ef-16-35mm-f2-8-l-mkii-usm-lens/p1585243,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-lenses/used-canon-fit-lenses/canon-ef-16-35mm-f-2-8-l-ii-usm/,NO MATCH, 
Nikon 17-55mm f2.8 G DX AF-S IF-ED Lens ,http://www.wexphotographic.com/buy-used-nikon-17-55mm-f2-8-g-dx-af-s-if-ed-lens/p1585306,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-lenses/used-nikon-fit-lenses/nikon-af-s-17-55mm-f-2-8g-if-ed-dx/,NO MATCH, 
Fuji X-M1 Digital Camera Body - Silver ,No match - black on site,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-compact-system-cameras/used-fuji-x-series-cameras/fuji-x-m1/,NO MATCH, 
Fuji 18mm f2 R Fujinon Black Lens ,http://www.wexphotographic.com/buy-used-fuji-18mm-f2-r-fujinon-black-lens/p1585200,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-lenses/used-fuji-x-series-lenses/fuji-xf-18mm-f-2-r/,NO EXCELLENT, 
Nikon 18-105mm AF-S DX Nikkor f3.5-5.6 G ED VR Lens ,http://www.wexphotographic.com/buy-used-nikon-18-105mm-af-s-dx-nikkor-f3-5-5-6-g-ed-vr-lens/p1585493,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-lenses/used-nikon-fit-lenses/nikon-af-s-18-105mm-f-3-5-5-6g-ed-vr/,NO MATCH, 
Nikon D610 Digital SLR Camera Body ,http://www.wexphotographic.com/buy-used-nikon-d610-digital-slr-camera-body/p1585038,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-digital-slr-cameras/used-nikon-digital-slr-cameras/nikon-d610/,NO EXCELLENT,
Canon EF 24-105mm f4 L IS USM Lens ,http://www.wexphotographic.com/buy-used-canon-ef-24-105mm-f4-l-is-usm-lens/p1585032,9,https://www.mpb.com/en-uk/used-equipment/used-photo-and-video/used-lenses/used-canon-fit-lenses/canon-ef-24-105mm-f-4-l-is-usm/,NO EXCELLENT,
