price,name,country,chain,area,rooms
US$52,Taksu Sanur Hotel,Indonesia,Independent,"Jalan Sudamala no 26, 80228 Sanur, Indonesia", 80
US$202,Villa Berawa,Indonesia,Independent,"Jalan Pantai Berawa, Gang Sri Kahyangan, Banjar Berawa, Tibubeneng, Kuta Utara, Badung, 80361 Canggu, Indonesia", 8
US$88,Maison at C Boutique Hotel & Spa by Renotel,Indonesia,Independent,"Jalan Cendrawasih no 89, Petitenget, 80361 Seminyak, Indonesia", 79
US$48,Ramada Encore Bali Seminyak,Indonesia,"Ramada","Jl. Dewi Saraswati III No.51, 80117  Seminyak, Indonesia"," 280,,"
US$91,Sea Breeze Candidasa,Indonesia,Independent,"Mendira Beach, Banjar Mendira, Desa Sengkidu, 80871 Candidasa, Indonesia", 16
US$420,Discovery Kartika Plaza Hotel,Indonesia,Independent,"Jl. Kartika Plaza, P.O Box 1012, South Kuta Beach, 80361 Kuta, Indonesia", 318
US$147,The Breezes Bali Resort & Spa,Indonesia,Independent,"Jalan Camplung Tanduk No. 66, 80361 Seminyak, Indonesia", 130
US$46,Hotel NEO+ Kuta Legian,Indonesia,"Aston International Hotels, Resorts & Residences","Jl. Troppozone No. 8, 80361 Legian, Indonesia"," 117,"
US$44,Agung Raka Resort and Villas,Indonesia,Independent,"Jl. Pengosekan, 80571 Ubud, Indonesia", 43
US$29,Fourteen Roses Legian,Indonesia,Independent,"Jalan Legian No 153, Kuta, 80361 Legian, Indonesia", 55
US$163,Ayung Resort Ubud,Indonesia,Independent,"Desa Melinggih Kelod, Banjar Begawan Payangan, Ubud, Bali, Indonesia, 80572 Payangan, Indonesia", 53
US$59,"White Rose Kuta Resort, Villas & Spa",Indonesia,Independent,"Legian St - Kuta Bali - Indonesia, 80361 Legian, Indonesia", 150
US$199,Alila Manggis,Indonesia,"Alila Hotels & Resorts","Desa Buitan, Manggis, 80871 Candidasa, Indonesia"," 55,"
US$133,Puri Sunia Resort,Indonesia,Independent,"Banjar Abangan, 80571 Ubud, Indonesia", 28
US$100,Villa Jakaranda and Villa Marakuya,Indonesia,Independent,"Jalan Anturan Gang Rambutan, 81152 Lovina, Indonesia", 6
US$73,Hotel Genggong,Indonesia,Independent,"Jl.Pantai Indah, 80235 Candidasa, Indonesia", 8
US$58,The Akmani Legian,Indonesia,Independent,"Legian Raya 91, 80361 Legian, Indonesia", 154
US$54,Adi Assri Beach Resorts And Spa Pemuteran,Indonesia,Independent,"Desa Pemuteran, Kecamatan Gerogak, Singaraja, 81152 Pemuteran, Indonesia", 62
US$27,Bali Lovina Beach Cottages,Indonesia,Independent,"Lovina Beach, 81152 Lovina, Indonesia", 32
US$31,D’djabu Hotel Seminyak,Indonesia,Independent,"Jalan Beraban No.46, Kerobokan , 80361 Seminyak, Indonesia", 39
US$24,D'Sri Saren Villas and Residence,Indonesia,Independent,"Jalan Shri Laksmi No. 27, 80361 Seminyak, Indonesia", 27
US$42,HARRIS Hotel & Residences Sunset Road,Indonesia,"HARRIS Hotels & Resorts","Jalan Pura Mertasari III/ 8x, Sunset Road, 80361 Kuta, Indonesia"," 186,"
US$24,ZenRooms Sanur Blanjong Sekawaru,Indonesia,"ZEN Rooms","Jl. Sekar Waru No. 4 Blanjong, 80361 Sanur, Indonesia"," 2,"
US$36,ZenRooms Ubud Sayan,Indonesia,"ZEN Rooms","Desa Sayan. Banjar Sindu Sayan-Ubud Bali, 80571 Ubud, Indonesia"," 2,"
US$35,"Maxi Hotel, Restaurant and Spa",Indonesia,Independent,"Jl Legian No 83A, 80361 Legian, Indonesia", 30
US$50,Bali Paradise Hotel Boutique Resort,Indonesia,Independent,"Jl. Kartika, Kalibukbuk, 81151  Lovina, Indonesia", 8
US$166,Holiway Garden Resort & SPA - Bali,Indonesia,Independent,"Jl. Segara Benben, Desa Sambirenteng, Tejakula, 81173 Tejakula, Indonesia", 40
US$35,Hotel Bali Subak,Indonesia,Independent,"Jl. Arjuna no 75, Legian Kaja, 80361 Legian, Indonesia", 30
US$17,Gosyen Hotel,Indonesia,Independent,"Jl. Dewi Sri No.9, 80361 Legian, Indonesia", 31
US$22,Amaris Hotel Dewi Sri - Bali,Indonesia,"Santika Indonesia Hotels & Resorts","Jl. Dewi Sri No. 88x, 80361 Kuta, Indonesia"," 64,"
