name,area,chain,country,rooms,price
"Jayakarta Hotel Bali","Jl. Werkudara, Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 331",
"Bisma Eight","Jalan Bisma , 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 38",
"Golden Tulip Devins Seminyak","Jalan Petitenget, Komplex Villa Kendal No. 35, 80361 Seminyak, Indonesia","Hotel Chain:
Golden Tulip",Indonesia,"Hotel Rooms: 108,",
"Grand Hyatt Bali","Kawasan Wisata Nusa Dua BTDC, Bali, 80363 Nusa Dua, Indonesia","Hotel Chain:
Grand Hyatt",Indonesia,"Hotel Rooms: 636,",
"Hotel Bounty Kuta","Pantai Kuta, Jalan Poppies Lane 2, Number 18, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 166",
"Amarterra Villas Bali Nusa Dua - MGallery Collection","Kawasan Pariwisata Nusa Dua BTDC Resort Lot Blok B, 80363 Nusa Dua, Indonesia","Hotel Chain:
MGallery by Sofitel",Indonesia,"Hotel Rooms: 39,",
"Jannata Resort and Spa","Jl. Rsi Markandya, Br. Bangkiang Sidem, Keliki, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Double - Six, Luxury Hotel - Seminyak","Double Six Beach No.66, Seminyak-Bali, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 146",
"Sri Ratih Cottages","Jalan Campuhan 1, Penestanan, Bali, 80582 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 26",
"The Bene","Jalan Benesari, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 122",
"Sofitel Bali Nusa Dua Beach Resort","Kawasan Pariwisata BTDC, Lot N5, Nusa Dua, 80363 Nusa Dua, Indonesia","Hotel Chain:
Sofitel",Indonesia,"Hotel Rooms: 415,",
"Koa D Surfer Hotel","Jalan Sri Kahyangan Berawa, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 87",
"FRii Bali Echo Beach","Jalan Munduk Catu No 32, Batu Bolong, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 77",
"Plataran Ubud Hotel & Spa","Jl. Hanoman-Pengosekan, 80361 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 46",
"U Paasha Seminyak Bali","Jl. Laksamana No.77, 80361 Seminyak, Indonesia","Hotel Chain:
U Hotels & Resorts",Indonesia,"Hotel Rooms: 98,",
"Grand Barong Resort","Jl. Legian Poppies Lane 2 , 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 139",
"The Open House Jimbaran Bali","Jalan Pemelisan Agung, 25 Jimbaran, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 17",
"Legian Beach Hotel","Jl. Melasti Legian, 80033 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 218",
"FuramaXclusive Ocean Beach Seminyak Bali","Jalan Arjuna 88X, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 112",
"The Kirana Hotel Resto & Spa","Jalan Raya Batu Bolong, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"Besakih Beach Hotel","Jl. Danau Tamblingan No. 45, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 78",
"Hard Rock Hotel Bali","Jalan Pantai, Banjar Pande Mas, 80361 Kuta, Indonesia","Hotel Chain:
Hard Rock",Indonesia,"Hotel Rooms: 418,",
"Vila Shanti Beach Hotel","Jl. Danau Tamblingan 47, 80361 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 48",
"Kusnadi Hotel","Jalan Werkudara 518 Legian Kaja, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 37",
"Kuta Paradiso Hotel","Jl. Kartika Plaza, Tuban, Bali, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 250",
"Puri Saron Hotel Seminyak","Jln. Camplung Tanduk, Seminyak, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 115",
"Dash Hotel Seminyak","Jalan Petitenget, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 135",
"Courtyard by Marriott Bali Nusa Dua Resort","Kawasan Pariwisata Lot SW1 , 80363 Nusa Dua, Indonesia","Hotel Chain:
Courtyard by Marriott",Indonesia,"Hotel Rooms: 250,,",
"Kejora Suites - Designer Boutique Hotel","Jalan Danau Tamblingan no 25, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Taksu Sanur Hotel","Jalan Sudamala no 26, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 80",
"Jungle Retreat Ubud","Kedewatan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 56",
"SenS Hotel and Spa Conference Ubud Town Centre","Jalan Sukma Banjar Tebesaya, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 97",
"Pelangi Bali Hotel & Spa","Jl. Camplung Tanduk, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 89",
"IZE Seminyak","Jalan Kayu Aya No. 68, Oberoi - Laksamana, Seminyak, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 81",
"Prama Sanur Beach Bali","Jalan Cemara, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 428",
"Inna Sindhu Beach, Hotel Resort & Meeting","Jl. Pantai Sindhu No. 14 Sanur, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 61",
"Green Field Hotel and Restaurant","Dewa Made Santana Jl. Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 35",
"Fivelements Puri Ahimsa Retreat","Banjar Adat Baturning, Mambal, Bali, 80352  Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 9",
"Artotel Sanur - Bali","Jl. Kusuma Sari No.1, 80277 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 88",
"Pan Pacific Nirwana Bali Resort","Jalan Raya Tanah Lot, PO Box 158, 82171 Tanah Lot, Indonesia","Hotel Chain:
Pan Pacific Hotels & Resorts",Indonesia,"Hotel Rooms: 278,",
"Grand La Walon Hotel","Jalan Benesari, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 97",
"HARRIS Hotel Seminyak","Jl. Drupadi 99, 80361 Seminyak, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 231,",
"The Lokha Legian Resort and Spa","Jalan Padma Legian, Kuta, Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 49",
"The Haven Bali Seminyak","Jl. Raya Seminyak #500, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 192",
"Asana Agung Putra Bali","Jl. Poppies 1, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 85",
"Tonys Villas & Resort","Jalan Petitenget, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 31",
"Katamama","Jl. Petitenget 51B, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 58",
"Alamdini Resort Ubud","Jalan Bisma, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"The ONE Legian","Jalan Raya Legian No.117, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 300",
"All Seasons Resort Legian","Jalan Padma Utara Legian, PO Box 1004, 80361 Legian, Indonesia","Hotel Chain:
all seasons (Accor)",Indonesia,"Hotel Rooms: 113,",
"Pertiwi Bisma 1","Jalan Bisma, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 35",
