price,name,country,chain,area,rooms
"US$52","Taksu Sanur Hotel",Indonesia,Independent,"Jalan Sudamala no 26, 80228 Sanur, Indonesia","Hotel Rooms: 80"
"US$202","Villa Berawa",Indonesia,Independent,"Jalan Pantai Berawa, Gang Sri Kahyangan, Banjar Berawa, Tibubeneng, Kuta Utara, Badung, 80361 Canggu, Indonesia","Hotel Rooms: 8"
"US$88","Maison at C Boutique Hotel & Spa by Renotel",Indonesia,Independent,"Jalan Cendrawasih no 89, Petitenget, 80361 Seminyak, Indonesia","Hotel Rooms: 79"
"US$48","Ramada Encore Bali Seminyak",Indonesia,"Hotel Chain:
Ramada","Jl. Dewi Saraswati III No.51, 80117  Seminyak, Indonesia","Hotel Rooms: 280,,"
"US$91","Sea Breeze Candidasa",Indonesia,Independent,"Mendira Beach, Banjar Mendira, Desa Sengkidu, 80871 Candidasa, Indonesia","Hotel Rooms: 16"
"US$420","Discovery Kartika Plaza Hotel",Indonesia,Independent,"Jl. Kartika Plaza, P.O Box 1012, South Kuta Beach, 80361 Kuta, Indonesia","Hotel Rooms: 318"
"US$147","The Breezes Bali Resort & Spa",Indonesia,Independent,"Jalan Camplung Tanduk No. 66, 80361 Seminyak, Indonesia","Hotel Rooms: 130"
"US$46","Hotel NEO+ Kuta Legian",Indonesia,"Hotel Chain:
Aston International Hotels, Resorts & Residences","Jl. Troppozone No. 8, 80361 Legian, Indonesia","Hotel Rooms: 117,"
"US$44","Agung Raka Resort and Villas",Indonesia,Independent,"Jl. Pengosekan, 80571 Ubud, Indonesia","Hotel Rooms: 43"
"US$29","Fourteen Roses Legian",Indonesia,Independent,"Jalan Legian No 153, Kuta, 80361 Legian, Indonesia","Hotel Rooms: 55"
"US$163","Ayung Resort Ubud",Indonesia,Independent,"Desa Melinggih Kelod, Banjar Begawan Payangan, Ubud, Bali, Indonesia, 80572 Payangan, Indonesia","Hotel Rooms: 53"
"US$59","White Rose Kuta Resort, Villas & Spa",Indonesia,Independent,"Legian St - Kuta Bali - Indonesia, 80361 Legian, Indonesia","Hotel Rooms: 150"
"US$199","Alila Manggis",Indonesia,"Hotel Chain:
Alila Hotels & Resorts","Desa Buitan, Manggis, 80871 Candidasa, Indonesia","Hotel Rooms: 55,"
"US$133","Puri Sunia Resort",Indonesia,Independent,"Banjar Abangan, 80571 Ubud, Indonesia","Hotel Rooms: 28"
"US$100","Villa Jakaranda and Villa Marakuya",Indonesia,Independent,"Jalan Anturan Gang Rambutan, 81152 Lovina, Indonesia","Hotel Rooms: 6"
"US$73","Hotel Genggong",Indonesia,Independent,"Jl.Pantai Indah, 80235 Candidasa, Indonesia","Hotel Rooms: 8"
"US$58","The Akmani Legian",Indonesia,Independent,"Legian Raya 91, 80361 Legian, Indonesia","Hotel Rooms: 154"
"US$54","Adi Assri Beach Resorts And Spa Pemuteran",Indonesia,Independent,"Desa Pemuteran, Kecamatan Gerogak, Singaraja, 81152 Pemuteran, Indonesia","Hotel Rooms: 62"
"US$27","Bali Lovina Beach Cottages",Indonesia,Independent,"Lovina Beach, 81152 Lovina, Indonesia","Hotel Rooms: 32"
"US$31","D’djabu Hotel Seminyak",Indonesia,Independent,"Jalan Beraban No.46, Kerobokan , 80361 Seminyak, Indonesia","Hotel Rooms: 39"
"US$24","D'Sri Saren Villas and Residence",Indonesia,Independent,"Jalan Shri Laksmi No. 27, 80361 Seminyak, Indonesia","Hotel Rooms: 27"
"US$42","HARRIS Hotel & Residences Sunset Road",Indonesia,"Hotel Chain:
HARRIS Hotels & Resorts","Jalan Pura Mertasari III/ 8x, Sunset Road, 80361 Kuta, Indonesia","Hotel Rooms: 186,"
"US$24","ZenRooms Sanur Blanjong Sekawaru",Indonesia,"Hotel Chain:
ZEN Rooms","Jl. Sekar Waru No. 4 Blanjong, 80361 Sanur, Indonesia","Hotel Rooms: 2,"
"US$36","ZenRooms Ubud Sayan",Indonesia,"Hotel Chain:
ZEN Rooms","Desa Sayan. Banjar Sindu Sayan-Ubud Bali, 80571 Ubud, Indonesia","Hotel Rooms: 2,"
"US$35","Maxi Hotel, Restaurant and Spa",Indonesia,Independent,"Jl Legian No 83A, 80361 Legian, Indonesia","Hotel Rooms: 30"
"US$50","Bali Paradise Hotel Boutique Resort",Indonesia,Independent,"Jl. Kartika, Kalibukbuk, 81151  Lovina, Indonesia","Hotel Rooms: 8"
"US$166","Holiway Garden Resort & SPA - Bali",Indonesia,Independent,"Jl. Segara Benben, Desa Sambirenteng, Tejakula, 81173 Tejakula, Indonesia","Hotel Rooms: 40"
"US$35","Hotel Bali Subak",Indonesia,Independent,"Jl. Arjuna no 75, Legian Kaja, 80361 Legian, Indonesia","Hotel Rooms: 30"
"US$17","Gosyen Hotel",Indonesia,Independent,"Jl. Dewi Sri No.9, 80361 Legian, Indonesia","Hotel Rooms: 31"
"US$22","Amaris Hotel Dewi Sri - Bali",Indonesia,"Hotel Chain:
Santika Indonesia Hotels & Resorts","Jl. Dewi Sri No. 88x, 80361 Kuta, Indonesia","Hotel Rooms: 64,"
"US$29","Ubud Harmony",Indonesia,Independent,"Jalan Rsi Markandya, Banjar Payogan, Desa Kedewatan Ubud, 80571 Ubud, Indonesia","Hotel Rooms: 3"
"US$169","Agata Resort Nusa Dua",Indonesia,Independent,"Jl. Pura Segara - Sawangan, 80361 Nusa Dua, Indonesia","Hotel Rooms: 22"
"US$32","Swiss-Belexpress Kuta",Indonesia,Independent,"Jl. Raya Legian, Gg. Tropozone, 80361 Legian, Indonesia","Hotel Rooms: 110"
"US$18","Gusti Homestay Kerobokan",Indonesia,Independent,"Jalan Pengubugan Gang Kayu Nagasari No 7 Banjar Silayukti, 80361 Kerobokan, Indonesia","Hotel Rooms: 7"
"US$17","Bali Lodge Kuta",Indonesia,Independent,"Jalan Nakula Timur, 80361 Kuta, Indonesia","Hotel Rooms: 24"
"US$15","Lecuk Ubud Bungalows",Indonesia,Independent,"Jalan Kajeng, 80571 Ubud, Indonesia","Hotel Rooms: 8"
"US$17","Dream @ Jimbaran",Indonesia,Independent,"Uluwatu II, Taman Mulia, Jl. Arwana 88, Jimbaran , 80361 Jimbaran, Indonesia","Hotel Rooms: 19"
"US$35","Warna Kedaton Hotel and Meeting",Indonesia,Independent,"Jalan Hayam Wuruk No. 30, 80235 Denpasar, Indonesia","Hotel Rooms: 48"
"US$44","ZenRooms Denpasar Padang Mekar",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Padang Mekar No 99, Mahendradata, 80117 Denpasar, Indonesia","Hotel Rooms: 2,"
