chain,country,rooms,name,area,price
Independent,Indonesia,"Hotel Rooms: 460","INAYA Putri Bali","Kawasan Wisata Nusa Dua, Lot S3, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Klumpu Bali Resort","Jalan Kesari 16B, 80228 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 23","Batu Karang Lembongan Resort and Day Spa","Banjar Kelod Desa Jungutbatu, Nusa Lembongan, 80228 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 105","The Seminyak Beach Resort & Spa","Jl. Kayu Aya, Bali, 80361 Seminyak, Indonesia",
"Hotel Chain:
Anantara Hotels & Resorts",Indonesia,"Hotel Rooms: 74,","Anantara Uluwatu Bali Resort","Jl Pemutih, Labuan Sait, Uluwatu, id, 80361 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 312","Bali Dynasty Resort","Jalan Kartika, Bali, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 320","Grand Inna Kuta","Jl. Pantai Kuta No. 1, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Goya Boutique Resort","Jalan Bisma, 80571 Ubud, Indonesia",
"Hotel Chain:
Swiss-Belhotel International",Indonesia,"Hotel Rooms: 306,","Swiss-Belresort Watu Jimbar","Jalan Danau Tamblingan 99, 80226 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Aleesha Villas and Suites","Jl Kesari II Gg Tegal Sari, 80227 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 199","Puri Santrian","JL Cemara 35, Bali, 80228 Sanur, Indonesia",
"Hotel Chain:
Oberoi Hotels & Resorts",Indonesia,"Hotel Rooms: 74,","The Oberoi, Bali","Seminyak Beach, Jalan Kayu Aya, 80033 Seminyak, Indonesia",
"Hotel Chain:
Four Seasons Hotels and Resorts",Indonesia,"Hotel Rooms: 60,","Four Seasons Resort Bali at Sayan","Jalan Raya Sayan, Ubud, 80571 Ubud, Indonesia",
"Hotel Chain:
Warwick Hotels and Resorts, Warwick International Hotels and Resorts",Indonesia,"Hotel Rooms: 17,","Warwick Ibah Luxury Villas & Spa","Jalan Raya Campuhan, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 60","Alaya Resort Ubud","Jl. Hanoman, Ubud, 80361 Ubud, Indonesia",
"Hotel Chain:
The Leading Hotels of the World",Indonesia,"Hotel Rooms: 79,","The Legian Bali","Jalan Kayu Aya, Bali, 80367 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Puri Sebali Resort","Jalan Raya Sebali, Banjar Sebali, Tegalalang, 80571 Ubud, Indonesia",
"Hotel Chain:
Banyan Tree Hotels & Resorts",Indonesia,"Hotel Rooms: 73,","Banyan Tree Ungasan","Jl. Melasti, Banjar Kelod Ungasan, 80364 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Dwaraka The Royal Villas","Jl. Sri Wedari No. 11B, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 102","Keraton Jimbaran Beach Resort","Jl. Mrajapati P.O.Box 2023, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 123","Segara Village Hotel","Jalan Segara Ayu, 80030 Sanur, Indonesia",
"Hotel Chain:
COMO",Indonesia,"Hotel Rooms: 46,","COMO Uma Ubud","Jl. Raya Sanggingan, Banjar Lungsiakan, Kedewatan, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 116","The Camakila Legian Bali","Jl. Padma Utara, Legian, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 103","Maya Sanur Resort & Spa","Jalan Danau Tamblingan No. 89M, 80228 Sanur, Indonesia",
"Hotel Chain:
Alila Hotels & Resorts",Indonesia,"Hotel Rooms: 240,","Alila Seminyak","Jalan Taman Ganesha no. 9, Petitenget, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Taman Sari Bali Resort and Spa","Desa Pemuteran, Pemuteran Bay, Bali,  81155 Pemuteran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 106","Royal Tulip Visesa","Jl. Suweta, Banjar Bentuyung Sakti, Ubud, Gianyar, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 432","Padma Resort Legian","Jln. Padma no.1 PO BOX 1107 TBB, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 80","Alam Kulkul Boutique Resort","Jl. Pantai Kuta, 80030 Kuta, Indonesia",
"Hotel Chain:
Meliá Hotels & Resorts",Indonesia,"Hotel Rooms: 494,","Melia Bali Indonesia","Kawasan Wisata Btdc Lot. 1, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 34","Puri Wulandari - A Boutique Resort & Spa","Desa Kedewatan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 126","The Oasis Lagoon Sanur","Jl. Danau Tamblingan No.136 A, 80228 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 81","Samabe Bali Suites & Villas","Jl. Pura Barong-Barong, Sawangan, Nusa Dua, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 56","Kamandalu Ubud","Jalan Andong, Banjar Nagi, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Puri Dajuma Beach Eco-Resort & Spa","Pekutatan, 82262 Pulukan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 15","Blue Karma Resort","Jl. Suweta Tegalalang, 80561 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 57","Bali Niksoma Boutique Beach Resort","Jl. Padma Utara, Legian Kaja, Bali, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 52","The Royal Pita Maha","Desa Kedewatan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 210","Ramayana Resort and Spa","Singasari Street, Bali, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 150","Bali Tropic Resort & Spa","P.O. Box. 41 Jl. Pratama 34A. Nusa Dua, Bali, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 282","RIMBA Jimbaran Bali by AYANA","Karang Mas Estate, Jalan Karang Mas Sejahtera , Jimbaran, Bali, 80634 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Nefatari Exclusive Villas","Jalan Katiklantang Singakerta, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 191","Bali Mandira Beach Resort & Spa","Jl. Padma2 P.O.Box 1003, Bali, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 120","Fairmont Sanur Beach Bali","Jl Kusuma Sari no 8, Sanur, 80227 Sanur, Indonesia",
