name,rooms,area,chain,price,country
"Hotel Manuel Antonio Park","Hotel Rooms: 25","Puntarenas, Aguirre Manuel Antonio, 60601 Manuel Antonio, Costa Rica",Independent,"US$63",Costa Rica
"Cabinas los Almendros","Hotel Rooms: 8","525 sur de la escuela de guatuso, 60111 San Rafael, Costa Rica",Independent,"US$40",Costa Rica
"Exotica Lodge","Hotel Rooms: 8","200 sur de Stanford, 70101 Puerto Viejo, Costa Rica",Independent,"US$51",Costa Rica
"Pirate Cove","Hotel Rooms: 10","Drake Bay, 60504 Drake, Costa Rica",Independent,0,Costa Rica
"Hotel Monte Azul","Hotel Rooms: 1","Chimirol de Rivas, Perez Zeledon, 11901 Repunta, Costa Rica",Independent,0,Costa Rica
"Vista Celestial","Hotel Rooms: 5","2 km Noreste de Catarata de Uvita, Uvita de Osa, Puntarenas 60504 Costa Rica, 60504 Uvita, Costa Rica",Independent,0,Costa Rica
"Hotel Arenal Volcano Inn","Hotel Rooms: 25","De la iglesia catolica en la fortuna 6.5 Km Norte, 20101 Fortuna, Costa Rica",Independent,0,Costa Rica
"Arrecife","Hotel Rooms: 8","150mts Este De La Segunda Entrada Después Del Tercer Puente, Carretera Pto Viejo A Manzanillo., Punta Uva, Costa Rica",Independent,"US$65",Costa Rica
"Colinas del Miravalles","Hotel Rooms: 5","2km al noreste de la Gasolinera de Guayabo de Bagaces, 63476 Fortuna, Costa Rica",Independent,"US$82",Costa Rica
"Hotel Termales del Bosque","Hotel Rooms: 48","San Carlos, Ciudad Quesada (7 Km en la carretera hacia Aguas Zarcas), 00011 La Marina, Costa Rica",Independent,"US$107",Costa Rica
"Hotel Casa Aura","Hotel Rooms: 5","St 2, Av 3, 30101 Cartago, Costa Rica",Independent,0,Costa Rica
"Monte Campana Jaco","Hotel Rooms: 11","Residencial Jaco Sol 5, detras de Plaza Coral.,, 00011 Jacó, Costa Rica",Independent,"US$59",Costa Rica
"Hotel Lagarta Lodge","Hotel Rooms: 26","Boca de Nosara Nicoya Guanacaste, 50206 Nosara, Costa Rica",Independent,0,Costa Rica
