name,rooms,country,chain,price,area
"Villa Julius","Hotel Rooms: 7",Indonesia,Independent,,"Gili Trawangan, Lombok, 83552 Gili Trawangan, Indonesia"
"Gili Divers Hotel","Hotel Rooms: 14",Indonesia,Independent,,"Gili Trawangan, 83352 Gili Trawangan, Indonesia"
"Scallywags Resort","Hotel Rooms: 32",Indonesia,Independent,,"Gili Trawangan, 83352 Gili Trawangan, Indonesia"
"Gili Cemara Bungalows","Hotel Rooms: 10",Indonesia,Independent,,"Desa Gili Indah, 83352 Gili Air, Indonesia"
"Grand Sunset Gili Air","Hotel Rooms: 24",Indonesia,Independent,,"Pantai Barat, 83352 Gili Air, Indonesia"
"Pesona Resort","Hotel Rooms: 14",Indonesia,Independent,,"Gili Trawangan, 83352 Gili Trawangan, Indonesia"
"Jepun Bungalows","Hotel Rooms: 9",Indonesia,Independent,,"Gili Indah, 83231 Gili Meno, Indonesia"
"PinkCoco Gili Trawangan","Hotel Rooms: 27",Indonesia,Independent,,"Jalan Sunset Road, Gili Indah, Gili Trawangan, 83352 Gili Trawangan, Indonesia"
"Gili Ocean Club","Hotel Rooms: 13",Indonesia,Independent,,"Jl.Gili trawangan, 83352 Gili Trawangan, Indonesia"
"Bel Air Resort and Spa","Hotel Rooms: 10",Indonesia,Independent,,"Gili Air, Pemenang, 83111 Gili Air, Indonesia"
"Trawangan Nirvana","Hotel Rooms: 17",Indonesia,Independent,,"Jalan Kelapa, 83352 Gili Trawangan, Indonesia"
"Casus Dream Hotel","Hotel Rooms: 11",Indonesia,Independent,,"Gili Trawangan, 83352 Gili Trawangan, Indonesia"
"Little Coco Gili Trawangan Hotel & Villas","Hotel Rooms: 14",Indonesia,Independent,,"Jalan Bulu Babi, 83352 Gili Trawangan, Indonesia"
"Natya Hotel Gili Trawangan","Hotel Rooms: 4",Indonesia,Independent,,"Jalan Gili Trawangan, 83355 Gili Trawangan, Indonesia"
"ZEN Villa Gili Trawangan Kepiting","Hotel Rooms: 1,",Indonesia,"Hotel Chain:
ZEN Rooms",,"Jalan Kepiting No. 1,, 83352 Gili Trawangan, Indonesia"
"Intan Bungalow","Hotel Rooms: 4",Indonesia,Independent,,"Jl. Gurita, 83352 Gili Trawangan, Indonesia"
"Good Vibes Bungalows","Hotel Rooms: 10",Indonesia,Independent,,"Jl. Ikan Pelatuk, 83352 Gili Trawangan, Indonesia"
"Villa Phy Phy 2","Hotel Rooms: 12",Indonesia,Independent,,"Jalan Ikan Peri, 80113 Gili Trawangan, Indonesia"
"Edison Gili","Hotel Rooms: 3",Indonesia,Independent,,"Jl. Ikan Peri, 83352 Gili Trawangan, Indonesia"
"The 5 Hotel","Hotel Rooms: 7",Indonesia,Independent,,"Karang Biru, 83352 Gili Trawangan, Indonesia"
"Biba Beach Village","Hotel Rooms: 10",Indonesia,Independent,,"Gili air, 83352 Gili Air, Indonesia"
"NIDA Rooms Villa Kelapa North Lombok","Hotel Rooms: 5",Indonesia,Independent,,"Jalan Villa Kelapa, Desa Gili Indah, 45133 Gili Trawangan, Indonesia"
"Matahari Bungalow 3","Hotel Rooms: 8",Indonesia,Independent,,"Gili Air, 83352 Gili Air, Indonesia"
"BB Bungalow","Hotel Rooms: 3",Indonesia,Independent,,"Jl. Gurita, 83352 Gili Trawangan, Indonesia"
"AVIA Villa Resort","Hotel Rooms: 39",Indonesia,Independent,,"Jalan Sunset Beach, 83352 Gili Meno, Indonesia"
"Gili T Resort","Hotel Rooms: 24",Indonesia,Independent,,"The Jetty Sentral, 83352 Gili Trawangan, Indonesia"
"Ocean 2 Restaurant and Bungalow","Hotel Rooms: 13",Indonesia,Independent,,"Jalan Pantai Gili Trawangan, 83355 Gili Trawangan, Indonesia"
"Dejavu Hotel","Hotel Rooms: 13",Indonesia,Independent,,"Dusun Gili Trawangan Desa Gili Indah Kecamatan Pemenang, 83352 Gili Trawangan, Indonesia"
"Balakosa Bungalows","Hotel Rooms: 2",Indonesia,Independent,,"Gili Meno , 83352 Gili Meno, Indonesia"
"Gili White Bamboo Resort","Hotel Rooms: 10",Indonesia,Independent,,"Jl. Anemone No 5, 83355 Gili Trawangan, Indonesia"
"ZEN Villa Gili Trawangan Semampar","Hotel Rooms: 2,",Indonesia,"Hotel Chain:
ZEN Rooms",,"Jalan Ikan Semampar, 83352 Gili Trawangan, Indonesia"
