rooms,area,country,chain,price,name
"Hotel Rooms: 10","Gili Air, Pemenang, 83111 Gili Air, Indonesia",Indonesia,Independent,"US$108","Bel Air Resort and Spa"
"Hotel Rooms: 2,","Jalan Ikan Semampar, 83352 Gili Trawangan, Indonesia",Indonesia,"Hotel Chain:
ZEN Rooms",0,"ZEN Villa Gili Trawangan Semampar"
"Hotel Rooms: 1,","Jalan Kepiting No. 1,, 83352 Gili Trawangan, Indonesia",Indonesia,"Hotel Chain:
ZEN Rooms",0,"ZEN Villa Gili Trawangan Kepiting"
"Hotel Rooms: 3","Jl. Ikan Peri, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,0,"Edison Gili"
"Hotel Rooms: 32","Gili Trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$85","Scallywags Resort"
"Hotel Rooms: 16","Gili Trawangan, Lombok, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$108","Luce d'Alma Resort & Spa"
"Hotel Rooms: 24","Pantai Barat, 83352 Gili Air, Indonesia",Indonesia,Independent,"US$65","Grand Sunset Gili Air"
"Hotel Rooms: 4","Jl. Gurita, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$27","Intan Bungalow"
"Hotel Rooms: 30","Gili Air, 83352 Gili Air, Indonesia",Indonesia,Independent,"US$23","Gili Air Resort"
"Hotel Rooms: 125,","Gili Trawangan, 83111  Gili Trawangan, Indonesia",Indonesia,"Hotel Chain:
Aston International Hotels, Resorts & Residences","US$143","Aston Sunset Beach Resort - Gili Trawangan"
"Hotel Rooms: 15","Gili Trawangan - North Lombok, 83355 Gili Trawangan, Indonesia",Indonesia,Independent,"US$95","Vamana Resort"
"Hotel Rooms: 148","Gili Trawangan, Lombok, 83000 Gili Trawangan, Indonesia",Indonesia,Independent,"US$154","Vila Ombak"
"Hotel Rooms: 29","Jl. Raya Gili Trawangan II Road / 1 Pemenang Lombok Utara NTB, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$99","Gili Amor Boutique Resort"
"Hotel Rooms: 13","Jl.Gili trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$100","Gili Ocean Club"
"Hotel Rooms: 2","Gili Meno , 83352 Gili Meno, Indonesia",Indonesia,Independent,"US$30","Balakosa Bungalows"
"Hotel Rooms: 12","Jalan Ikan Peri, 80113 Gili Trawangan, Indonesia",Indonesia,Independent,0,"Villa Phy Phy 2"
"Hotel Rooms: 14","Gili Trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$38","Gili Divers Hotel"
"Hotel Rooms: 10","Jl. Ikan Pelatuk, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$22","Good Vibes Bungalows"
"Hotel Rooms: 14","Gili Trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$42","Pesona Resort"
"Hotel Rooms: 17","Jalan Kelapa, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$42","Trawangan Nirvana"
"Hotel Rooms: 4","Jalan Gili Trawangan, 83355 Gili Trawangan, Indonesia",Indonesia,Independent,"US$63","Natya Hotel Gili Trawangan"
"Hotel Rooms: 24","The Jetty Sentral, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,0,"Gili T Resort"
"Hotel Rooms: 8","The Beach club dsn gili air .desa gili indah,kec,pemenang.k.l.u, 83125 Gili Air, Indonesia",Indonesia,Independent,"US$112","The Beach Club Gili Air"
"Hotel Rooms: 27","Jalan Sunset Road, Gili Indah, Gili Trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$85","PinkCoco Gili Trawangan"
"Hotel Rooms: 15","Dusun Gilimeno,Gili indah Kec. Pemenang, Kab Lombok Utara, 83353 Gili Meno, Indonesia",Indonesia,Independent,"US$144","Karma Reef"
"Hotel Rooms: 23","Gili Trawangan, Lombok, 83352 Gili Trawangan, Indonesia",Indonesia,Independent,"US$57","Manta Dive Gili Trawangan Resort"
