chain,area,country,name,rooms,price
Independent,"North Gili Trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,"Oceano Jambuluwuk Resort","Hotel Rooms: 36",
Independent,"Desa Gili Indah, Gili Trawangan, 83352 Gili Trawangan, Indonesia",Indonesia,"Pandawa Beach Villas & Resort","Hotel Rooms: 39",
Independent,"Gili Trawangan, Lombok, 83352 Gili Trawangan, Indonesia",Indonesia,"Manta Dive Gili Trawangan Resort","Hotel Rooms: 23",
Independent,"Gili Trawangan Island, 83355 Gili Trawangan, Indonesia",Indonesia,"Pearl of Trawangan","Hotel Rooms: 53",
Independent,"Gili Trawangan, Lombok, 83352 Gili Trawangan, Indonesia",Indonesia,"The Beach House Resort","Hotel Rooms: 19",
Independent,"Gili Trawangan, Lombok, 83352 Gili Trawangan, Indonesia",Indonesia,"Kokomo Resort","Hotel Rooms: 11",
Independent,"Gili Trawangan, 83552 Gili Trawangan, Indonesia",Indonesia,"Ombak Sunset","Hotel Rooms: 100",
Independent,"Jl. Raya Gili Trawangan II Road / 1 Pemenang Lombok Utara NTB, 83352 Gili Trawangan, Indonesia",Indonesia,"Gili Amor Boutique Resort","Hotel Rooms: 29",
Independent,"The Beach club dsn gili air .desa gili indah,kec,pemenang.k.l.u, 83125 Gili Air, Indonesia",Indonesia,"The Beach Club Gili Air","Hotel Rooms: 8",
Independent,"Gili Trawangan, Lombok, 83352 Gili Trawangan, Indonesia",Indonesia,"Luce d'Alma Resort & Spa","Hotel Rooms: 16",
Independent,"Gili Trawangan, Lombok, 83000 Gili Trawangan, Indonesia",Indonesia,"Vila Ombak","Hotel Rooms: 148",
Independent,"Gili Trawangan - North Lombok, 83355 Gili Trawangan, Indonesia",Indonesia,"Vamana Resort","Hotel Rooms: 15",
Independent,"Dusun Gilimeno,Gili indah Kec. Pemenang, Kab Lombok Utara, 83353 Gili Meno, Indonesia",Indonesia,"Karma Reef","Hotel Rooms: 15",
Independent,"Gili Trawangan, Lombok, 80862 Gili Trawangan, Indonesia",Indonesia,"Samba Villas-Beachfront View","Hotel Rooms: 17",
"Hotel Chain:
Aston International Hotels, Resorts & Residences","Gili Trawangan, 83111  Gili Trawangan, Indonesia",Indonesia,"Aston Sunset Beach Resort - Gili Trawangan","Hotel Rooms: 125,",
Independent,"Desa Gili Indah, Kecamatan Pemenang, Kabupaten Lombok Utara, 83352 Gili Air, Indonesia",Indonesia,"Lumbung Gede Resort","Hotel Rooms: 15",
Independent,"West Coast, 83352 Gili Meno, Indonesia",Indonesia,"Sunset House Gili Meno","Hotel Rooms: 10",
Independent,"Gili Trawangan, 83114 Gili Trawangan, Indonesia",Indonesia,"Villa Almarik Resort","Hotel Rooms: 25",
Independent,"Gili Air, 83352 Gili Air, Indonesia",Indonesia,"Gili Air Resort","Hotel Rooms: 30",
Independent,"Desa Gili Indah, Gili Air, 83352 Gili Air, Indonesia",Indonesia,"Diva Lumbung Resort","Hotel Rooms: 5",
