area,country,price,rooms,name,chain
"
Plaza Los Mangos,Radial Francisco J Orlich, 20109 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 127,,","Courtyard by Marriott San Jose Airport Alajuela","Hotel Chain:
Courtyard by Marriott"
"1 Kilometer East Of Juan Santamaria Airport  , 195 4003 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 100,,","Holiday Inn Express San Jose Airport","Hotel Chain:
Holiday Inn Express"
"Calle Burios, 1 km NE del abastecedor Diamante, 21007 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 24","Xandari Resort & Spa",Independent
"
4km West from SJO International Airport, 20104 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 24","Airport Hotel Costa Rica",Independent
"
San Antonio de Belen, Asuncion, 40701 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 222,","DoubleTree by Hilton Cariari San Jose - Costa Rica","Hotel Chain:
Doubletree by Hilton
"
"1 Kilometre East from International Airport, 11000 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Berlor Airport Inn",Independent
"
400 metros Oeste de la Iglesia Catolica, El Roble, 20104 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Hotel Robledal",Independent
"
Rincón de la Vieja, Liberia, 50101 Guachipelín, Costa Rica",Costa Rica,,"Hotel Rooms: 54","Hacienda Guachipelin Volcano Ranch Hotel & Hot Springs",Independent
"
Autopista Prospero Fernandez, Calle Marginal N, Plaza Itskatzu, 10201 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 120,,","Courtyard by Marriott San Jose Escazu","Hotel Chain:
Courtyard by Marriott"
"9 km North from the International airport toward Poas Volcano, 760-4050 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 30","Hotel Buena Vista",Independent
"
Parque empresarial Forum II Radial Belen-Santa Ana, San Jose, 10101 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 150,","Aloft San Jose","Hotel Chain:
Aloft
"
"Avenida 6, Calle 28, 10001 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 117,","Park Inn San Jose by Radisson","Hotel Chain:
Park Inn by Radisson
"
"Frente al Rancho Maba, el Coyol , 20101 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 20","Hotel Villa Dolce",Independent
"
Calle Central y Tercera Av 15, Barrio Tournon, 00001 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 210,","Radisson Hotel San Jose - Costa Rica","Hotel Chain:
Radisson
"
"Highway 1 Airport Boulevard, 00011 Alajuela, Costa Rica",Costa Rica,,"Hotel Rooms: 100,","Hampton Inn & Suites San Jose Airport","Hotel Chain:
Hampton by Hilton
"
"Avenida Central Calles 7 y 9, 10303 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 112","Hotel Balmoral",Independent
"
Golfo Papagayo, 00010 Playa Hermosa, Costa Rica",Costa Rica,,"Hotel Rooms: 26","Casa Conde Beach Front Hotel",Independent
"
100 metros sur del Banco Nacional de Costa rica-costado oeste del Hotel Arcoiris, 11111 Tamarindo, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Tamarindo Bay Boutique Hotel - Adults Only",Independent
"
2 kilometros oeste del parque, carretera al Volcan arenal, la Fortuna de san carlos C.R., 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Roca Negra Del Arenal",Independent
"
Caño Negro, 50 mtrs from the entrance, 21402 Caño Negro, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel de Campo",Independent
"
1 km sur y 600 metros oeste de la Iglesia Católica de La Fortuna, San Carlos., 60111 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Hotel Rancho Cerro Azul",Independent
"
Lado Suroeste de Panasonic, 49-4005 San Antonio, Costa Rica",Costa Rica,,"Hotel Rooms: 29","El Rodeo Estancia Boutique Hotel & Steakhouse",Independent
"
Moctezuma Centro , 50101 Montezuma, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel El Jardin",Independent
"
Cartago, Costa Rica, 1.5 km al sur de la represa de Cachí, 30204 Cachí, Costa Rica",Costa Rica,,"Hotel Rooms: 7","Hotel Boutique La Casona del Cafetal",Independent
"
Calle 3A Av 9 Barrio Amón Diagonal de INVU, 10101 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 4","Zona Two",Independent
"
Palmar Sur, 60601 Sierpe, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Oleaje Sereno",Independent
"
400 norte de el Bar Lizard. Direccion a Chorrera, 10000 Coco, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel M&M Garden House",Independent
"
150 metros Sur de Libreria Universar en Sabana Sur., 10103 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 37","Soluxe El Sesteo Hotel",Independent
"
1,5 km del cruce de Nicoya carretera hacia Santa Cruz, Nicoya, Costa Rica",Costa Rica,,"Hotel Rooms: 60","Hotel El Regalo",Independent
"
200 Oeste de la RTV (revision tecnica vehicular) de Parrita, 60011 Parrita, Costa Rica",Costa Rica,,"Hotel Rooms: 6","Cabinas El Sueño",Independent
"
2 Kilometros del centro de la Fortuna camino al Volcan, 21007 Fortuna, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Vista del Cerro",Independent
"
4 km from Tarcoles bridge , 61101 Tárcoles, Costa Rica",Costa Rica,,"Hotel Rooms: 58","Villa Lapas Rainforest Eco-Resort",Independent
"
Quality Road - 75 Metres Sur y 75 Este Restaurante El Coco Frente Cool Vibes y Soda y Ensuenos (Montanas de Agua), 60504 Dominical, Costa Rica",Costa Rica,,"Hotel Rooms: 13","Tropical Sands Dominical Eco Inn",Independent
"
200 meters west from Orotina Central Park, Orotina, 11000 Orotina, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel Iguana Verde",Independent
"
15 minutos de Puerto Jimenez Centro, 60702 Puerto Jiménez, Costa Rica",Costa Rica,,"Hotel Rooms: 14","La Casona Doña Tere",Independent
"
Avenida 2, Calles 38 - 40, 10101 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 8","Hotel Pacific San Jose",Independent
"
San Rafael de Oreamuno, Cartago, Costa Rica 2 Km al este del puente Beily, carretera principal hacia el Parque Nacional Volcán Irazú., 30701 Cartago, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel Las Brumas",Independent
"
200 Mts Este De La Escuela Rural De Mata Limon, Caldera, 00111 Mata de Limón, Costa Rica",Costa Rica,,"Hotel Rooms: 10","Hotel y Restaurante Costa del Sol",Independent
"
De torre Mercedes Benz 300 Norte, 200 Este, Calle 20 Pase colon, 10102 San José, Costa Rica",Costa Rica,,"Hotel Rooms: 30","Hotel Quinta Avenida",Independent
"
Barrio La Meseta, De Pollos  Delhi , 100 Este, Perez Zeledon, San Jose, 10102 San Isidro, Costa Rica",Costa Rica,,"Hotel Rooms: 28,,","Best Western Zima","Hotel Chain:
Best Western"
"Playa del Carmen, 260Mts NW from Banco Nacional, 60111 Santa Teresa, Costa Rica",Costa Rica,,"Hotel Rooms: 22","Hotel Rustico Santa Teresa",Independent
"
50mt sur de la municipalidad, 00111 Jacó, Costa Rica",Costa Rica,,"Hotel Rooms: 34","Hotel El Naranjal",Independent
"
200m Oeste del Correo de Costa Rica, 50101 Coco, Costa Rica",Costa Rica,,"Hotel Rooms: 15","Flor de Itabo",Independent
"
50 mts norte de la entrada del colegio Bilingue, Agua Buena, Costa Rica",Costa Rica,,"Hotel Rooms: 16","Hotel Emanuel",Independent
"
Tortuguero, 10301 Siete, Costa Rica",Costa Rica,,"Hotel Rooms: 24","Ilan-Ilan Trails & Lodge",Independent
"
De La Clinica De Miramar 50 Sur 400 Oeste, 00111 Miramar, Costa Rica",Costa Rica,,"Hotel Rooms: 24","Cabinas Dormi Bene",Independent
"
50m Norte Iglesia Catolica Venecia, San Carlos, 21005 Marsella, Costa Rica",Costa Rica,,"Hotel Rooms: 9","Hotel Rosa De Sharon",Independent
"
4 km south of Poas Volcano National Park, 20801 Poasito, Costa Rica",Costa Rica,,"Hotel Rooms: 5","Poas Lodge",Independent
