area,name,rooms,price,chain,country
"Zona Costera, Contiguo a Casa Marina y Frente Restaurante Joseline, 47000 San Juan del Sur, Nicaragua","HC Suites Hotel","Hotel Rooms: 20",,Independent,Nicaragua
"Playa Marsella, 50884 San Juan del Sur, Nicaragua","Mango Rosa Resort","Hotel Rooms: 12",,Independent,Nicaragua
"De banpro San Juan del sur 75 vrs, donde fue la policía san juan del sur, 52100 San Juan del Sur, Nicaragua","Sunset Hotel","Hotel Rooms: 7",,Independent,Nicaragua
"Pista Juan Pablo II , 10000 Managua, Nicaragua","Holiday Inn Convention Center","Hotel Rooms: 156,,",,"Hotel Chain:
Holiday Inn Hotels & Resorts",Nicaragua
"Southwest Bay, 82100 Big Corn Island, Nicaragua","Arenas Beach Hotel","Hotel Rooms: 29",,Independent,Nicaragua
"Empalme de El Valle, 991.5 m al Este, 48600 San Juan del Sur, Nicaragua","Surf Ranch Hotel & Resort","Hotel Rooms: 40",,Independent,Nicaragua
"50 METROS NORTE CATEDRAL, 00001 Managua, Nicaragua","Best Western Las Mercedes","Hotel Rooms: 100,,",,"Hotel Chain:
Best Western",Nicaragua
"Semaforos de Rubenia 200 mts al norte, 050-088-4 Managua, Nicaragua","Hotel Estrella","Hotel Rooms: 40",,Independent,Nicaragua
"Avenida del Parque, 48600 San Juan del Sur, Nicaragua","El Coco Azul","Hotel Rooms: 6",,Independent,Nicaragua
"Ave. Central, Zona Costera , 355-533-3 San Juan del Sur, Nicaragua","Hotel La Estación","Hotel Rooms: 18",,Independent,Nicaragua
"200 metros al sur del Hotel Ticomo, 16700 Pochomil, Nicaragua","Hotel Casa Pochomil","Hotel Rooms: 6",,Independent,Nicaragua
"Del Mercado 1 cuadra y media al oeste, 050-088-1 San Juan del Sur, Nicaragua","Rositas Hotel","Hotel Rooms: 23",,Independent,Nicaragua
"una cuadra de la playa, 000-000-0 San Juan del Sur, Nicaragua","Hotel Colonial","Hotel Rooms: 12",,Independent,Nicaragua
"Km 4 1/2 Carretera a Masaya, 1 cuadra al Oeste,1 cuadra al Sur, 10000 Managua, Nicaragua","Seminole Plaza Hotel","Hotel Rooms: 84",,Independent,Nicaragua
"Frente a la Playa cruzando el Puente , 050-088-1 San Juan del Sur, Nicaragua","HC Liri Hotel","Hotel Rooms: 9",,Independent,Nicaragua
"Villa Fontana, Frente a Club Terraza., 10000 Managua, Nicaragua","Wayak Hotel","Hotel Rooms: 22",,Independent,Nicaragua
"De Gasolinera Uno Guapinol una cuadra y media al sur. Avenida Arellano frente al Silais., 058-088-4 Granada, Nicaragua","Hotel La Estacion","Hotel Rooms: 20",,Independent,Nicaragua
"De la Biblioteca del Banco Central, 1 1/2 Cuadras al Este, 61000 Matagalpa, Nicaragua","Hotel Roca de la Cumbre","Hotel Rooms: 14",,Independent,Nicaragua
"Restaurante Tip Top 30 metros al Norte., 00505 Matagalpa, Nicaragua","Hotel Matagalpa Inn","Hotel Rooms: 15",,Independent,Nicaragua
"Del Puerto de Moyogalpa 70 varas al Este, 48700 Moyogalpa, Nicaragua","Hotel Ometepetl","Hotel Rooms: 10",,Independent,Nicaragua
"Colonial los Robles, de la Funeraria Don Bosco 75 varas arriba casa 3, 3278 Managua, Nicaragua","Casa Lucia","Hotel Rooms: 2",,Independent,Nicaragua
"a 5 minutos en carro del centro historico de la ciudad, enfrente de la entrada del reparto San Juan, 00011 Granada, Nicaragua","Hotel Palacio Real","Hotel Rooms: 12",,Independent,Nicaragua
"Entrada a Popoyo, 1km al Sur, 29572 Popoyo, Nicaragua","Nicawaves","Hotel Rooms: 12",,Independent,Nicaragua
"Laguna de Apoyo, Frente al empalme, 10000 La Laguna, Nicaragua","Laguna Beach Club","Hotel Rooms: 11",,Independent,Nicaragua
"North End, 82100 Big Corn Island, Nicaragua","Hotel Morgan","Hotel Rooms: 6",,Independent,Nicaragua
"Paseo del Rey 1, San Juan del Sur, Nicaragua","Hotel Atlantic City","Hotel Rooms: 5",,Independent,Nicaragua
"Kilómetro 5 Carretera A Masaya, 10000 Managua, Nicaragua","Ambassador Hotel","Hotel Rooms: 38",,Independent,Nicaragua
"de la hacienda merida 500 m al sur, 68144 Mérida, Nicaragua","Hotel La Omaja","Hotel Rooms: 7",,Independent,Nicaragua
"Laguna de Apoyo, del Triángulo del Plan de la Laguna 2 kms. al Noreste., 10000 La Laguna, Nicaragua","Posada Ecologica La Abuela","Hotel Rooms: 13",,Independent,Nicaragua
"Calle Cusicoma, del mercado media cuadra al lago, Granada, Nicaragua","Casa Amalia","Hotel Rooms: 5",,Independent,Nicaragua
"Avenida del Parque, 48600 San Juan del Sur, Nicaragua","La Posada Azul","Hotel Rooms: 7",,Independent,Nicaragua
"Calle el Caimito, desde la Alcaldia Municipal, 3 cuadras al Lago, 43000 Granada, Nicaragua","Hotel La Pérgola","Hotel Rooms: 26",,Independent,Nicaragua
"Semaforo Maxi Pali, 1/2 cuadra al oeste, Estelí, Nicaragua","Aparthotel Gueguense","Hotel Rooms: 6",,Independent,Nicaragua
"Barrio Brig Bay, Waula Point, 82100 Big Corn Island, Nicaragua","La Princesa de La Isla","Hotel Rooms: 5",,Independent,Nicaragua
"Tercera entrada a Matagalpa 1 c. al este y 1/2 c. al sur, frente a Clinica Profamilia, Matagalpa, Nicaragua, 61000 Matagalpa, Nicaragua","Hotel Villa Hermosa","Hotel Rooms: 5",,Independent,Nicaragua
"Gasolinera Petronic Masachapa 1 c. oeste y 2 c. al sur, 00001 Masachapa, Nicaragua","Hotel Casa de Pacifico Masachapa Playa","Hotel Rooms: 3",,Independent,Nicaragua
"Calle La Libertad, del edificio BAC 2 1/2 cuadras al Oeste, Granada, Nicaragua","Bubu Hotel","Hotel Rooms: 5",,Independent,Nicaragua
"Guasacate - Popoyo Tola, Popoyo, Nicaragua","Melting Elefante","Hotel Rooms: 6",,Independent,Nicaragua
"Gasolinera Texaco 1calle Oeste  1/2 cuadra al norte, 000-000-0 Jinotega, Nicaragua","Hotel Cafe","Hotel Rooms: 34",,Independent,Nicaragua
"200 m norte de Tanke de Agua, La Chocolata Nacascolo, San Juan del Sur, Nicaragua","Eden on the Chocolata","Hotel Rooms: 2",,Independent,Nicaragua
"Iglesia la Recolección, 275 metros al norte, 21100 León, Nicaragua","Posada Fuente Castalia","Hotel Rooms: 9",,Independent,Nicaragua
"Final de la pista de aterrizaje, North End, 82100 Big Corn Island, Nicaragua","Ike's Place - Vientos del Norte","Hotel Rooms: 8",,Independent,Nicaragua
"Del Colegio Andres Castro 1/2 C.al Norte Las Penitas, Leon, Nicaragua, 21000 Las Peñitas, Nicaragua","Playa Roca Hotel","Hotel Rooms: 9",,Independent,Nicaragua
"Playa el Coco, 101 San Juan del Sur, Nicaragua","Parque Maritimo El Coco","Hotel Rooms: 16",,Independent,Nicaragua
"Playa Maderas-Del empalme Marsella 200 metros al norte, 48600 San Juan del Sur, Nicaragua","Casa Maderas","Hotel Rooms: 24",,Independent,Nicaragua
"De la Gasolimera Santa Ana media calle arriba, 48700 Moyogalpa, Nicaragua","Hotelito y Restaurante Aly","Hotel Rooms: 17",,Independent,Nicaragua
"De La Iglesia La Merced 1 cuadra al Oeste y media cuadra al Sur, Avenida Barricada, 43000 Granada, Nicaragua","Hotel Terrasol","Hotel Rooms: 10",,Independent,Nicaragua
"10 Calle Sur Oeste, 10000 Managua, Nicaragua","Hotel Villa Angelo","Hotel Rooms: 12",,Independent,Nicaragua
"Del Parque Central, 4 cuadras al lago, Calle La Calzada, 00505 Granada, Nicaragua","Hotel Boutique La Cigale","Hotel Rooms: 7",,Independent,Nicaragua
"Rotonda Los Encuentros, 500 metros al norte, contiguo a Restaurante RostiPollos, 60111 Chinandega, Nicaragua","Hotel Los Portales","Hotel Rooms: 31",,Independent,Nicaragua
"Costado Sur de Farallon Aquaculture de Nicaragua, 21000 Las Peñitas, Nicaragua","El Belga Loco","Hotel Rooms: 7",,Independent,Nicaragua
"Las Salinas - Tola - Rivas, 10000 Popoyo, Nicaragua","Hotel Popoyo","Hotel Rooms: 9",,Independent,Nicaragua
"Colegio Teresiano 1 cuadra al sur, 1/2 cuadra al oeste, 00505 Managua, Nicaragua","Hotel Posada Don Pantaleon","Hotel Rooms: 22",,Independent,Nicaragua
"100 M al norte del Hospital de Moyogalpa, 48700 Moyogalpa, Nicaragua","Hotel Nicaraus","Hotel Rooms: 10",,Independent,Nicaragua
"Playa Yankee, 50807 San Juan del Sur, Nicaragua","Orquidea del Sur","Hotel Rooms: 5",,Independent,Nicaragua
"Calle El Arsenal, 43000 Granada, Nicaragua","Casa Xanadu","Hotel Rooms: 5",,Independent,Nicaragua
"Del Parque San Juan 2 cuadras al Oeste 1/2 cuadra al Norte, 050-088-4 León, Nicaragua","Hotel Flor De Sarta","Hotel Rooms: 8",,Independent,Nicaragua
"Carretera hacia El Remanso, complejo Congo Hill, 48600 San Juan del Sur, Nicaragua","O´Sheas San Juan del Sur","Hotel Rooms: 3",,Independent,Nicaragua
"""El Quino"" 200 meters to north, 2.3 km. to east. Ometepe Island, Nicaragua., 48800 Altagracia, Nicaragua","San Juan de la Isla","Hotel Rooms: 19",,Independent,Nicaragua
"Del Mercado Municipal 1c. al Oeste, 10000 San Juan del Sur, Nicaragua","Barrio Cafe Hotel Restaurant Bar","Hotel Rooms: 8",,Independent,Nicaragua
"Calle El Arsenal, 050-088-4 Granada, Nicaragua","Hotel Estrada","Hotel Rooms: 7",,Independent,Nicaragua
"KM 42.5 San Marcos, Masatepe, 10000 San Marcos, Nicaragua","Hotel The Place Inn San Marcos","Hotel Rooms: 16",,Independent,Nicaragua
"Playa Guasacate, Tola, Popoyo, Nicaragua","Yalta's Inn Hotel","Hotel Rooms: 10",,Independent,Nicaragua
"Km 70 1/2 carretera Nandaime - Rivas., El Manchon, Nicaragua","Hotel Restaurante Plaza Manchon","Hotel Rooms: 40",,Independent,Nicaragua
"Km 38½ Carretera Sur, Diriamba, Nicaragua","Guardabarranco","Hotel Rooms: 16",,Independent,Nicaragua
"Frente al parque, Brig Bay, 82100 Big Corn Island, Nicaragua","Hotel Flor","Hotel Rooms: 10",,Independent,Nicaragua
"Costado Norte Casa Pellas 2 cuadras al Oeste, Estelí, Nicaragua","Hotel Mery","Hotel Rooms: 9",,Independent,Nicaragua
"Km 102 Carretera Panamericana Norte, 050-088-4 Sébaco, Nicaragua","Hotel El Valle","Hotel Rooms: 9",,Independent,Nicaragua
"km 40 1/2 carretera sur, 46300 Diriamba, Nicaragua","Eco posada Tortuga Verde","Hotel Rooms: 5",,Independent,Nicaragua
"Rotonda de los Encuentros 800 Metros Norte , 00505 Chinandega, Nicaragua","Farallones Hotel","Hotel Rooms: 41",,Independent,Nicaragua
" a few miles north of San Juan Del Sur just 150 meters from the ocean’s edge at Playa Marsella, 60111 San Juan del Sur, Nicaragua","Casa Bahia Family Adventure & Surf Hotel","Hotel Rooms: 9",,Independent,Nicaragua
"Entrada al trentino, San Ramon - Matagalpa, San Ramón, Nicaragua","HOTEL EN EL CAMPO MANA DEL CIELO","Hotel Rooms: 10",,Independent,Nicaragua
"Barrio San Luis, Calle Principal, 71000 Puerto Cabezas, Nicaragua","Hotel Caribe","Hotel Rooms: 7",,Independent,Nicaragua
"De La Colonia 1c al norte, Estelí, Nicaragua","Hotel El Meson","Hotel Rooms: 8",,Independent,Nicaragua
"Parque Infantil, 2c al oeste, 1/2c al norte, Estelí, Nicaragua","Hotel Azul De La Selva","Hotel Rooms: 8",,Independent,Nicaragua
"Km 43 Carretera Diriamba, Jinotepe, 46300 Dolores, Nicaragua","Hotel Majestic Nicaragua","Hotel Rooms: 12",,Independent,Nicaragua
"DEL PUERTO DE MOYOGALPA 1.5 KM AL SUR Y DEL PUERTO DE SAN JOSE 14 KM NORTE, Moyogalpa, Nicaragua","Hostal Dilany","Hotel Rooms: 3",,Independent,Nicaragua
"Del colegio San Jose del Sur, 400mts al lago, San José del Sur, Nicaragua","Hotel Playa Santa Martha","Hotel Rooms: 7",,Independent,Nicaragua
"Avenida de los Bancos, Frente a Lafise Bancentro, Matagalpa, Nicaragua","Arce´s Hotel","Hotel Rooms: 10",,Independent,Nicaragua
"San Ramon, Detras del Instituto Nacional de San Ramon, 050-088-4 San Ramón, Nicaragua","Hotel y Restaurante El Sueño de la Campana","Hotel Rooms: 12",,Independent,Nicaragua
"Carretera panamericana León-Chinandega, Km. 125.5, 25000 Chinandega, Nicaragua","Hotel Apastepe","Hotel Rooms: 7",,Independent,Nicaragua
"Laguna de Apoyo, Del triangulo 1200mts al sur, La Laguna, Nicaragua","Pajaro Azul","Hotel Rooms: 4",,Independent,Nicaragua
"Gasolinera Uno, 1c al oeste, 1c al sur y media al este, frente a la farmacia comunal, 00113 San Juan del Sur, Nicaragua","Beach Please Hotel","Hotel Rooms: 7",,Independent,Nicaragua
"Parque Central 350 mts al norte, 355-533-3 San Marcos, Nicaragua","Hotel Boutique Hacienda San Pedro","Hotel Rooms: 18",,Independent,Nicaragua
"reparto san juan de la entrada 400 metros al este 200 metros al norte, 43000 Granada, Nicaragua","Hotel La Fortaleza","Hotel Rooms: 30",,Independent,Nicaragua
"Del INSS 2 cuadras al este, Somoto, Nicaragua","Hotel and Spa Huaca Yaran","Hotel Rooms: 7",,Independent,Nicaragua
"Calle de los bancos, BANPRO 2 1/2 cuadra al sur., 61000 Matagalpa, Nicaragua","HOTEL MANA DEL CIELO","Hotel Rooms: 35",,Independent,Nicaragua
"Contiguo al muelle municipal, 82100 Big Corn Island, Nicaragua","Hotel Sweet Dreams","Hotel Rooms: 17",,Independent,Nicaragua
"Detras de Iglesia San Jose, Matagalpa Matagalpa, Nicaragua, Matagalpa, Nicaragua","Hotel San Jose, Matagalpa.","Hotel Rooms: 16",,Independent,Nicaragua
"Costado Sureste de catderal 2 1/2 cuadras al Sur, 31000 Estelí, Nicaragua","Hotel Moderno","Hotel Rooms: 6",,Independent,Nicaragua
"100 Beach Way , 50000 Mechapa, Nicaragua","Redwood Beach Resort","Hotel Rooms: 6",,Independent,Nicaragua
"De la terminal de buses 100m al norte sobre la carretera, 63012 Ocotal, Nicaragua","Hotel Mirador","Hotel Rooms: 25",,Independent,Nicaragua
"K 148 Carretera Panamericana, Estelí, Nicaragua","Hotel Alameda","Hotel Rooms: 20",,Independent,Nicaragua
"De la iglesia Guadalupe 1 cuadra y media al lago frente al multiestadio, Granada-Nicaragua, 43000 Granada, Nicaragua","Hotel Casa del Lago","Hotel Rooms: 5",,Independent,Nicaragua
"Frente al Parque Central , 51000 Boaco, Nicaragua","Hotel Tijerinos","Hotel Rooms: 18",,Independent,Nicaragua
"Frente La Bocana, Las Peñitas, Nicaragua","Hotelito Dulce Mareas","Hotel Rooms: 6",,Independent,Nicaragua
"Km 8.2 Moyogalpa, 10000 San José del Sur, Nicaragua","Hotel Museo El Ceibo","Hotel Rooms: 8",,Independent,Nicaragua
"De la entrada principal de Posada del Sol 700 metros al oeste y 50 metros al sur, 21000 León, Nicaragua","Grand Hotel","Hotel Rooms: 10",,Independent,Nicaragua
"Puente Arlen Siu 100 m sur / 100 m este, 11111 León, Nicaragua","Lady M Club Hotel","Hotel Rooms: 9",,Independent,Nicaragua
"Brig Bay, next to the Municipal Pier, 82100 Big Corn Island, Nicaragua","Fisher's Cave","Hotel Rooms: 14",,Independent,Nicaragua
"Escuela 50 mts Sur, 050-088-4 El Astillero, Nicaragua","Hostal Hamacas","Hotel Rooms: 8",,Independent,Nicaragua
"Iglesia La Recolección 2 cuadras al este, 21000 León, Nicaragua","Hotel Leon del Sol","Hotel Rooms: 8",,Independent,Nicaragua
"Km 43 Carretera Panamericana Sur, 300 Metros Al Norte, Dolores, Nicaragua","Dsantos Hotel Boutique","Hotel Rooms: 7",,Independent,Nicaragua
"De donde fue la Mercantil, 3 cuadras abajo, 75 varas al norte, 10000 León, Nicaragua","Hotel El Sueño de Meme","Hotel Rooms: 12",,Independent,Nicaragua
"Zona Central, de la iglesia Molaguina 75 vras al oeste., 61000 Matagalpa, Nicaragua","Hostal El Rey","Hotel Rooms: 12",,Independent,Nicaragua
"Del Muello 200 mt. al Norte 50 mt. al Sur, El castillo, Rio San Juan, El Castillo de La Concepción, Nicaragua","Hotel Lara's Planet","Hotel Rooms: 5",,Independent,Nicaragua
"Managua, semáforo mercado mayoreo 100 mts al oeste (abajo), 10000 Managua, Nicaragua","Hotel Posada de Paz Managua","Hotel Rooms: 9",,Independent,Nicaragua
"Esquina de los Bancos 50 MTS al sur - Chinandega., 54321 Chinandega, Nicaragua","Hotel Plaza Cosiguina","Hotel Rooms: 13",,Independent,Nicaragua
"Parque 1 1/2 al Oeste , 050-088-4 San Juan del Sur, Nicaragua","Hostal Brisas y Olas","Hotel Rooms: 8",,Independent,Nicaragua
"Villa Fontana, Del Club Terraza 150 Metros al Oeste, Managua, Nicaragua","Hotel Fontana","Hotel Rooms: 5",,Independent,Nicaragua
"Calle el Cementerio, 050-088-4 Granada, Nicaragua","Hotel de Calidad","Hotel Rooms: 15",,Independent,Nicaragua
"Bahía de Asese, 43000 Isletas de Granada, Nicaragua","Zopango Island","Hotel Rooms: 3",,Independent,Nicaragua
"6km from Salinas Bridge to Tola Rivas, 00884 El Gigante, Nicaragua","Punta Teonoste","Hotel Rooms: 16",,Independent,Nicaragua
"Costado este Policía Nacional, Diarimba, 000-000-0 Diriamba, Nicaragua","Hotel Mi Bohio","Hotel Rooms: 14",,Independent,Nicaragua
"Next to Playa Roca Hotel, 10000 Las Peñitas, Nicaragua","Simple Beach Lodge","Hotel Rooms: 3",,Independent,Nicaragua
"Contiguo a Oficinas de INiser, O del Colegio de las Monjas 75 vrs al Norte, Estelí, Nicaragua","Casa Hotel Santa Elena","Hotel Rooms: 11",,Independent,Nicaragua
