chain,name,country,area,price,rooms
Independent,"Orquidea del Sur",Nicaragua,"Playa Yankee, 50807 San Juan del Sur, Nicaragua",0,"Hotel Rooms: 5"
Independent,"Posada Fuente Castalia",Nicaragua,"Iglesia la Recolección, 275 metros al norte, 21100 León, Nicaragua",0,"Hotel Rooms: 9"
Independent,"Hotel Moderno",Nicaragua,"Costado Sureste de catderal 2 1/2 cuadras al Sur, 31000 Estelí, Nicaragua",0,"Hotel Rooms: 6"
Independent,"Hotelito y Restaurante Aly",Nicaragua,"De la Gasolimera Santa Ana media calle arriba, 48700 Moyogalpa, Nicaragua","US$12","Hotel Rooms: 17"
Independent,"Hotel Los Portales",Nicaragua,"Rotonda Los Encuentros, 500 metros al norte, contiguo a Restaurante RostiPollos, 60111 Chinandega, Nicaragua","US$45","Hotel Rooms: 31"
Independent,"Hotel Terrasol",Nicaragua,"De La Iglesia La Merced 1 cuadra al Oeste y media cuadra al Sur, Avenida Barricada, 43000 Granada, Nicaragua",0,"Hotel Rooms: 10"
Independent,"Casa Maderas",Nicaragua,"Playa Maderas-Del empalme Marsella 200 metros al norte, 48600 San Juan del Sur, Nicaragua",0,"Hotel Rooms: 24"
Independent,"Hotel Villa Angelo",Nicaragua,"10 Calle Sur Oeste, 10000 Managua, Nicaragua",0,"Hotel Rooms: 12"
Independent,"O´Sheas San Juan del Sur",Nicaragua,"Carretera hacia El Remanso, complejo Congo Hill, 48600 San Juan del Sur, Nicaragua",0,"Hotel Rooms: 3"
Independent,"La Posadita de Bolonia",Nicaragua,"Canal 2 tres cuadras Oeste 10 varas al norte, 000-000-0 Managua, Nicaragua",0,"Hotel Rooms: 8"
Independent,"Playa Roca Hotel",Nicaragua,"Del Colegio Andres Castro 1/2 C.al Norte Las Penitas, Leon, Nicaragua, 21000 Las Peñitas, Nicaragua",0,"Hotel Rooms: 9"
"Hotel Chain:
Holiday Inn Express","Holiday Inn Express Managua",Nicaragua,"Blvd. Jean Paul Genie, rotonda 800 mts al oeste, 50000 Managua, Nicaragua","US$151","Hotel Rooms: 114,,"
Independent,"Arce´s Hotel",Nicaragua,"Avenida de los Bancos, Frente a Lafise Bancentro, Matagalpa, Nicaragua",0,"Hotel Rooms: 10"
Independent,"Eden on the Chocolata",Nicaragua,"200 m norte de Tanke de Agua, La Chocolata Nacascolo, San Juan del Sur, Nicaragua",0,"Hotel Rooms: 2"
Independent,"Ike's Place - Vientos del Norte",Nicaragua,"Final de la pista de aterrizaje, North End, 82100 Big Corn Island, Nicaragua",0,"Hotel Rooms: 8"
Independent,"La Princesa de La Isla",Nicaragua,"Barrio Brig Bay, Waula Point, 82100 Big Corn Island, Nicaragua","US$61","Hotel Rooms: 5"
Independent,"Guacalito de la Isla Luxury Ocean Villas & apartments",Nicaragua,"Km 10 carretera las salinas Rivas Nicaragua, 00113 El Gigante, Nicaragua",0,"Hotel Rooms: 13"
Independent,"Hotel Cafe",Nicaragua,"Gasolinera Texaco 1calle Oeste  1/2 cuadra al norte, 000-000-0 Jinotega, Nicaragua",0,"Hotel Rooms: 34"
Independent,"Hotel La Posada del Sol",Nicaragua,"Calle El Caimito, de la alcaldia tres cuadras y media a lago, 18656 Granada, Nicaragua",0,"Hotel Rooms: 16"
Independent,"Posada Ecologica La Abuela",Nicaragua,"Laguna de Apoyo, del Triángulo del Plan de la Laguna 2 kms. al Noreste., 10000 La Laguna, Nicaragua",0,"Hotel Rooms: 13"
Independent,"Melting Elefante",Nicaragua,"Guasacate - Popoyo Tola, Popoyo, Nicaragua",0,"Hotel Rooms: 6"
Independent,"Soma Surf Resort",Nicaragua,"600 Meters North of Holy Grinds, 48500 Popoyo, Nicaragua",0,"Hotel Rooms: 5"
Independent,"Parque Maritimo El Coco",Nicaragua,"Playa el Coco, 101 San Juan del Sur, Nicaragua",0,"Hotel Rooms: 16"
Independent,"Casa Xanadu",Nicaragua,"Calle El Arsenal, 43000 Granada, Nicaragua",0,"Hotel Rooms: 5"
Independent,"El Belga Loco",Nicaragua,"Costado Sur de Farallon Aquaculture de Nicaragua, 21000 Las Peñitas, Nicaragua",0,"Hotel Rooms: 7"
Independent,"Hotel Popoyo",Nicaragua,"Las Salinas - Tola - Rivas, 10000 Popoyo, Nicaragua",0,"Hotel Rooms: 9"
Independent,"Marina Puesta del Sol",Nicaragua,"km 159 carretera El Viejo-El Congo 10 km al sureste Comarca Aserradores, El Viejo, Chinandega., 10000 Aposentillo, Nicaragua",0,"Hotel Rooms: 19"
Independent,"Hotel Posada Don Pantaleon",Nicaragua,"Colegio Teresiano 1 cuadra al sur, 1/2 cuadra al oeste, 00505 Managua, Nicaragua",0,"Hotel Rooms: 22"
Independent,"Hotel Estrada",Nicaragua,"Calle El Arsenal, 050-088-4 Granada, Nicaragua",0,"Hotel Rooms: 7"
Independent,"Equilibrio Yoga Art Surf Resort",Nicaragua,"Pink Panther Road, 050-088-4 Popoyo, Nicaragua",0,"Hotel Rooms: 6"
Independent,"San Juan de la Isla",Nicaragua,"""El Quino"" 200 meters to north, 2.3 km. to east. Ometepe Island, Nicaragua., 48800 Altagracia, Nicaragua",0,"Hotel Rooms: 19"
Independent,"Hotel La Omaja",Nicaragua,"de la hacienda merida 500 m al sur, 68144 Mérida, Nicaragua",0,"Hotel Rooms: 7"
Independent,"Buena Onda Beach Resort",Nicaragua,"Del Cementerio 100vrs al Norte, 1.5km al Oeste, Playa Santana - Popoyo, 00113 Popoyo, Nicaragua",0,"Hotel Rooms: 8"
Independent,"Aparthotel Gueguense",Nicaragua,"Semaforo Maxi Pali, 1/2 cuadra al oeste, Estelí, Nicaragua",0,"Hotel Rooms: 6"
Independent,"Isleta El Espino",Nicaragua,"Isletas de Granada, Isletas de Granada, Nicaragua",0,"Hotel Rooms: 3"
Independent,"Hacienda Puerta del Cielo Eco Lodge & Spa",Nicaragua,"Camino de los Bueyes, Nimboja Numero 2, N/A Masaya, Nicaragua",0,"Hotel Rooms: 7"
Independent,"Art Hotel Managua",Nicaragua,"2 blocks north of Parque Las Palmas, 10000 Managua, Nicaragua","US$33","Hotel Rooms: 13"
Independent,"Casa Amalia",Nicaragua,"Calle Cusicoma, del mercado media cuadra al lago, Granada, Nicaragua",0,"Hotel Rooms: 5"
Independent,"Casa Bahia Family Adventure & Surf Hotel",Nicaragua," a few miles north of San Juan Del Sur just 150 meters from the ocean’s edge at Playa Marsella, 60111 San Juan del Sur, Nicaragua","US$67","Hotel Rooms: 9"
Independent,"Little Corn Beach and Bungalow",Nicaragua,"Cocal Beach, 82100 Little Corn Island, Nicaragua",0,"Hotel Rooms: 10"
Independent,"Camino Real Managua",Nicaragua,"Km 9.5 Carretera Norte Managua Nicaragua, 11052 Managua, Nicaragua","US$116","Hotel Rooms: 119"
Independent,"Hotel Granada Nicaragua",Nicaragua,"Calle la Calzada, Frente a Iglesia Guadalupe, 00010 Granada, Nicaragua",0,"Hotel Rooms: 46"
Independent,"Hotel La Pérgola",Nicaragua,"Calle el Caimito, desde la Alcaldia Municipal, 3 cuadras al Lago, 43000 Granada, Nicaragua",0,"Hotel Rooms: 26"
Independent,"La Posada Azul",Nicaragua,"Avenida del Parque, 48600 San Juan del Sur, Nicaragua",0,"Hotel Rooms: 7"
Independent,"Yalta's Inn Hotel",Nicaragua,"Playa Guasacate, Tola, Popoyo, Nicaragua","US$76","Hotel Rooms: 10"
Independent,"Hotel Boutique La Cigale",Nicaragua,"Del Parque Central, 4 cuadras al lago, Calle La Calzada, 00505 Granada, Nicaragua",0,"Hotel Rooms: 7"
Independent,"Hotel The Place Inn San Marcos",Nicaragua,"KM 42.5 San Marcos, Masatepe, 10000 San Marcos, Nicaragua","US$29","Hotel Rooms: 16"
Independent,"Guardabarranco",Nicaragua,"Km 38½ Carretera Sur, Diriamba, Nicaragua","US$64","Hotel Rooms: 16"
Independent,"Hotel Mery",Nicaragua,"Costado Norte Casa Pellas 2 cuadras al Oeste, Estelí, Nicaragua","US$35","Hotel Rooms: 9"
Independent,"Hotel Flor",Nicaragua,"Frente al parque, Brig Bay, 82100 Big Corn Island, Nicaragua","US$17","Hotel Rooms: 10"
Independent,"Hotel El Valle",Nicaragua,"Km 102 Carretera Panamericana Norte, 050-088-4 Sébaco, Nicaragua","US$17","Hotel Rooms: 9"
Independent,"Hotel Dario",Nicaragua,"Calle De La Calzada, 43000 Granada, Nicaragua","US$38","Hotel Rooms: 22"
Independent,"Hotel Restaurante Plaza Manchon",Nicaragua,"Km 70 1/2 carretera Nandaime - Rivas., El Manchon, Nicaragua","US$35","Hotel Rooms: 40"
Independent,"HOTEL EN EL CAMPO MANA DEL CIELO",Nicaragua,"Entrada al trentino, San Ramon - Matagalpa, San Ramón, Nicaragua","US$59","Hotel Rooms: 10"
Independent,"Ambassador Hotel",Nicaragua,"Kilómetro 5 Carretera A Masaya, 10000 Managua, Nicaragua","US$59","Hotel Rooms: 38"
Independent,"Hotel Majestic Nicaragua",Nicaragua,"Km 43 Carretera Diriamba, Jinotepe, 46300 Dolores, Nicaragua","US$85","Hotel Rooms: 12"
Independent,"Campo Royale Resort",Nicaragua,"Km 16.7  Carretera Ticuantepe, 47600 Ticuantepe, Nicaragua","US$76","Hotel Rooms: 20"
Independent,"Farallones Hotel",Nicaragua,"Rotonda de los Encuentros 800 Metros Norte , 00505 Chinandega, Nicaragua","US$105","Hotel Rooms: 41"
Independent,"Hotel Nicaraus",Nicaragua,"100 M al norte del Hospital de Moyogalpa, 48700 Moyogalpa, Nicaragua","US$35","Hotel Rooms: 10"
Independent,"Hotel Playa Santa Martha",Nicaragua,"Del colegio San Jose del Sur, 400mts al lago, San José del Sur, Nicaragua","US$25","Hotel Rooms: 7"
Independent,"Hotel El Meson",Nicaragua,"De La Colonia 1c al norte, Estelí, Nicaragua","US$29","Hotel Rooms: 8"
Independent,"Hotel Azul De La Selva",Nicaragua,"Parque Infantil, 2c al oeste, 1/2c al norte, Estelí, Nicaragua","US$18","Hotel Rooms: 8"
Independent,"Hotel y Restaurante El Sueño de la Campana",Nicaragua,"San Ramon, Detras del Instituto Nacional de San Ramon, 050-088-4 San Ramón, Nicaragua","US$35","Hotel Rooms: 12"
Independent,"Hotel Las Cornisas",Nicaragua,"Ferreteria Rufino Gonzales 2 1/2 al Sur, 31000 Estelí, Nicaragua","US$22","Hotel Rooms: 11"
Independent,"Hostal Dilany",Nicaragua,"DEL PUERTO DE MOYOGALPA 1.5 KM AL SUR Y DEL PUERTO DE SAN JOSE 14 KM NORTE, Moyogalpa, Nicaragua","US$20","Hotel Rooms: 3"
Independent,"Sunset Hotel",Nicaragua,"De banpro San Juan del sur 75 vrs, donde fue la policía san juan del sur, 52100 San Juan del Sur, Nicaragua","US$40","Hotel Rooms: 7"
Independent,"Brisas Del Mar Nicaragua",Nicaragua,"Brisas Del Mar Nica, 00011 Jiquilillo, Nicaragua","US$110","Hotel Rooms: 14"
Independent,"Hotel Caribe",Nicaragua,"Barrio San Luis, Calle Principal, 71000 Puerto Cabezas, Nicaragua","US$17","Hotel Rooms: 7"
Independent,"Hotel La Fortaleza",Nicaragua,"reparto san juan de la entrada 400 metros al este 200 metros al norte, 43000 Granada, Nicaragua","US$42","Hotel Rooms: 30"
Independent,"Hotel Apastepe",Nicaragua,"Carretera panamericana León-Chinandega, Km. 125.5, 25000 Chinandega, Nicaragua","US$29","Hotel Rooms: 7"
Independent,"Pajaro Azul",Nicaragua,"Laguna de Apoyo, Del triangulo 1200mts al sur, La Laguna, Nicaragua","US$72","Hotel Rooms: 4"
Independent,"Beach Please Hotel",Nicaragua,"Gasolinera Uno, 1c al oeste, 1c al sur y media al este, frente a la farmacia comunal, 00113 San Juan del Sur, Nicaragua","US$40","Hotel Rooms: 7"
Independent,"Hotel San Jose, Matagalpa.",Nicaragua,"Detras de Iglesia San Jose, Matagalpa Matagalpa, Nicaragua, Matagalpa, Nicaragua","US$60","Hotel Rooms: 16"
Independent,"Hotel Alameda",Nicaragua,"K 148 Carretera Panamericana, Estelí, Nicaragua","US$49","Hotel Rooms: 20"
Independent,"Hotel Boutique Hacienda San Pedro",Nicaragua,"Parque Central 350 mts al norte, 355-533-3 San Marcos, Nicaragua","US$70","Hotel Rooms: 18"
Independent,"HOTEL MANA DEL CIELO",Nicaragua,"Calle de los bancos, BANPRO 2 1/2 cuadra al sur., 61000 Matagalpa, Nicaragua","US$25","Hotel Rooms: 35"
Independent,"Hotel Sweet Dreams",Nicaragua,"Contiguo al muelle municipal, 82100 Big Corn Island, Nicaragua","US$17","Hotel Rooms: 17"
Independent,"Hotel and Spa Huaca Yaran",Nicaragua,"Del INSS 2 cuadras al este, Somoto, Nicaragua","US$105","Hotel Rooms: 7"
Independent,"Hotel Villa Hermosa",Nicaragua,"Tercera entrada a Matagalpa 1 c. al este y 1/2 c. al sur, frente a Clinica Profamilia, Matagalpa, Nicaragua, 61000 Matagalpa, Nicaragua","US$21","Hotel Rooms: 5"
Independent,"Eco posada Tortuga Verde",Nicaragua,"km 40 1/2 carretera sur, 46300 Diriamba, Nicaragua","US$37","Hotel Rooms: 5"
Independent,"Hotel Casa del Lago",Nicaragua,"De la iglesia Guadalupe 1 cuadra y media al lago frente al multiestadio, Granada-Nicaragua, 43000 Granada, Nicaragua","US$20","Hotel Rooms: 5"
Independent,"Hotelito Dulce Mareas",Nicaragua,"Frente La Bocana, Las Peñitas, Nicaragua","US$45","Hotel Rooms: 6"
Independent,"Hostal Hamacas",Nicaragua,"Escuela 50 mts Sur, 050-088-4 El Astillero, Nicaragua","US$35","Hotel Rooms: 8"
Independent,"Hotel Palacio Real",Nicaragua,"a 5 minutos en carro del centro historico de la ciudad, enfrente de la entrada del reparto San Juan, 00011 Granada, Nicaragua","US$58","Hotel Rooms: 12"
Independent,"Grand Hotel",Nicaragua,"De la entrada principal de Posada del Sol 700 metros al oeste y 50 metros al sur, 21000 León, Nicaragua","US$25","Hotel Rooms: 10"
Independent,"Redwood Beach Resort",Nicaragua,"100 Beach Way , 50000 Mechapa, Nicaragua","US$122","Hotel Rooms: 6"
Independent,"Hotel Atlantic City",Nicaragua,"Paseo del Rey 1, San Juan del Sur, Nicaragua","US$82","Hotel Rooms: 5"
Independent,"Hotel Fontana",Nicaragua,"Villa Fontana, Del Club Terraza 150 Metros al Oeste, Managua, Nicaragua","US$60","Hotel Rooms: 5"
Independent,"Hotel Lara's Planet",Nicaragua,"Del Muello 200 mt. al Norte 50 mt. al Sur, El castillo, Rio San Juan, El Castillo de La Concepción, Nicaragua","US$88","Hotel Rooms: 5"
Independent,"Hotel Museo El Ceibo",Nicaragua,"Km 8.2 Moyogalpa, 10000 San José del Sur, Nicaragua","US$69","Hotel Rooms: 8"
Independent,"Hotel Mirador",Nicaragua,"De la terminal de buses 100m al norte sobre la carretera, 63012 Ocotal, Nicaragua","US$28","Hotel Rooms: 25"
Independent,"Fisher's Cave",Nicaragua,"Brig Bay, next to the Municipal Pier, 82100 Big Corn Island, Nicaragua","US$42","Hotel Rooms: 14"
"Hotel Chain:
Barceló Hotels & Resorts","Barceló Montelimar Beach",Nicaragua,"Playa Montelimar, 01262 Montelimar, Nicaragua","US$234","Hotel Rooms: 293,"
Independent,"Hotel Plaza Cosiguina",Nicaragua,"Esquina de los Bancos 50 MTS al sur - Chinandega., 54321 Chinandega, Nicaragua","US$62","Hotel Rooms: 13"
Independent,"Pacaya Lodge and Spa",Nicaragua,"Comarca Pacaya, 10000 La Laguna, Nicaragua","US$187","Hotel Rooms: 26"
Independent,"Mukul Beach, Golf & Spa",Nicaragua,"Guacalito de la Isla, 00111 El Gigante, Nicaragua","US$643","Hotel Rooms: 37"
Independent,"Hostal Brisas y Olas",Nicaragua,"Parque 1 1/2 al Oeste , 050-088-4 San Juan del Sur, Nicaragua","US$28","Hotel Rooms: 8"
Independent,"Punta Teonoste",Nicaragua,"6km from Salinas Bridge to Tola Rivas, 00884 El Gigante, Nicaragua","US$98","Hotel Rooms: 16"
Independent,"Zopango Island",Nicaragua,"Bahía de Asese, 43000 Isletas de Granada, Nicaragua","US$174","Hotel Rooms: 3"
Independent,"Hotel Mi Bohio",Nicaragua,"Costado este Policía Nacional, Diarimba, 000-000-0 Diriamba, Nicaragua","US$62","Hotel Rooms: 14"
Independent,"Mango Rosa Resort",Nicaragua,"Playa Marsella, 50884 San Juan del Sur, Nicaragua","US$125","Hotel Rooms: 12"
Independent,"Simple Beach Lodge",Nicaragua,"Next to Playa Roca Hotel, 10000 Las Peñitas, Nicaragua","US$33","Hotel Rooms: 3"
Independent,"Macheles Place Hotel",Nicaragua,"Playa Gigante Municipio Tola Departamento de Rivas, 70403 El Gigante, Nicaragua","US$94","Hotel Rooms: 14"
Independent,"Hotel El Sueño de Meme",Nicaragua,"De donde fue la Mercantil, 3 cuadras abajo, 75 varas al norte, 10000 León, Nicaragua","US$64","Hotel Rooms: 12"
Independent,"American Cafe & Hotel",Nicaragua,"Ferry station 1/2 block East (up), Moyogalpa, Nicaragua","US$39","Hotel Rooms: 4"
Independent,"La Jolla de Guasacate",Nicaragua,"2KM west of Bridge, Las Salinas, Tola, Rivas, 48500 Popoyo, Nicaragua","US$150","Hotel Rooms: 11"
Independent,"Casa Hotel Santa Elena",Nicaragua,"Contiguo a Oficinas de INiser, O del Colegio de las Monjas 75 vrs al Norte, Estelí, Nicaragua","US$27","Hotel Rooms: 11"
Independent,"Guesthouse El Nancite",Nicaragua,"de la Iglesia El Calvario, una cuadra y media al norte, León, Nicaragua","US$55","Hotel Rooms: 4"
