rooms,area,name,country,price,chain
"Hotel Rooms: 27","Carretera Punta Quepos, 66601 Manuel Antonio, Costa Rica","Shana Hotel & Spa",Costa Rica,,Independent
"Hotel Rooms: 406,","Playa Conchal 1Km antes de Playa Brasilito, 50308 Playa Conchal, Costa Rica","The Westin Golf Resort and Spa, Playa Conchal",Costa Rica,,"Hotel Chain:
Westin"
"Hotel Rooms: 33","Jaco, 200 metres south of TOTAL petrol station, 60114 Jacó, Costa Rica","Hotel Club del Mar",Costa Rica,,Independent
"Hotel Rooms: 198,","1.5 km al sur de Playa Tamarindo, 00011 Tamarindo, Costa Rica","Barceló Langosta Beach",Costa Rica,,"Hotel Chain:
Barceló Hotels & Resorts"
"Hotel Rooms: 92,","San Jose ,Alajuela, 40701 San José, Costa Rica","Country Inn & Suites San Jose Aeropuerto",Costa Rica,,"Hotel Chain:
Country Inns & Suites"
"Hotel Rooms: 23","Puerto Viejo, 70403 Puerto Viejo, Costa Rica","Le Cameleon Boutique Hotel",Costa Rica,,Independent
"Hotel Rooms: 114","13 km oeste  del centro  de La Fortuna de San Carlos, Alajuela, Costa Rica., 21007 Fortuna, Costa Rica","Tabacon Grand Spa Thermal Resort",Costa Rica,,Independent
"Hotel Rooms: 48","La Garita Alajuela Frente al Zoo Ave, 20102  Alajuela, Costa Rica","Club Martino Costa Rica",Costa Rica,,Independent
"Hotel Rooms: 254,","Residencial El Robledal  , 00011 San José, Costa Rica","Barceló San José Palacio",Costa Rica,,"Hotel Chain:
Barceló Hotels & Resorts"
"Hotel Rooms: 30","800 metres towards Carbon 2 Street, 70403 Puerto Viejo, Costa Rica","Samasati Retreat and Rainforest Sanctuary",Costa Rica,,Independent
"Hotel Rooms: 44","9 kilómetros oeste y 3.5 kilómetros norte del centro de La Fortuna, 21007 Fortuna, Costa Rica","The Springs Resort & Spa at Arenal",Costa Rica,,Independent
"Hotel Rooms: 152","800 metros norte del Banco de Costa Rica, 60901  Jacó, Costa Rica","Hotel Croc’s Casino Resort",Costa Rica,,Independent
"Hotel Rooms: 21","700 Meters North of the School, Along the beach, 60111  Montezuma, Costa Rica","Ylang Ylang Beach Resort",Costa Rica,,Independent
"Hotel Rooms: 119","Punta Quepos, Manuel Antonio, 21000 Manuel Antonio, Costa Rica","Parador Resort and Spa",Costa Rica,,Independent
"Hotel Rooms: 10","2 KM Oeste  Catolica de Iglesia San Pablo De Turrubares, San Pablo, Costa Rica , 10111 Alto Poró, Costa Rica","Amatierra Retreat and Wellness Center",Costa Rica,,Independent
"Hotel Rooms: 297,,","Autopista General Cañas Km3, 06548 San José, Costa Rica","Best Western Irazu",Costa Rica,,"Hotel Chain:
Best Western"
"Hotel Rooms: 229,","Sobre la Autopista General Cañas, frente al Mall Real Cariari, Asuncion, PO Box 7-1000 S San José, Costa Rica","Wyndham San Jose Herradura",Costa Rica,,"Hotel Chain:
Wyndham Hotels & Resorts"
"Hotel Rooms: 13","Playa Rincón de San Josecito, Drake, Costa Rica","Guaria de Osa Ecolodge",Costa Rica,,Independent
"Hotel Rooms: 40","Playa Ocotal, 50309 Ocotal, Costa Rica","Bahia Pez Vela Resort",Costa Rica,,Independent
"Hotel Rooms: 10","Canafistula, Entre Santa Cruz y Tamarindo, 50309 Tamarindo, Costa Rica","El Sabanero Eco Lodge",Costa Rica,,Independent
"Hotel Rooms: 8","Drake Bay, Osa Peninsula, 01001 Drake, Costa Rica","Copa De Arbol Beach & Rainforest Resort",Costa Rica,,Independent
"Hotel Rooms: 16","Playa Grande, 70403 Cahuita, Costa Rica","The Goddess Garden Eco-Resort",Costa Rica,,Independent
"Hotel Rooms: 50","Playa Herradura, 61102 Herradura, Costa Rica","HRG Condos at Los Sueños",Costa Rica,,Independent
"Hotel Rooms: 58","4 km sobre la ruta a Manuel Antonio National Park, 10305 Manuel Antonio, Costa Rica","Si Como No Resort, Spa & Wildlife Refuge",Costa Rica,,Independent
"Hotel Rooms: 5","200 Meters South of the Jinetes de Osa Hotel in Drake Bay, 60111 Drake, Costa Rica","Drake Bay Getaway Resort",Costa Rica,,Independent
"Hotel Rooms: 1","Veranda Community 4C Los Suenos Resort, Herradura, Costa Rica","Los Sueños Resort and Marina Veranda 4C",Costa Rica,,Independent
