area,street,rooms,chain,country,name,price
Kuta,117 Jalan Raya Legian,,,Indonesia,The ONE Legian,30USD
Nusa Dua,Kawasan Wisata BTDC Lot 1,,,Indonesia,Melia Bali Indonesia,106USD
Seminyak,Jl. Raya Seminyak 500,,,Indonesia,The Haven Hotel Bali,59USD
Legian,Jl. Padma No. 1,,,Indonesia,Padma Resort Bali at Legian,167USD
Jimbaran,Jl. Karang Mas Sejahtera,,,Indonesia,AYANA Resort and Spa,263USD
Nusa Dua,Kawasan Pariwisata ,,,Indonesia,Nusa Dua Beach Hotel & Spa,126USD
Kuta,Jl. Kartika Plaza,,,Indonesia,Kuta Paradiso Hotel Bali,61USD
Kuta,Jalan Kartika Plaza No. 45X,,,Indonesia,Favehotel Kuta Kartika Plaza,26USD
Kuta,Jalan Legian Raya 91,,,Indonesia,The Akmani Legian Hotel,40USD
Kuta,Jalan Kartika Plaza,,,Indonesia,Discovery Kartika Plaza Hotel,134USD
Kuta,Jl. Legian No. 73,,,Indonesia,Harper Kuta Hotel,36USD
Kuta,"Jalan Pantai, Banjar Pande Mas",,,Indonesia,Hard Rock Hotel Bali,139USD
Tanjung Benoa,Jalan Pratama 74,,,Indonesia,Grand Mirage Resort & Thalasso Bali,101USD
Kuta,Jl. Pantai,,,Indonesia,Grand Istana Rama Hotel Bali,32USD
Kuta,Jalan Pantai Kuta 1,,,Indonesia,Grand Inna Kuta,70USD
Nusa Dua,Jalan Pantai Mengiat,,,Indonesia,Ayodya Resort Bali,137USD
Kuta,Jalan Bakung Sari ,,,Indonesia,Ramayana Resort & Spa,57USD
Nusa Dua,Kawasan Pariwisata Lot SW1,,,Indonesia,Courtyard by Marriott Bali Nusa Dua,101USD
Legian,Jalan Melasti No. 1,,,Indonesia,Pullman Bali Legian Nirwana,89USD
Seminyak,Jalan Kayu Aya 55,,,Indonesia,Amadea Resort & Villas,109USD
Seminyak,Jl Sunset Road 89,,,Indonesia,Favehotel Sunset Seminyak,21USD
Seminyak,Double Six Beach No.66,,,Indonesia,Double - Six Luxury Hotel Seminyak,234USD
Seminyak,Jl Petitenget,,,Indonesia,Montigo Resorts Seminyak,200USD
Tanjung Benoa,Jalan Pratama 168,,,Indonesia,Conrad Bali,122USD
Tanjung Benoa,"Pratama street no.95,",,,Indonesia,Mantra Sakala Resort & Beach Club,73USD
