area,name,street,price,chain,rooms,country
Jimbaran,The Sintesa Jimbaran Bali,Jalan Kencana No 1,113USD,,,Indonesia
Kubupenlokan,Hotel Segara & Restoran,"Kedisan, Kintamani, Bangli, Kintamani",15USD,,,Indonesia
Amed,Beten Waru,Jalan Pantai Bunutan,19USD,,,Indonesia
Lovina,Cleopatra Beach Bungalows,Jl. Seririt Singaraja,45USD,,,Indonesia
Kayuputih,Puri Mangga Sea View Resort & Spa Bali,"Jalan Damai, Kayuputih Lovina",53USD,,,Indonesia
Ubud,Ubud Village Hotel,Jalan Monkey Forest,85USD,,,Indonesia
Tabanan,WakaGangga,Jalan Pantai Yeh Gangga Desa Sudimara Tabanan,140USD,,,Indonesia
Sanur,Bumas Hotel,Jalan Bumi Ayu 4 ,48USD,,,Indonesia
Jimbaran,Balangan Paradise Hostel and Restaurant,Jl. Pantai Balangan,20USD,,,Indonesia
Bondalem,Villa Boreh,"Jalan Singaraja - Amlapura, Desa Sembiran",34USD,,,Indonesia
Legian,Palloma Hotel Kuta,Jl. Dewi Sri I No.8 Legian,18USD,,,Indonesia
Legian,Ju'Blu Hotel,Jl. Dewi Sri I No.8 Legian,50USD,,,Indonesia
Legian,Langon Bali Resort & Spa Bali,Jl. Dewi Sri I No.8 Legian,42USD,,,Indonesia
Legian,Alila Seminyak,Jl. Dewi Sri I No.8 Legian,239USD,,,Indonesia
Legian,Catur Adi Putra by Shailendra,Jl. Dewi Sri I No.8 Legian,10USD,,,Indonesia
Legian,Sanur Agung Hotel,Jl. Dewi Sri I No.8 Legian,21USD,,,Indonesia
Legian,Eazy Suite Legian Bali,Jl. Dewi Sri I No.8 Legian,22USD,,,Indonesia
Legian,Hotel Ratna,Jl. Dewi Sri I No.8 Legian,17USD,,,Indonesia
Legian,Amed Beach Resort,Jl. Dewi Sri I No.8 Legian,44USD,,,Indonesia
Legian,Holiday Inn Express Bali Raya Kuta,Jl. Dewi Sri I No.8 Legian,29USD,,,Indonesia
Legian,Paragon Ayola Suites & Resorts,Jl. Dewi Sri I No.8 Legian,27USD,,,Indonesia
Legian,Kemuning Kuta Hotel,Jl. Dewi Sri I No.8 Legian,16USD,,,Indonesia
Legian,Mandapa A Ritz-carlton Reserve,Jl. Dewi Sri I No.8 Legian,423USD,,,Indonesia
Legian,Puri Hasu Bali,Jl. Dewi Sri I No.8 Legian,22USD,,,Indonesia
Legian,Scape Condotel Anellora Resort Bali,Jl. Dewi Sri I No.8 Legian,44USD,,,Indonesia
Legian,The Sintesa Jimbaran Bali,Jl. Dewi Sri I No.8 Legian,113USD,,,Indonesia
Legian,Hotel Segara & Restoran,Jl. Dewi Sri I No.8 Legian,15USD,,,Indonesia
Legian,Beten Waru,Jl. Dewi Sri I No.8 Legian,19USD,,,Indonesia
Legian,Cleopatra Beach Bungalows,Jl. Dewi Sri I No.8 Legian,45USD,,,Indonesia
Legian,Puri Mangga Sea View Resort & Spa Bali,Jl. Dewi Sri I No.8 Legian,53USD,,,Indonesia
Legian,Ubud Village Hotel,Jl. Dewi Sri I No.8 Legian,85USD,,,Indonesia
Legian,WakaGangga,Jl. Dewi Sri I No.8 Legian,140USD,,,Indonesia
Legian,Bumas Hotel,Jl. Dewi Sri I No.8 Legian,48USD,,,Indonesia
Legian,Balangan Paradise Hostel and Restaurant,Jl. Dewi Sri I No.8 Legian,20USD,,,Indonesia
Legian,Villa Boreh,Jl. Dewi Sri I No.8 Legian,34USD,,,Indonesia
Legian,Ju'Blu Hotel,Jl. Dewi Sri I No.8 Legian,50USD,,,Indonesia
Legian,Langon Bali Resort & Spa Bali,Jl. Dewi Sri I No.8 Legian,42USD,,,Indonesia
Legian,Alila Seminyak,Jl. Dewi Sri I No.8 Legian,239USD,,,Indonesia
Denpasar,Catur Adi Putra by Shailendra,Jalan Bukit Tungggal No 35,10USD,,,Indonesia
Sanur,Sanur Agung Hotel,Jl. By Pass Ngurah Rai No. 147 Sanur,21USD,,,Indonesia
Legian,Eazy Suite Legian Bali,Jalan. Dewi Sri I,22USD,,,Indonesia
Kuta,Hotel Ratna,Jalan Raya Kuta 100X,17USD,,,Indonesia
Amed,Amed Beach Resort,Amed Beach,44USD,,,Indonesia
Kuta,Holiday Inn Express Bali Raya Kuta,"Jalan Raya Kuta 39, Badung",29USD,,,Indonesia
Seminyak,Paragon Ayola Suites & Resorts,Jalan Batu Belig No. 555,27USD,,,Indonesia
Kuta,Kemuning Kuta Hotel,Jalan Benesari Gang Adhi Dharma No 168,16USD,,,Indonesia
Ubud,Mandapa A Ritz-carlton Reserve,Jalan Kedewatan,423USD,,,Indonesia
Ungasan,Puri Hasu Bali,Jl Raya Goa Gong,22USD,,,Indonesia
Sanur,Scape Condotel Anellora Resort Bali,Jalan Danau Tamblingan Street No 80 ,44USD,,,Indonesia
Nusa Dua,Amaris Hotel Pratama Nusa Dua,"Jl. Pratama Link. Celuk, Kel. Benoa,",23USD,,,Indonesia
Legian,Duo Legian Hotel,Jl. Batu Pageh Gg. Melani,14USD,,,Indonesia
Nusa Lembongan,D'Camel Hotel Lembongan,Jalan jungutbatu,16USD,,,Indonesia
Ungasan,Ungasan Clifftop Resort,"Jalan Pantai Selatan Gau, Banjar Wijaya Kusuma","4,540USD",,,Indonesia
Kuta,Gemini Star Hotel,Jl. Poppies II Gang Ronta,13USD,,,Indonesia
Ubud,Taman Bebek Resort & Spa,Jl. Raya Sayan,48USD,,,Indonesia
Ubud,The Puspa Ubud Hotel,Jalan Raya Pengosekan,26USD,,,Indonesia
Legian,Serela Legian Bali,Jalan Lebak Bene No 168,29USD,,,Indonesia
Legian,MaxOneHotels com @Legian,Jalan Werkudara Legian Bali - Indonesia,18USD,,,Indonesia
Seminyak,Batu Belig Hotel Bali,Jalan Raya Batu Belig 88A,38USD,,,Indonesia
Denpasar,Inna Hotel Bali,Jalan Veteran No 3 Denpasar PO Box 3003,25USD,,,Indonesia
Ungasan,Golden Tulip Bay View Hotel & Convention Bali,"Jl. Raya Uluwatu, Br. Giri Dharma, Ungasan",43USD,,,Indonesia
Sanur,Vila Shanti Beach Hotel,Jalan Danau Tamblingan 47 ,100USD,,,Indonesia
Kuta,Sapta Petala,Jl. Kubu Anyar No.27,13USD,,,Indonesia
Lovina,Puri Saron Baruna Beach Hotel Bali,Desa Pemaron Lovina Beach Singaraja,46USD,,,Indonesia
Ubud,Panorama Hotel Bali,Jalan Raya Pengosekan ,31USD,,,Indonesia
Canggu,Kalapa Boutique Resort and Spa,Jalan Raya Uma Buluh 14F,93USD,,,Indonesia
Kuta,Grandmas Hotels Kuta,Jl. Raya Kuta No.88D,19USD,,,Indonesia
Seminyak,The Harmony Seminyak,Jalan Drupadi No. 234,19USD,,,Indonesia
Ubud,The Evitel Resort Ubud,Monkey Forest Street,41USD,,,Indonesia
Tuban,ViHan Suites Bali,Jl. Karang Tenget no.15,28USD,,,Indonesia
Candi Dasa,Lotus Bungalows,"Jalan Raya Candidasa, Karangasem",73USD,,,Indonesia
Lovina,Rattan Resto,Jl Raya Seririt - Singaraja,36USD,,,Indonesia
Nusa Penida,Namaste Bungalows,Jalan Raya Sakti,38USD,,,Indonesia
Bondalem,Poinciana Resort,Jl. Amlapura Tejakula Tembok,61USD,,,Indonesia
Kuta,Restu Bali Hotel,Jalan Raya Legian No 113 ,21USD,,,Indonesia
Denpasar,Golden Tulip Essential Denpasar,Jl. Gatot Subroto Barat No. 101,24USD,,,Indonesia
Denpasar,Link Costel,"Jl. Pulau Sayang 9B, Teuku Umar",19USD,,,Indonesia
Antasari,Gajah Mina Beach Resort Bali,Suraberata Lalanglinggah Selemadeg Tabanan,138USD,,,Indonesia
Jimbaran,Brothers Bungalows Balangan,Jalan Balangan Beach,49USD,,,Indonesia
Legian,Cipaganti Legian Hotel,Jalan Bunut Sari No.8,142USD,,,Indonesia
Ubud,Puri Padi Resort,"Jalan Hanoman, Padang Tegal",38USD,,,Indonesia
Candi Dasa,Arco Iris Resort,Jalan Pantai Indah,59USD,,,Indonesia
Tulamben,Bluehill Resort,"Jln. Raya Tulamben - Kubu, Karangasem",23USD,,,Indonesia
Kuta,Horison Sunset Road-Bali Hotel,Jalan Horison Sunset Road No. 150,25USD,,,Indonesia
Kuta,Losari Sunset Hotel," Jl. Sunset Road, Pertokoan Sunset Paradise ",24USD,,,Indonesia
Tulamben,Ocean Sun Dive Resort,"Jalan Raya Kubu Amlapura, Desa Tulamben",41USD,,,Indonesia
Seminyak,The Trans Resort Bali,Jalan Kerobokan,109USD,,,Indonesia
Tabanan,Dewi Sinta Hotel Bali,Taman Wisata Tanah Lot,24USD,,,Indonesia
Seminyak,MaxOneHotels com at Seminyak,Jl Cendrawasih Petitenget ,26USD,,,Indonesia
Kuta,Puri Dibia Hotel,Raya Kuta Street No. 20X,15USD,,,Indonesia
Amed,Anda Amed Resort Bali,PO BOX 134 Bunutan Abang Amlapura Karangasem,67USD,,,Indonesia
Seminyak,Tijili Seminyak,Jalan Drupadi No 9,39USD,,,Indonesia
Candi Dasa,Ashyana Candidasa,Jl. Raya Candidasa Beach,95USD,,,Indonesia
Banyuwedang,Santi Sari Boutique Hotel,"Goris, Desa Pejarakan",174USD,,,Indonesia
Kuta,Dayu Beach Hotel Bali,Jl. Kartika Plaza Gg. Puspa Ayu,24USD,,,Indonesia
Kuta,Kedin's Inn,Jl Poppies I,16USD,,,Indonesia
Legian,Grandmas Plus Hotel Legian,Jl. Sriwijaya 368,25USD,,,Indonesia
Ubud,Munari Resort & Spa,"Jalan Raya Sanggingan, Br. Lungsiakan, Kedewatan, Gianyar",49USD,,,Indonesia
Nusa Dua,Amanusa,PO Box 33,636USD,,,Indonesia
Pemuteran,Dimpil Homestay,Jalan Arjuna Pemuteran Gerokgak Buleleng,19USD,,,Indonesia
Ubud,Bali Bohemia Huts,Jl Nyuh Bojog,47USD,,,Indonesia
Nusa Lembongan,The Palm Grove,Mushroom Bay,76USD,,,Indonesia
Lovina,Angsoka Hotel,"Bina Ria Beach, Jalan Kalibukbuk, Lovina",20USD,,,Indonesia
Seminyak,Bugan Villa Bali,Jl. Batu Belig N.133 Seminyak,92USD,,,Indonesia
Denpasar,Harris Hotel and Conventions Denpasar Bali,Jalan H.O.S. Cokroaminoto 23 - 25,25USD,,,Indonesia
Legian,Devata Suite & Residence,"Jl. Dewi Sri IV, Gg Cendana No. 67, Seminyak, Kuta",34USD,,,Indonesia
Kerobokan,The Santai,"Jalan Bumbak No. 88A, Banjar Kelod Anyar",383USD,,,Indonesia
Amed,Casa De Amed,Jalan Raya Bunutan,61USD,,,Indonesia
Sanur,ARTOTEL Sanur Bali,Jl Kusuma Sari No 1 Sanur,72USD,,,Indonesia
Denpasar,Quest San Denpasar,Jalan Mahendradata No 93,29USD,,,Indonesia
Saba Bai,The Royal Purnama - Art Suites and Villas,Jalan Pantai Purnama,267USD,,,Indonesia
Sanur,Abian Harmony Hotel & Spa,jl. danau tamblingan no.192,34USD,,,Indonesia
Denpasar,Mars City Hotel,Jl. Kertha Dalem,19USD,,,Indonesia
Kuta,Surya Beach Inn Kuta,Jalan legian - Kuta,41USD,,,Indonesia
Denpasar,The Graha Cakra Bali Hotel,Jalan By Pass Ngurah Rai 28,25USD,,,Indonesia
Legian,Wida Hotel,Jl. Melasti 36,14USD,,,Indonesia
Denpasar,POP Hotel Denpasar Bali,Jalan H.O.S Cokroaminoto 23 - 25,15USD,,,Indonesia
Denpasar,Favehotel Tohpati,Jl. WR Supratman No. 288,29USD,,,Indonesia
Denpasar,Mahatma Residence,Jl Raya Puputan II B No 1 Nitimandala,17USD,,,Indonesia
Denpasar,Neo Hotel Denpasar,Jalan Gatot Subroto Denpasar,27USD,,,Indonesia
Denpasar,DeKrisna Denpasar,Jalan Pulau Misol Gg XIV No 1,12USD,,,Indonesia
Nusa Ceningan,The Dafish Accommodation Bar & Cafe,Ceningan Kawan - Ceningan Island,38USD,,,Indonesia
Denpasar,Hotel Puri Ayu,Jalan Jendral Sudirman No 14A ,38USD,,,Indonesia
Tulamben,Tulamben Backpacker,Jalan Raya Tulamben,38USD,,,Indonesia
