street,name,country,chain,area,price,rooms
Jalan By Pass Ngurah Rai No.41,Patrisia Hotel,Indonesia,,Sanur,20USD,
Jl Arjuna,Hotel Sari Bunga,Indonesia,,Legian,44USD,
Jl Pantai Balangan,Balangan Cottage,Indonesia,,Jimbaran,16USD,
Jl Umalas Tunon Gang 5,The Apartment Umalas,Indonesia,,Kerobokan,55USD,
Jl. Patih Jelantik No. 1-4,Grand Santhi Hotel Bali,Indonesia,,Denpasar,27USD,
"Jalan. Desa Munduk, Bedugul",Puri Sunny Hotel,Indonesia,,Munduk,26USD,
Jl Raya Uluwatu,Lexington Klapa Resort,Indonesia,,Pecatu,109USD,
Jalan Kartika Plaza Gang Pudak Sari No. 1,Taman Sari Cottage II,Indonesia,,Kuta,17USD,
"Jl. Bandara Baru No 1 Tuban, Bali",Te Quiero Bali Hotel,Indonesia,,Kuta,9USD,
Jl. Legian Br. Pengabetan,Bendesa Accommodation,Indonesia,,Kuta,26USD,
"Jl. Tirta Tawar, Ubud",Ubud Atrium Ubud,Indonesia,,Ubud,45USD,
Jl Dewi Saraswati III No 8,The Bali Bill Villa,Indonesia,,Seminyak,73USD,
Jl. Padma Utara,Sinar Bali,Indonesia,,Legian,31USD,
Jl Nyuh Bojog Br Nyuh Kuning,Umaya Ubud Villa,Indonesia,,Ubud,69USD,
Jalan Gunung Soputan No. 1A,Ganga Hotel & Apartment,Indonesia,,Denpasar,26USD,
Jalan Hang Tuah Street 35-37,Agung & Sue Watering Hole I,Indonesia,,Sanur,26USD,
"Jl. Patih Jelantik No.8, Denpasar",Santosa City Hotel,Indonesia,,Denpasar,26USD,
"Jalan Raya New Kuta, Pecatu Indah Resort",Lorin New Kuta Hotel,Indonesia,,Pecatu,31USD,
"Tulamben, Northeast Bali - Denpasar",Mimpi Resort Tulamben Bali,Indonesia,,Tulamben,61USD,
"Dusun Merajan, Seraya Barat",Kebun Impian,Indonesia,,Seraya Barat,36USD,
Jl Danau Poso no. 23,Bali Senia Hotel,Indonesia,,Sanur,17USD,
