country,rooms,area,street,price,chain,name
Indonesia,,Canggu,Jalan Padang Lenjong - Gang Echo Beach,0,,Echo Beach Villas
Indonesia,,Candi Dasa,Candidasa Karangasem,0,,Samudra Bali Resort
Indonesia,,Seminyak,Jalan Sunset Road No 105,0,,Bella Villa Bali
Indonesia,,Kuta,Jl. Dewi Sartika Gg Nusa Indah no 3A Tuban,0,,Easton Hotel
Indonesia,,Seminyak,"Jl. Baik-Baik, Gang Pudak, Nomor 19",0,,Villa Belharra
Indonesia,,Lovina,Jl. Kaliasem ,0,,Puri Manggala
Indonesia,,Canggu,Jl. Raya Semat Gg. Giri Sunia No. 1 Desa Tibu Beneng - Canggu,0,,Kintamani House
Indonesia,,Seminyak,Jl Kunti I No 1,0,,Valka Bali
Indonesia,,Kerobokan,"Jl. Kuwum II, Kubu Bali Village",0,,Oasis Villas Umalas
Indonesia,,Ubud, Banjar Sala Bali,0,,Indigo Tree Villas Spa
Indonesia,,Denpasar,"Jl. Danau Tempe, Gang Pengiyasan III/ No. 17 Sanur",0,,Gerya Wimaha Guest House
Indonesia,,Buwit,Jalan Jumbak Bayuh,0,,Villa Gabah Bali
Indonesia,,Canggu,"Jalan Veteran No. 98X, Banjar Gunung, Desa Buduk, Mengwi, Canggu ",0,,Shreya Villa
Indonesia,,Munduk,Jl. Gunung Sari Banyuatis,0,,Bebau Cottage
Indonesia,,Kerobokan,Jalan Lestari,0,,Villa Lestari II
Indonesia,,Denpasar,Jl. Kutat Lestari,0,,Joy Villas Sanur
Indonesia,,Rejasa,"Br. Ngis Kelod 48, Jegu - Tabanan",0,,Bali Homestay Program
Indonesia,,Seminyak,Jalan Petitenget.,0,,Dana Villa Bali
Indonesia,,Seminyak,Jl. Club Villas No. 1,0,,Alexia Villa
Indonesia,,Ungasan,Jalan Karang Kembar No 6,0,,Villa Six Karang Kembar
Indonesia,,Kuta,Jl. Pararaton Raya No 9,0,,Isara House
Indonesia,,Legian,Jalan Bunut Sari Gang Uluwatu II No 5 Kuta,0,,Arena House
Indonesia,,Sanur,Jl Bypass Ngurah Rai no 201,0,,Villa Bintang Baru 2
Indonesia,,Kuta,Jl. Pantai ,0,,Sahid Raya Bali
Indonesia,,Ubud,Kedewatan,0,,Cahaya Dewata Resort and Spa
Indonesia,,Nusa Lembongan,Jungut Batu Village - Lembongan,0,,Made's Homestay
Indonesia,,Ubud,Jl. Tegalantang,0,,Legon Tegalantang Guest House
Indonesia,,Denpasar,Jl. Raya Puputan Renon Niti Mandala no. 200,0,,Hotel Bumi Asih Bali
Indonesia,,Denpasar,Jl. Seruni no 9 ,0,,Pondok Seruni Homestay
Indonesia,,Canggu,"Jl. Tegalsari, Gg. Soka, Br. Tegal Gundul",0,,Villa Zigzag
Indonesia,,Kerobokan,Jalan Kuwum II,0,,Airi Villa
Indonesia,,Seminyak,"Jl. Pangkung Sari, Gg. Villa Catur Kembar, Kerobokan",0,,Villa Damai Kecil
Indonesia,,Payangan,"Br. Tanggayuda, Ds. Kedewatan",0,,Umah Bali Villa
Indonesia,,Legian,Jl Nakula 5 No 228,0,,The Akvilla Seminyak
Indonesia,,Denpasar,"Jl. Ciung Wanara I No. 7 Renon, Denpasar",0,,Shagida Apartment
Indonesia,,Ubud,Monkey Forest Road,0,,Waterfall Room at Rumah Jepun
Indonesia,,Canggu,Jl Subaksari Complex The Santai No 1,0,,Villa Ikobana Bali
Indonesia,,Legian,"Jalan Eka Laweya I / 4, Seminyak",0,,Surya Seminyak Villa
Indonesia,,Legian,Jalan Sunset Road,0,,Fame Hotel Bali
Indonesia,,Denpasar,Jl Raya Sesetan Gang Ikan Pari No 4,0,,Alamanda Town House by Gamma Hospitality
Indonesia,,Ubud,"Banjar Silungan, Lodtunduh",0,,Dian Lestari Villas and Painting
Indonesia,,Ubud,Jl.The Payogan Resort Banjar Bunutan Desa Kedewatan,0,,Kamala Villa Ubud
Indonesia,,Seminyak,Jalan Nakula,0,,ZenRooms Legian Nakula 2
Indonesia,,Ubud,Jl. Jembawan No. 25 Padang Tegal,0,,Jembawan House
Indonesia,,Seminyak,"Jl. Batu Belig No. 5A, Kuta Utara",0,,Belong Batu Villa
Indonesia,,Seminyak,Jalan Kayu Aya,0,,O'beroi Villa
Indonesia,,Kerobokan,Jl. Bumbak No. 140 Gg. Pulau Roti ,0,,Villa Orange Kerobokan
Indonesia,,Seminyak,"Jalan Sari Temuku No 8C , Seminyak",0,,Villa Ocean Arya
Indonesia,,Nusa Lembongan,Jungut Batu - Lembongan,0,,Bunut Bali Homestay
Indonesia,,Ubud,Jalan Bisma,0,,Sanjaya Home Stay
Indonesia,,Canggu,"Raya Kayu Tulang, Perumahan Puri Sambadha",0,,Villa Long Grain
Indonesia,,Ubud,"Jalan Tirta Tawar, Junjungan ",0,,Villa Uma Sari
Indonesia,,Kerobokan,"Jl. Tegal Cupek No.79 Umalas, Bali ",0,,De Mellos Villa
Indonesia,,Kuta,"Jl. Imam Bonjol, Perum. Taman Mutiara, Desa Margaya",0,,Intan Mutiara Seminyak Villa
Indonesia,,Seminyak,Jalan Sarinande,0,,Villa Sarinande
Indonesia,,Kerobokan,"Jalan. Kuwum II, Gang Rajawali, No.2 Lingkungan Kuwum",0,,Kubu d Kuwum Hotel
Indonesia,,Gianyar,"Banjar siyut,desa tulikup. Gianyar",0,,Villa Griya Widiaastuti
Indonesia,,Seminyak,Jalan Oberoi,0,,Uma Abah Hotel
Indonesia,,Kerobokan,Jalan Batu Culung 2C ,0,,Omahqu Villa
Indonesia,,Umeanyar,Desa Umeanyar - Seririt 81153 - Bali - Indsia,0,,Bali Nibana Resort
Indonesia,,Taro,"Bayad,Tegallalang ,Bali",0,,Bali Eco Resort And Retreat Centre
Indonesia,,Kerobokan,"Jalan Raya Kesambi No 14 Kuta Utara ,Bali",0,,Villa Donnys Bali
Indonesia,,Canggu,Jl. Pemelisan Perancak Gg. Anggrek I No.5,0,,Ombak Residence
Indonesia,,Legian,Jl Lebak Bene,0,,ZenRooms Legian Melasti
Indonesia,,Kerobokan,"Puri Citra Pratama Citra Garden No. A-7 Jln. Taman Sari, Teuku Umar Barat",0,,VillaQU Bali
