rooms,chain,street,area,price,country,name
,,Playa Matapalo - Sardinal,Matapalo,324USD,Costa Rica,Hotel Riu Guanacaste Potrero
,,"Plaza Los Mangos,Radial Francisco L Orlich",Alajuela,117USD,Costa Rica,Courtyard San Jose Airport Alajuela
,,13 km West of La Fortuna,La Fortuna,248USD,Costa Rica,Tabacon Grand Spa Thermal Resort
,,Playa ,Tamarindo,144USD,Costa Rica,Tamarindo Diria Beach Resort
,,"Bahia Brasilito, Playa Conchal",Cabo Velas,329USD,Costa Rica,The Westin Resort & Spa Playa Conchal
,,1 Km East Of Juan Santamaria Arpt,Alajuela,119USD,Costa Rica,Holiday Inn Express San Jose Airport
,, 100 Oeste Y 400 Sur De La Cruz Roja,Santa Ana,42USD,Costa Rica,Hotel Luisiana
,,Hwy 1 Airport Boulevard,Alajuela,101USD,Costa Rica,Hampton Inn & Suites by Hilton San Jose Airport
,,"Residencial El Robledal, La Uruca",San Jose,86USD,Costa Rica,Barcelo San Jose Palacio
,,Calle Central y Tercera Avenue 15,San Jose,86USD,Costa Rica,Radisson Hotel San Jose - Costa Rica
,,La Fortuna de San Carlos,La Fortuna,288USD,Costa Rica,Nayara Hotel Spa and Gardens
,,Playa Matapalo-Sardinal Carrillo,Matapalo,387USD,Costa Rica,Riu Palace Costa Rica
,,Ruta #21 Frente al Aeropuerto Internacional,Liberia,119USD,Costa Rica,Hilton Garden Inn Liberia Airport
,,"Playa Buena, P.O.Box 48-5000, Golfo del Papagayo",Playa Panama,222USD,Costa Rica,Grand Papagayo Adults Only Resort
,,5 km west from La Fortuna Central Park,La Fortuna,130USD,Costa Rica,Arenal Springs Resort
,,El Roble,El Roble,170USD,Costa Rica,DoubleTree Resort by Hilton Costa Rica - Puntarenas/All-Inclusive
,,"Carretera Genaral Canas, Frente Del Mall Real Carriari",Belen,84USD,Costa Rica,Wyndham San Jose Herradura
,,Playa Flamingo,Playa Flamingo,127USD,Costa Rica,Flamingo Beach Resort and Spa Guanacaste
,,"Del Centro de la Fortuna 7 km oeste, carreretara al Volcan",La Fortuna,109USD,Costa Rica,Arenal Manoa & Hot Springs
,,"Avenida Central, entre calles 7 y 9",San Jose,88USD,Costa Rica,Balmoral Hotel San Jose
,,La Fortuna de San Carlos,La Fortuna,200USD,Costa Rica,Hotel Royal Corin
,,Km 3 Autopista General Canas,San Jose,89USD,Costa Rica,Best Western Irazu
,,Arenal Volcano National Park,Monterrey,292USD,Costa Rica,The Springs Resort & Spa at Arenal
