chain,name,country,area,rooms,price,street
,Villa Nautilus Tamarindo,Costa Rica,Tamarindo,,142USD,100 Metros Del Instituto Espanol Wayra Calle Este
,Surf Bikini Retreat,Costa Rica,Nosara,,95USD,Del Mar Academy
,Dreamsea Surf Camp Costa Rica,Costa Rica,Tamarindo,,66USD,Finca Los Jobos
,Hotel Mauna Loa,Costa Rica,Tamarindo,,101USD,Calle principal Avellanas
,Hotel Ambassador San Jose,Costa Rica,San Jose,,61USD,"26Th & 28Th St., Paseo Colon"
,Hotel Cacts,Costa Rica,San Jose,,65USD,Calles 28-30 Ave 3 Bis o 300 Norte Pizza Hut Paseo Colon
,Hotel High Dreams,Costa Rica,El Rosario de Naranjo,,200USD,Frente a Escuela Santa Margarita Rosario
,Bosque Verde Lodge,Costa Rica,Monteverde,,77USD,3 Km De Santa Elena
,Naxos Complex,Costa Rica,Playa Langosta,,205USD,Langosta Beach Main street Opp Cala Luna Hotel Langosta Beach
,Vista Arenal,Costa Rica,La Fortuna,,70USD,"10 km del centro de la Fortuna en San Carlos, carretera a la catarata la Fortuna"
,Inn on the Park Hotel,Costa Rica,Manuel Antonio,,93USD,"Manuel Antonio, Quepos "
,Rainforest Adventure Lodge,Costa Rica,Guacimo,,152USD,"Route 32, KM 76 San Jose-Limon"
,KC San Jose Colaye San Jose,Costa Rica,San Jose,,64USD,"100m w., 100m s. from La Contraloria"
,Sky Penthouses at Oceano,Costa Rica,Jaco,,255USD,500 Metros Este De La Pops
,Aroma de Campo,Costa Rica,Liberia,,72USD,Curubande
,Hotel El Maranon,Costa Rica,Colon,,50USD,"Contiguo a la Iglesia de Barrio Trinidad, Ciudad Colon"
,Hotel La Villa Ciudad Quesada,Costa Rica,Ciudad Quesada,,28USD,Entrada a Cedral 300 mts Norte
,Villa Lapas,Costa Rica,Jaco,,99USD,"5 Km.Este Del Pte De Cocodrilos, Sob.R.Tarcoles"
,Costa Rica Yoga Spa,Costa Rica,Nosara,,364USD,300m sur del Rio Nosara
,Pachamama Tropical Garden Lodge,Costa Rica,Malpais,,96USD,Mal Pais 50 meters from Beach Playa Mar Azul
