country,rooms,price,street,name,area,chain
Costa Rica,,114USD,Playa,Bahia del Sol Beach front Boutique Hotel,Potrero,
Costa Rica,,104USD,8 KM west of La Fortuna Central Off Arenal Volcano Road,Montana de Fuego Resort & Spa,La Fortuna,
Costa Rica,,157USD,"Autopista Prospero Fernandez, Calle Marginal N, Plaza Itskatzu",Courtyard San Jose Escazu,Escazu,
Costa Rica,,109USD,Calle Madrigal,Jaco Laguna Resort,Jaco,
Costa Rica,,165USD,2 km from hotel Parador entrance,Issimo Suites Adults Only,Manuel Antonio,
Costa Rica,,116USD,Playa Palo Seco,Clandestino Beach Resort,Parrita,
Costa Rica,,123USD,Carretera A Punta Quepos,SUU Manuel Antonio,Manuel Antonio,
Costa Rica,,233USD,Playa ,Hotel Capitan Suizo,Playa Langosta,
Costa Rica,,82USD,Costado Sur del Parque de la Paz,Casa Conde Hotel & Suites,San Jose,
Costa Rica,,104USD,Main Road Manuel Antonio,Hotel Plaza Yara,Quepos,
Costa Rica,,247USD,Golfo de Papagayo 1,Casa Conde Beach Front Hotel,Playa Panama,
Costa Rica,,97USD,Main St.,Coco Beach Hotel & Casino,Playas del Coco,
Costa Rica,,69USD,San Antonio De Belen,Hotel El Rodeo Country Inn,Alajuela,
Costa Rica,,31USD,500m al Sur de la Terminal de Buses de Piedades de,Hotel Posada Canal Grande,Santa Ana,
Costa Rica,,184USD,De Playa Tambor 4 km hacia Cóbano,Tango Mar Beach Resort,Tambor,
Costa Rica,,191USD,800 metros norte del Banco de Costa Rica,Croc's Casino Resort,Jaco,
Costa Rica,,75USD,75 Meters West to the entrance to the National Park,El Faro Beach Hotel,Manuel Antonio,
Costa Rica,,195USD,700 Metros Oeste De La Firestone,Costa Rica Marriott Hotel San Jose,Belen,
Costa Rica,,167USD,Near Manuel Antonio Natl Park entrance,Hotel San Bada,Manuel Antonio,
Costa Rica,,75USD,Calle Morenos | 100m West 175m South From la Contraloria,KC Hotel San Jose,San Jose,
Costa Rica,,117USD,From Herradura's stop light 2 Km on route 34 south and 1 Km to the left,Hotel Pumilio,Playa Herradura,
Costa Rica,,85USD,Avenida 3 entre calles 9 y 11 Frente al Parque Morazan,Sleep Inn Hotel Paseo Las Damas,San Jose,
Costa Rica,,66USD,2 km S. of Liberia on Int'l Highway,Hotel Las Espuelas Bar & Restaurant,Liberia,
Costa Rica,,303USD,Tambor Paquera Puntarenas,Barcelo Tambor Beach,Tambor,
Costa Rica,,89USD,"Tempo Square, next to the CIMA Hospital, Autopista Prospero Fernandez",Holiday Inn San Jose-Escazu,Escazu,
Costa Rica,,95USD,Jaco center in diagonal to Subway restaurant,Hotel Mar de Luz,Jaco,
Costa Rica,,87USD,Playa ,Pasatiempo Hotel Tamarindo,Tamarindo,
Costa Rica,,585USD,"1225 Plaza Mayor, Po Box 242",Hotel Punta Islita Autograph Collection Punta Islita,Punta Islita,
Costa Rica,,42USD,1 blk south 1 blk east of Central Park,Hotel La Fortuna,La Fortuna,
Costa Rica,,60USD,500 Mts West Of Creek La Palma Of La Fortuna,Kokoro La Selva Resort,La Fortuna,
Costa Rica,,60USD,"50 m. este y 50 m. sur del Colegio de Médicos, Sabana Sur",Rincon del Valle Hotel & Suites,San Jose,
Costa Rica,,195USD,Tamarindo Beach Santa Cruz,Jardin del Eden Boutique Hotel,Tamarindo,
Costa Rica,,55USD,"Alajuela Avenida 2, Del Teatro Municipal 200 metros al Este",Hotel La Guaria Inn & Suites,Alajuela,
Costa Rica,,234USD,1 Km Ne Del Salon El Diamante Tacacori,Xandari Resort & Spa,Alajuela,
Costa Rica,,70USD,2 Kms North from Santa Elena,Monteverde Rustic Lodge,Monteverde,
Costa Rica,,154USD,Cocles,Le Cameleon Hotel,Puerto Viejo de Talamanca,
Costa Rica,,210USD,20 Km From San Ramon San Ramon,Villa Blanca Cloud Forest Hotel and Nature Reserve,San Ramon,
Costa Rica,,76USD,Avenue Central,Best Western Hotel & Casino Kamuk,Quepos,
