name,street,country,chain,area,rooms,price
Hotel Vila Ombak,PO Box 2010,Indonesia,,Lombok,,76USD
Aston Sunset Beach Resort,Gilli Trawangan Island,Indonesia,,Lombok,,70USD
Scallywags Resort Gili Trawangan,South Beach,Indonesia,,Lombok,,67USD
The Beach House Resort,,Indonesia,,Lombok,,34USD
Bale Sampan Bungalows,Jl Raya,Indonesia,,Lombok,,46USD
Pearl of Trawangan,,Indonesia,,Lombok,,82USD
Vila Almarik Resort Lombok,Gili Terawangan Pemenang,Indonesia,,Lombok,,78USD
MAHAMAYA Boutique Resort,Turtle Point,Indonesia,,Lombok,,136USD
The Trawangan Resort,,Indonesia,,Lombok,,59USD
Manta Dive Gili Air Resort,87 Jalan Koperasi,Indonesia,,Lombok,,41USD
Gili Teak Resort,Sunset beach,Indonesia,,Lombok,,75USD
Pesona Resort Gili Trawangan," Main Strip, Gili Islands ",Indonesia,,Lombok,,42USD
Les Villas Ottalia,Gili Trawangan,Indonesia,,Lombok,,49USD
Luce d'Alma Resort & Spa,,Indonesia,,Lombok,,151USD
Oceano Jambuluwuk Resort,Lombok Village,Indonesia,,Lombok,,57USD
Grand Sunset Gili Air,Pantai Barat,Indonesia,,Lombok,,58USD
Gili Amor Boutique Resort,Jl. Raya Gili Trawangan II Road / 1 Pemenang Lombok Utara NTB,Indonesia,,Lombok,,46USD
Good Heart Resort,Gili Trawangan,Indonesia,,Lombok,,61USD
Kokomo Resort,Gili Trawangan,Indonesia,,Lombok,,211USD
Laguna Gili Beach Resort,"Gili Trawangan, Lombok",Indonesia,,Lombok,,78USD
Villa Grasia Resort & Spa Lombok,Gili Trawangan,Indonesia,,Lombok,,88USD
Kaluku Gili Resort,Gili Air,Indonesia,,Lombok,,56USD
Vamana Resort,Gili Trawangan - North Lombok,Indonesia,,Lombok,,76USD
Danima Resort & Restaurant,Jalan Pantai,Indonesia,,Lombok,,72USD
Villa Karang Hotel,Gili Air,Indonesia,,Lombok,,44USD
Gili Divers Hotel,"Gili Trawangan, Lombok",Indonesia,,Lombok,,38USD
Oceans 5 Dive Resort,Oceans 5 Harbour Gili Air Gili Indah,Indonesia,,Lombok,,51USD
Karma Reef,"Dusun Gilimeno,Gili indah Kec. Pemenang, Kab Lombok Utara",Indonesia,,Lombok,,153USD
Gili Ocean Club,Jl.Gili trawangan,Indonesia,,Lombok,,60USD
Rumah Purnama,"Beach Road, West Nusa Tenggara, Indonesia",Indonesia,,Lombok,,27USD
Tropical Hideaways Bungalows Lombok,Gili Meno Island,Indonesia,,Lombok,,43USD
Gili Air Lagoon Resort,Gili Air Island - Lombok,Indonesia,,Lombok,,128USD
Funny Homestay,Gili Trawangan ,Indonesia,,Lombok,,17USD
Bel Air Resort and Spa,"Gili Air, Pemenang",Indonesia,,Lombok,,48USD
Les Villas Ottalia Gili Meno,Gili Meno Gili Meno 83352 Indonesia,Indonesia,,Lombok,,60USD
Coconut Garden Resort,Gili Trawangan,Indonesia,,Lombok,,48USD
Gili Meno Bird Park Resort,Gili Meno ,Indonesia,,Lombok,,22USD
Dua Nina Homestay,Gili Trawangan - Lombok,Indonesia,,Lombok,,11USD
Dejavu Hotel,Dusun Gili Trawangan Desa Gili Indah Kecamatan Pemenang Lombok Utara NTB,Indonesia,,Lombok,,47USD
The Gili Beach Resort,Gili Trawangan,Indonesia,,Lombok,,432USD
Padanta Guest House,Gili Trawangan,Indonesia,,Lombok,,11USD
Gili Beach Bum - Hostel,Jalan Gili Trawangan,Indonesia,,Lombok,,14USD
Natya Hotel Gili Trawangan,Jalan Gili Trawangan,Indonesia,,Lombok,,61USD
Beach Wind Bungalows,Gili Trawangan Desa Gili Indah,Indonesia,,Lombok,,28USD
Puri Sayang Bungalows,Jalan Ikan Puas,Indonesia,,Lombok,,30USD
Mala Garden Resort & Spa,Gili Trawangan,Indonesia,,Lombok,,233USD
Gilinta Villa Hotel,Pamenang ,Indonesia,,Lombok,,37USD
Happy Homestay,Gili Trawangan,Indonesia,,Lombok,,15USD
Villa Rembulan,Jl Penyu,Indonesia,,Lombok,,100USD
Pandawa Conflict - The Heritage Resort,Desa Gili Indah Gili Trawangan,Indonesia,,Lombok,,68USD
Vilkar Homestay,Gili Air Desa Gili Indah Kecamatan Pemenang,Indonesia,,Lombok,,22USD
Pesona Resort Private Villa Mimpi,Gili Trawangan,Indonesia,,Lombok,,108USD
Tropica Gili Trawangan,Jl Trawangan,Indonesia,,Lombok,,46USD
Mahogany Cottage,Main Road Gili Meno 1 km North of Harbour,Indonesia,,Lombok,,76USD
Gerald Homestay,Jln Kepiting,Indonesia,,Lombok,,13USD
Little Elephant,Jalan Ikan Buntal,Indonesia,,Lombok,,22USD
The Beach Club Gili Air,Gili Air South Beach ,Indonesia,,Lombok,,113USD
Gili Hideaway,"Gili Trawangan, West Nusa Tenggara 83233, Indonesia",Indonesia,,Lombok,,0
Omah Gili Accomodation,"Gili Air, Behind Manta Dive and Sunrise",Indonesia,,Lombok,,0
Gili Palm Resort,Pemenang,Indonesia,,Lombok,,0
Gili T Resort,The Jetty Sentral,Indonesia,,Lombok,,0
Casus Dream Hotel,Gili Trawangan,Indonesia,,Lombok,,0
Big Bubble Dive & Bungalows,Gili Trawangan,Indonesia,,Lombok,,0
Gili Air Hotel,The Island of Gili Air,Indonesia,,Lombok,,0
Gili Air Bungalows,"Datu Hill, Gili Indah",Indonesia,,Lombok,,0
Yoga Garden Rooms Resort,Jl. Pantai Gili Trawangan,Indonesia,,Lombok,,0
Icha Cottage,Gili Trawangan,Indonesia,,Lombok,,0
Coral Voice Homestay & Bar,Gili Trawangan,Indonesia,,Lombok,,0
Bintang Beach 2 Hotel,Gili Air ,Indonesia,,Lombok,,0
Gili Smile Homestay,"Gili Trawangan, Lombok",Indonesia,,Lombok,,0
Intan Inn Hostel,Gili trawangan,Indonesia,,Lombok,,0
Chill Out Bungalows,Main Strip Gili Indah,Indonesia,,Lombok,,0
Nusa Indah Bungalows Lombok,Gili Air Island,Indonesia,,Lombok,,0
Harum Meno Bungalow,"Gili Meno, Desa Gili Indah",Indonesia,,Lombok,,0
Villa Bulan Madu,Gili Air ,Indonesia,,Lombok,,0
Leppa Komae Resort,Gili Air,Indonesia,,Lombok,,0
Gili Nyepi Resort,Nightmarketstreet 8,Indonesia,,Lombok,,0
Soundwaves Resort,Gili Trawangan ,Indonesia,,Lombok,,0
