name,country,area,chain,price,street,rooms
Hotel Camino Real,Nicaragua,Managua,,99USD,Km 9.5 Carretera Norte,
BEST WESTERN Las Mercedes,Nicaragua,Managua,,89USD,Km 11 Carretera Norte,
Barcelo Montelimar Beach,Nicaragua,Montelimar,,177USD,PO Box 1262 Playa Montelimar,
Hotel Plaza Colon,Nicaragua,Granada,,82USD,In front of Parque Central,
Barcelo Managua,Nicaragua,Managua,,91USD," Enitel Villa Fontana, 500 mts al Sur",
InterContinental Real Metrocentro Managua,Nicaragua,Managua,,156USD,Frente A Centro Comercial Metrocentro,
Holiday Inn Convention Center,Nicaragua,Managua,,82USD,Autopista Juan Pablo II,
Hilton Princess Managua,Nicaragua,Managua,,101USD,Km 4.5 Carretera a Masaya,
Pelican Eyes Hotel and Resort,Nicaragua,San Juan del Sur,,164USD,"De la Parroquia, 1½ cuadras al este",
Hotel Hex,Nicaragua,Managua,,71USD,Beilo Horizonte frente al centro comercial Multicentro,
Hotel Casa San Francisco,Nicaragua,Granada,,64USD,207 Calle Corral,
Hotel Colonial Granada,Nicaragua,Granada,,105USD,Calle Libertad 25 Metros Oeste Parque Central,
Hotel Don Carmelo Managua,Nicaragua,Managua,,35USD,"Ciudad Jardin, de la Clinica Santa Maria una cuadra al Oeste",
Crowne Plaza Hotel Managua,Nicaragua,Managua,,112USD,Octava Calle Suroeste 101,
Hotel Patio del Malinche,Nicaragua,Granada,,75USD,"Calle El Caimito, de Alcaldia 2 1/2 c. al Lago",
Holiday Inn Express Managua,Nicaragua,Managua,,88USD,"Blvd. Jean Paul Genie, rotonda 800 mts al oeste",
Hotel Dario,Nicaragua,Granada,,119USD,Calle La Calzada,
Hotel & Restaurante La Gran Francia,Nicaragua,Granada,,96USD,Esquina Sureste del Parque Central de Granada.,
Art Hotel Managua,Nicaragua,Managua,,38USD,De la estatua de Montoya 3 cuadras al Oeste 1.5 cuadra al Norte,
Aqua Wellness Resort,Nicaragua,Tola,,224USD,1 Redonda Bay,
Hotel Mozonte Managua,Nicaragua,Managua,,44USD,Entrada A Pricesmart 1.5 C Al Norte Frente,
HC Liri Hotel,Nicaragua,San Juan del Sur,,60USD,Frente a la Playa cruzando el Puente,
Hotel Contempo,Nicaragua,Managua,,111USD,Km 11 Carretera Masaya,
Mango Rosa Nicaragua,Nicaragua,San Juan del Sur,,124USD,Playa Marsella,
Wayak Hotel,Nicaragua,Managua,,70USD,"Villa Fontana, Frente a Club Terraza.",
Hotel Internacional Managua,Nicaragua,Managua,,59USD,"Rotonda Colonia Centro América, 1 c. a Este, 1/2 c. al Norte",
Airport X Managua Hotel,Nicaragua,Managua,,39USD,Frente Iglesia Residencial Montechristi,
Hacienda Puerta del Cielo Ecolodge Masatepe,Nicaragua,Masaya,,264USD,"Camino de los Bueyes, Nimboja # 2",
Hotel Granada Nicaragua,Nicaragua,Granada,,91USD,118 Calzada Street,
Los Patios Hotel,Nicaragua,Granada,,107USD,Calle Corrales 525,
Best Western El Almirante,Nicaragua,Granada,,64USD,Calle Corrales 111 Ferreteria Datisa 1/2 Cuadra al Lago,
Seminole Plaza Hotel,Nicaragua,Managua,,77USD,De Bancentro carretera a Masaya 1c oeste 1c al sur,
Hotel Kekoldi De Granada Nicaragua,Nicaragua,Granada,,62USD,El Consulado 35 Central Park Alhambra,
Hotel Spa Granada,Nicaragua,Granada,,97USD,"Calle Atravesada, Across from Bancentro",
Hotel Victoriano,Nicaragua,San Juan del Sur,,112USD,"Paseo de la Mar, Costado Norte Enitel",
Hotel Aloha Managua,Nicaragua,Managua,,56USD,From Hotel Seminole 3 blocksto the North and 25 mts to,
Hotel La Pergola Granada,Nicaragua,Granada,,58USD,"Calle el Caimito, desde la Alcaldia Municipal, 3 cuadras al Lago",
Jicaro Island Ecolodge,Nicaragua,Granada,,498USD,"Granda Isletas, Granada 100, Nicaragua",
Best Western Las Mercedes Leon,Nicaragua,Leon,,78USD,50 Metros Norte Catedral,
Mukul Luxury Resort and Spa,Nicaragua,Tola,,890USD,Guacalito De La Isla,
Hotel El Almendro Managua,Nicaragua,Managua,,77USD,"De la Rotonda Rubén Darío, Metrocentro 2 cuadras al Oeste y 1/2 cuadra al Sur.  2a Avenida S.O",
Hotel Casa Barcelona,Nicaragua,Granada,,36USD,"Desde Puente Palmira: 1 cuadra al este (lago), 1 cuadra al sur y 25 varas al este",
Hotel La Bocona,Nicaragua,Granada,,60USD,Calle La Libertad 1 Cuadra al Oeste del BAC,
Hotel Real La Merced,Nicaragua,Granada,,56USD,Frente a Iglesia la Merced,
El Jardin,Nicaragua,San Juan del Sur,,52USD,Bahia Nacascolo,
Hotel Casa del Consulado,Nicaragua,Granada,,83USD,"Banpro 30vrs al oeste, Calle El Consulado",
La Islita Boutique Hotel,Nicaragua,Granada,,70USD,"De la Alcaldía 2 Cuadras al Lago, 1 y ½ al Sur (Calle El Cisne)",
Surf Ranch Action Sports Resort,Nicaragua,San Juan del Sur,,78USD,"Empalme de El Valle, 991.5 m al Este",
Hotel il Padrino,Nicaragua,Granada,,51USD,"Del Convento San Francisco 1 y 1/2 cuadras al Norte, frente del Gimnasio Sports",
Marsella Beach Front,Nicaragua,San Juan del Sur,,38USD,Playa Marsella 0001,
Hotel Estrada,Nicaragua,Granada,,93USD,Calle El Arsenal,
Hotel RDG Managua,Nicaragua,Managua,,63USD,"Planes de Altamira 3era Etapa, de Pizza Hut Villa Fontana 1cuadra al oeste 1 cuadra al norte y 1 cuadra al este, al tope de rotonda.",
La Pyramide Managua,Nicaragua,Managua,,48USD,One block south from Hercules Gym at Reparto San Juan,
Hotel Vistamar Pochomil,Nicaragua,Pochomil,,108USD,Km 70 Carretera ,
Parque Maritimo el Coco,Nicaragua,San Juan del Sur,,105USD,Playa El Coco,
Hotel El Club,Nicaragua,Granada,,68USD,Calle de la Libertad / Avenida Barricada,
Hotel Estrella,Nicaragua,Managua,,58USD,"Gasolinera Esso Rubenia 200 mts al Norte, Pista Portezuelo",
Mansion Teodolinda,Nicaragua,Managua,,77USD,3a Avenida y 10ma Calle Sur Oeste Reparto Bolonia,
Hotel Europeo,Nicaragua,Managua,,58USD,"Del Canal 2, 75 vrs abajo Residencial Bolonia ",
Hotel Alhambra Granada Nicaragua,Nicaragua,Granada,,94USD,Costado Oeste Parque Central,
HC Suites Hotel,Nicaragua,San Juan del Sur,,30USD,"Zona Costera, Contiguo a Casa Marina y Frente Restaurante Joseline",
Hotel La Mar Dulce,Nicaragua,Granada,,84USD,"La Islita Street, from Supermarket La Colonia 3 blocks south.",
Hotel Real Destino Granada,Nicaragua,Granada,,77USD, El  Caimito,
Hotel El Internacional,Nicaragua,Granada,,48USD,Calle La Islita (2 blocks south and half a block east of the La Colonia supermarket),
Hotel Los Robles Managua,Nicaragua,Managua,,62USD,Los Robles Front of Restaurante La Marsellaise,
Punta Teonoste Nature Lodges Tola,Nicaragua,Tola,,94USD,5 km entre el Astillero y Las Salinas de Nahualapa,
Hotel Glifoos,Nicaragua,Granada,,31USD,C/ Real Xalteva 205 contiguo a farmacia Praga,
Hotel Villa Angelo,Nicaragua,Managua,,31USD,Del Hotel Mansion Teolinda 30 Vrs Abajo,
Hotel Casa Real Managua,Nicaragua,Managua,,69USD,"Lomas de Guadalupe Rotonda Ruben Dario, 2c al oeste, 2c al sur 1/2c al este",
Hotel El Maltese,Nicaragua,Granada,,45USD,Plaza Espana 50 mts al Sur - Malecon de Granada,
Royal Chateau Hotel,Nicaragua,San Juan del Sur,,57USD,"From the market, one block east",
Casa Bahia Hotel,Nicaragua,San Juan del Sur,,144USD,150 mts from Playa Marsella,
Hotel Posada Bahia Azul,Nicaragua,San Juan del Sur,,40USD,Park 1.5 block south,
La Estacion,Nicaragua,San Juan del Sur,,85USD,"Coastal Road, Oceanfront, PO Box 505",
San Juan de la Isla,Nicaragua,San Juan del Sur,,84USD,"""El Quino"" 200 meters to north, 2.3 km. to east. Ometepe Island, Nicaragua.",
Elements Hotel Boutique,Nicaragua,Managua,,162USD,"Residencial Los Robles, contiguo a Plaza Cuba",
Barrio Cafe Hotel Restaurant Bar,Nicaragua,San Juan del Sur,,70USD,Del Mercado Municipal 1 Cuadra Al Oeste,
Hotel Hamacas,Nicaragua,Rivas,,36USD,Del Muelle San Jorge 100 metros Oeste 25 metros Sur,
Casa Xanadu Granada,Nicaragua,Granada,,110USD,Calle El Arsenal,
Montecristo River Lodge,Nicaragua,El Castillo,,73USD,Frente Isla Sonbrero de Cuero,
Hotel Hex Esteli,Nicaragua,Jinotega,,65USD,Km 149 Carretera Panamericana,
Hotel Los Portales El Cubano,Nicaragua,El Cubano,,88USD,"Rotonda Los Encuentros, 500 metros al norte, contiguo a Restaurante RostiPollos",
Hotel Alcazar San Juan del Sur,Nicaragua,San Juan del Sur,,101USD,Zona Central,
Hotel Colibri Managua,Nicaragua,Managua,,45USD,"Colonial Los Robles, de Funeraria Monte de Los Olivos 1c norte y 1 1/2 c Oeste, #9, Managua 505, ",
Hotel Casa del Lago,Nicaragua,Granada,,22USD,"De la iglesia Guadalupe 1 cuadra y media al lago frente al multiestadio, Granada-Nicaragua",
Hotel La Posada de Don Pantaleon,Nicaragua,Managua,,54USD,Colegio Teresiano 1 cuadra al sur,
Hotel Roca de la Cumbre,Nicaragua,Jinotega,,40USD,"De la Biblioteca del Banco Central, 1 1/2 Cuadras al Este",
Hotel Los Chilamates,Nicaragua,Granada,,74USD,Del supermercado La Colonia 1 cuadra al sur,
Hotel Los Pinos Managua,Nicaragua,Managua,,50USD,"Gimnasio Hercules, una calle al sur media arriba, 314",
Hotel Austria Leon,Nicaragua,Leon,,78USD,Catedral 1 Cuadra Al Sur,
Milagro del Mar,Nicaragua,Montelimar,,135USD,Villa el Carmen. Km 49 road to Masachapa. 11 Km West,
Hotel Ivania's,Nicaragua,Masaya,,43USD,3 1/2 Cuadras Al Oeste,
Hacienda Iguana,Nicaragua,Tola,,146USD,Km 137 ,
Hotel Boutique La Cigale,Nicaragua,Granada,,84USD,"Del Parque Central, 4 cuadras al lago, Calle La Calzada",
Hotel Lomas del Valle,Nicaragua,Managua,,58USD,"Residencial Lomas del Valle de la entrada 2 cuadra Este, 3 cuadra Norte casa 151",
Hotel Colonnade Nicaragua,Nicaragua,Managua,,61USD,Planes de Altamira Primera Etapa,
Hotel Le Chateau,Nicaragua,Managua,,80USD,Planes de Altamira #76,
Hotel Casa San Martin,Nicaragua,Granada,,46USD,Calle La Calzada de la Iglesia Catedral 1c al Lago,
Angel Azul Hotel Managua,Nicaragua,Managua,,69USD,"Villa Fontana No.17, del Club Terraza 1 c. al Este, 75 vrs. al Norte",
Hotel El Familiar Granada,Nicaragua,Granada,,35USD,Da Casa Pellas 2.5c al este,
Hotel Encanto Del Sur,Nicaragua,San Juan del Sur,,35USD,75 Metros Al Sur Parque Central,
Hyatt Place Managua,Nicaragua,Managua,,135USD,Carretera Masaya Km 8 2 Next to Galeria Santo Domingo,
Hostal Real Los Robles,Nicaragua,Managua,,64USD,De los semáforos de la entrada principal de Los Robles 50 vrs. al Oeste y 3 cuadras al Sur,
Hotel & Casino Atlantic City De San Juan Del Sur,Nicaragua,San Juan del Sur,,56USD,1 Malecon,
El Coco Azul,Nicaragua,San Juan del Sur,,41USD,Avenida del Parque,
La Bicicleta Hostal - Hostel,Nicaragua,Managua,,16USD,Restaurante La Marsellaise 2c 1/2 abajo casa 7 Reparto San Juan,
The Surfing Donkey - Deluxe,Nicaragua,Granada,,25USD,Calle La Calzada casa 424 Del Parque Central 3 1 2 cuadras al lago frente el Colegio Carlos A Bravos,
Farallones Hotel,Nicaragua,Leon,,75USD,Rotonda de los Encuentros 800 Metros Norte,
