"_type","ambientes","areas_sociales","banos","comment","datos_principales","descripción","detail","entrega","exteriores","generales","habitaciones","m2totales","metros","price","servicios","title","ubicación","unidades"
"Inmuebles24Item","Salón de usos múltiples","Lobby","_","Rojas 117 es un desarrollo de 29 departamentos y 1 penthouse distribuidos en 8 niveles, cuenta con una ubicación privilegiada, entre Av. México y Justo Sierra, lo que permite tener diversas vías de acceso. El desarrollo contará con plazoleta central, lobby de ingreso, salón de usos múltiples, acabados de lujo, estacionamiento en sótano, caseta de vigilancia y seguridad 24 hrs.","Desarrollo vertical
													
Precio  desde
														
MN 2,735,066
102m² - 124m² Superficie de terreno
102m² - 124m² Superficie construída
2 Recámaras
Hasta 2 Baños
Hasta 2 Estacionamientos","Rojas 117 es un desarrollo de 29 departamentos y 1 penthouse distribuidos en 8 niveles, cuenta con una ubicación privilegiada, entre Av. México y Justo Sierra, lo que permite tener diversas vías de acceso. El desarrollo contará con plazoleta central, lobby de ingreso, salón de usos múltiples, acabados de lujo, estacionamiento en sótano, caseta de vigilancia y seguridad 24 hrs.","/propiedades/rojas-117-51560589.html","Entrega 2° trimestre 2018","","Elevador(es) (1)
Jardín(es) 
Acabados de Lujo 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","2 Recámaras","_","102 a 124 m² totales","MN 2,735,066","","Rojas 117","Francisco Rojas 117, Fraccionamiento Ladrón de Guevara, Guadalajara","30 unidades"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples","","_","Proyecto de 26 departementos, unico en la colonia americana, dos prototipos, tipo loft y tipo flat","Desarrollo vertical
													
Precio  desde
														
MN 2,499,405
86m² - 101m² Superficie de terreno
86m² - 101m² Superficie construída
2 Recámaras
Hasta 2 Baños
Hasta 2 Estacionamientos","Proyecto de 26 departementos, unico en la colonia americana, dos prototipos, tipo loft y tipo flat","/propiedades/el-famoso-1380-52014049.html","Entrega Julio 2017","","Elevador(es) (2)
Alberca 
Acabados de Lujo 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","2 Recámaras","_","86 a 101 m² totales","MN 2,499,405","Seguridad contra incendios 
Planta de emergencia","El Famoso 1380","Hidalgo 1380, Americana, Guadalajara","26 unidades"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples","Lobby","_","Proyecto de alta arquitectura, 66 departamentos, Alberca panoramica, salon de usos multiples, gimnasio.","Desarrollo vertical
													
Precio  desde
														
MN 3,676,145
157m² - 186m² Superficie de terreno
157m² - 186m² Superficie construída
3 Recámaras
Hasta 2 Baños
Hasta 1 Medios baños
Hasta 2 Estacionamientos","Proyecto de alta arquitectura, 66 departamentos, Alberca panoramica, salon de usos multiples, gimnasio.","/propiedades/hightower-vertical-lifestyle-52014099.html","Entrega Julio 2017","Estacionamiento de visitas","Elevador(es) (4)
Alberca 
Acabados de Lujo 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","3 Recámaras","_","157 a 186 m² totales","MN 3,676,145","Gimnasio 
Circuito Cerrado 
Planta de emergencia","Hightower Vertical Lifestyle","Hipódromo 2077, Providencia, Guadalajara","66 unidades"
"Inmuebles24Item","","","_","- Parque central. - Canchita de fútbol. - Juegos infantiles. - Pista para correr. - Salón de usos múltiples. - Centro vecinal. - Caseta de vigilancia. - Ingreso controlado. - Reja perimetral. - Ubicación inigualable. - A una cuadra de la estación Zoológico del Macrobús. - Vialidades internas en asfalto. - Banquetas en concreto. - Vida en condominio. - Videovigilancia. - Reja baja en los límites de cajones de estacionamiento que dan al exterior.","Desarrollo vertical
													
Precio  desde
														
MN 450,000
57m² Superficie de terreno
48m² Superficie construída
2 Recámaras
Hasta 1 Baños","- Parque central. - Canchita de fútbol. - Juegos infantiles. - Pista para correr. - Salón de usos múltiples. - Centro vecinal. - Caseta de vigilancia. - Ingreso controlado. - Reja perimetral. - Ubicación inigualable. - A una cuadra de la estación Zoológico del Macrobús. - Vialidades internas en asfalto. - Banquetas en concreto. - Vida en condominio. - Videovigilancia. - Reja baja en los límites de cajones de estacionamiento que dan al exterior.","/propiedades/parque-irazu-51899059.html","Entrega Inmediata","Árboles","Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque","2 Recámaras","_","57 m² totales","MN 450,000","Circuito Cerrado 
Área de Juegos Infantiles","Parque Irazú","Calzada independencial esquina Volcán Usulután, Colinas de HuentitAn, Guadalajara","20 unidades"
"Inmuebles24Item","","","1
		
				Baño","Departamento muy cerca de 8 de Julio y Lazaro Cardenas. 2 recamaras, sala, cocina y 1 baño","Departamento
													
Precio Venta
																	
MN 576,100
56m² Superficie de terreno
56m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: A estrenar","Departamento muy cerca de 8 de Julio y Lazaro Cardenas. 2 recamaras, sala, cocina y 1 baño","/propiedades/departamento-en-torre-privada-nuevo-52169766.html","totales","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (3)
Ubicación (Frente)","2
			
					Recámaras","56 m²
			totales","_","MN 576,100","Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Departamento en Torre Privada Nuevo","Reyes Heroles No., Polanquito, Guadalajara","_"
"Inmuebles24Item","Estudio 
Cuarto de TV","","3
		
				Baños","Esta residencia realmente espectacular de dos niveles está construida con los más altos estándares, utilizando únicamente materiales de la mayor calidad posible y algunas de las características adicionales que encontrará son las impresionantes vistas de 360 grados del océano, playa, Bahía de Banderas y la exuberante selva de los alrededores. Una espectacular entrada abre directamente a la amplia área de la sala-comedor con vistas panorámicas que te dejaran sin aliento. La cocina es moderna y elegante, es el sueño de cualquier cocinero y cuenta con gabinetes italianos color negro, barra de granito negro profundo y electrodomésticos de acero inoxidable. La acogedora sala y el hermoso comedor son perfectos para entretener a amigos y familiares y abren directamente a la enorme terraza cubierta, ideal para una verdadera vida combinando el interior / exterior. La master suite del nivel principal es elegante y espaciosa, un verdadero oasis de descanso, relajación y disfrute de las impresionantes vistas. El baño principal está diseñado ""estilo spa"", bellamente cubierto de mármol y lavabo doble, amplio walk-in closet y una ducha muy amplia. La suite de invitados es amplia y cómoda, ésta también goza de espectaculares vistas al océano y montañas, tienen su baño privado cubierto de mármol y amplio armario. En el nivel superior se localiza la segunda master suite, la cual se abre a una terraza realmente espectacular, con alberca privada tipo ""infinity"" y terraza ideal para tomar el sol. Otras comodidades de este excepcional complejo incluyen: Dos espectaculares albercas tipo ""Infinity"" con área de pérgolas, elevadores, sofisticado lobby, gimnasio, spa y estacionamiento privado para cada unidad. Todo se encuentra rodeado por hermosos jardines tropicales. Las cuotas de mantenimiento incluyen el gas, agua, mantenimiento de áreas comunes, elevador y guardia de seguridad por la noche.","Departamento
													
Precio Venta
																	
U$D 1,725,000
495m² Superficie de terreno
495m² Superficie construída
3 Recámaras
3 Baños
1 Medio baño
1 estacionamiento
Antigüedad: 1 año","Esta residencia realmente espectacular de dos niveles está construida con los más altos estándares, utilizando únicamente materiales de la mayor calidad posible y algunas de las características adicionales que encontrará son las impresionantes vistas de 360 grados del océano, playa, Bahía de Banderas y la exuberante selva de los alrededores. Una espectacular entrada abre directamente a la amplia área de la sala-comedor con vistas panorámicas que te dejaran sin aliento. La cocina es moderna y elegante, es el sueño de cualquier cocinero y cuenta con gabinetes italianos color negro, barra de granito negro profundo y electrodomésticos de acero inoxidable. La acogedora sala y el hermoso comedor son perfectos para entretener a amigos y familiares y abren directamente a la enorme terraza cubierta, ideal para una verdadera vida combinando el interior / exterior. La master suite del nivel principal es elegante y espaciosa, un verdadero oasis de descanso, relajación y disfrute de las impresionantes vistas. El baño principal está diseñado ""estilo spa"", bellamente cubierto de mármol y lavabo doble, amplio walk-in closet y una ducha muy amplia. La suite de invitados es amplia y cómoda, ésta también goza de espectaculares vistas al océano y montañas, tienen su baño privado cubierto de mármol y amplio armario. En el nivel superior se localiza la segunda master suite, la cual se abre a una terraza realmente espectacular, con alberca privada tipo ""infinity"" y terraza ideal para tomar el sol. Otras comodidades de este excepcional complejo incluyen: Dos espectaculares albercas tipo ""Infinity"" con área de pérgolas, elevadores, sofisticado lobby, gimnasio, spa y estacionamiento privado para cada unidad. Todo se encuentra rodeado por hermosos jardines tropicales. Las cuotas de mantenimiento incluyen el gas, agua, mantenimiento de áreas comunes, elevador y guardia de seguridad por la noche.","/propiedades/avalon-penthouse-puerto-vallarta-51664729.html","totales","","Alberca 
Estado de conservación (Excelente)","3
			
					Recámaras","495 m²
			totales","_","U$D 1,725,000","Aire acondicionado 
Seguridad privada","Avalon Penthouse, Puerto Vallarta","_","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples","Lobby","_","Un espacio para que disfrutes tu estilo de vida 46 departamentos con acabados de alta calidad y excelente gusto.","Desarrollo vertical
													
Precio  desde
														
MN 3,498,633
139m² Superficie de terreno
139m² Superficie construída
3 Recámaras
Hasta 2 Baños
Hasta 1 Medios baños
Hasta 2 Estacionamientos","Un espacio para que disfrutes tu estilo de vida 46 departamentos con acabados de alta calidad y excelente gusto.","/propiedades/eleven-tower-52013574.html","Entrega Abril 2018","","Elevador(es) (4)
Alberca 
Acabados de Lujo 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","3 Recámaras","_","139 m² totales","MN 3,498,633","Gimnasio 
Seguridad contra incendios 
Planta de emergencia","Eleven Tower","Hipodromo 2005, Providencia, Guadalajara","46 unidades"
"Inmuebles24Item","","","1
		
				Baño","departamento de dos recamaras, sala comedor, cocina y un baño. acabados de lujo. dentro de la ciudad","Departamento
													
Precio Venta
																	
MN 629,000
56m² Superficie de terreno
56m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: A estrenar","departamento de dos recamaras, sala comedor, cocina y un baño. acabados de lujo. dentro de la ciudad","/propiedades/hermoso-departamento-52169719.html","totales","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Estado de conservación (Excelente)
Ubicación (Frente)","2
			
					Recámaras","56 m²
			totales","_","MN 629,000","Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Hermoso Departamento","Reyes Heroles No., Polanquito, Guadalajara","_"
"Inmuebles24Item","","","1
		
				Baño","precioso departamento de dos recamaras, sala, comedor 1 baño, acabados de lujo.","Departamento
													
Precio Venta
																	
MN 576,000
54m² Superficie de terreno
54m² Superficie construída
2 Recámaras
1 Baño
1 estacionamiento
Antigüedad: A estrenar","precioso departamento de dos recamaras, sala, comedor 1 baño, acabados de lujo.","/propiedades/departamento-nuevo-en-guadalajara-52169751.html","totales","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (3)
Ubicación (Frente)","2
			
					Recámaras","54 m²
			totales","_","MN 576,000","Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Departamento Nuevo en Guadalajara","Reyes Heroles No., Polanquito, Guadalajara","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas 
Salón de usos múltiples 
Cuarto de TV","","3
		
				Baños","Departamento muy amplio, seminuevo. Cuenta con cuarto de servicio con baño completo y área de lavado. Sala Comedor amplia. Sala de TV Vista Panoramica El edificio cuenta con Terraza de eventos o convivencia en Azotea, alberca, gimnasio, bussines center. Cerca UAG, Colinas de San Javier, Andares, Providencia, Monraz.","Departamento
													
Precio Venta
																	
MN 6,500,000
375m² Superficie de terreno
230m² Superficie construída
3 Recámaras
3 Baños
1 Medio baño
3 Estacionamientos
Antigüedad: de 5 a 10 años","Departamento muy amplio, seminuevo. Cuenta con cuarto de servicio con baño completo y área de lavado. Sala Comedor amplia. Sala de TV Vista Panoramica El edificio cuenta con Terraza de eventos o convivencia en Azotea, alberca, gimnasio, bussines center. Cerca UAG, Colinas de San Javier, Andares, Providencia, Monraz.","/propiedades/departamento-venta-lomas-del-valle-51960201.html","construidos","Estacionamiento de visitas","Elevador(es) (1)
Alberca 
Cuartos de servicio 
Cocina integral 
Estado de conservación (Excelente)","3
			
					Recámaras","_","_","MN 6,500,000","Gimnasio 
Seguridad privada","Departamento Venta Lomas del Valle","Paseo Lomas Altas 334, Lomas del Valle, Guadalajara","_"
