"_type","ambientes","areas_sociales","banos","comment","datos_principales","descripción","detail","entrega","exteriores","generales","habitaciones","m2totales","metros","mycity","price","servicios","title","ubicación","unidades"
"Inmuebles24Item","Bodega(s) (1)
Cine 
Salón de Fiestas 
Salón de usos múltiples","Lobby","_","One Park Desierto, Donde vivir tiene sentido. Es un desarrollo mixto diseñado para lograr un perfecto equilibrio entre arquitectura y paisaje natural con hermosas vistas, iluminación, áreas para eventos, tiendas y restaurantes para que vivas momentos inigualables.","Desarrollo vertical
													
Precio  desde
														
MN 3,114,800
69m² - 143m² Superficie de terreno
69m² - 132m² Superficie construída
1 - 3 Recámaras
Hasta 4 Baños
Hasta 1 Medios baños
Hasta 2 Estacionamientos","One Park Desierto, Donde vivir tiene sentido. Es un desarrollo mixto diseñado para lograr un perfecto equilibrio entre arquitectura y paisaje natural con hermosas vistas, iluminación, áreas para eventos, tiendas y restaurantes para que vivas momentos inigualables.","/propiedades/one-park-desierto-52044430.html","Entrega 4° trimestre 2020","Árboles 
Cancha de tenis 
Pista de Jogging 
Sky Garden","Elevador(es) (5)
Jardín(es) 
Alberca 
Acabados de Lujo 
Jacuzzi","1 a 3 Recámaras","_","69 a 143 m² totales","leon","MN 3,114,800","Gimnasio 
Área de Juegos Infantiles 
Spa","One Park Desierto","Calzada al Desierto de los Leones 5316, Col. Tetelpan, Álvaro Obregón, México, DF., Tetelpan, Alvaro Obregón","200 unidades"
"Inmuebles24Item","Bodega(s) (10)
Salón de usos múltiples","Lobby","_","Un concepto residencial ubicado en una de las zonas más exclusivas de León. El proyecto cuenta con 170 departamentos que van desde los 35m2 hasta los 114m2, 16 niveles y una gran variedad de áreas comunes y amenidades. Con una arquitectura vanguardista y vistas increíbles que podrán ser disfrutadas desde el balcón de cada uno de los departamentos de la torre. ADAMANT LEÓN es para disfrutar tu vida desde lo más alto, desde donde podrás disfrutar de múltiples amenidades como: - Park Plaza - Lobby - Pet Center - Sky Gym & Yoga - Sky Jacuzzi - Sky Pool - Terraza - Relax Deck - Games Room - Lounge - Dinner Room - Suites de Huéspedes - Lavandería - Opciones de compra de cajones de estacionamientos para visitas - Bodegas adicionales disponibles para propietarios Para más información consulta: http://www.adamant.mx/leon/","Desarrollo vertical
													
Precio  desde
														
MN 1,404,000
35m² - 81m² Superficie de terreno
35m² - 81m² Superficie construída
1 - 2 Recámaras
Hasta 2 Baños
Hasta 1 Estacionamientos","Un concepto residencial ubicado en una de las zonas más exclusivas de León. El proyecto cuenta con 170 departamentos que van desde los 35m2 hasta los 114m2, 16 niveles y una gran variedad de áreas comunes y amenidades. Con una arquitectura vanguardista y vistas increíbles que podrán ser disfrutadas desde el balcón de cada uno de los departamentos de la torre. ADAMANT LEÓN es para disfrutar tu vida desde lo más alto, desde donde podrás disfrutar de múltiples amenidades como: - Park Plaza - Lobby - Pet Center - Sky Gym & Yoga - Sky Jacuzzi - Sky Pool - Terraza - Relax Deck - Games Room - Lounge - Dinner Room - Suites de Huéspedes - Lavandería - Opciones de compra de cajones de estacionamientos para visitas - Bodegas adicionales disponibles para propietarios Para más información consulta: http://www.adamant.mx/leon/","/propiedades/adamant-leon-52061761.html","Entrega 1° trimestre 2018","","Elevador(es) (2)
Jardín(es) 
Alberca 
Acabados de Lujo 
Jacuzzi 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","1 a 2 Recámaras","_","35 a 81 m² totales","leon","MN 1,404,000","Gimnasio 
Internet/Wifi 
Circuito Cerrado 
Seguridad contra incendios 
Planta de emergencia 
Conmutador","Adamant León","Adolfo López Mateos 2645, Villas del Juncal, León","71 unidades"
"Inmuebles24Item","Salón de Fiestas","Lobby","_","Vivir en conexión con la montaña, rodeado de áreas verdes, amenidades, vistas espectaculares y amenidades que definen un estilo de vida extraordinario que hoy Ideka trae para ti. El Proyecto: La arquitectura de Las Huastecas se inspira totalmente en su entorno, reinterpretando los muros de piedra caliza de la imponente montaña en un diseño vertical que contiene 114 unidades de alta funcionalidad para su primera fase (4 etapas en total). El Habitante: Sabe aprovechar lo que le rodea, disfruta de una buena vista, convertir una caminata por el parque en una aventura, pasar una tarde al aire libre sin preocupaciones. Jóvenes y adultos podrán disfrutar y convivir en los 20,000 m2 de amenidades y áreas verdes cuidadosamente diseñados para todas las edades. Departamentos: Las Huastecas cuenta con increíbles distribuciones de 2 y 3 recámaras que varían entre los 100 m y 124 m, así como Penthouses, para disfrutar momentos inigualables. Sus terrazas, amenidades y equipamiento lo hacen un proyecto único en su tipo, logrando una mezcla de espacios que se vuelven una extensión de tu hogar, enriqueciendo tu vida.","Desarrollo vertical
													
Precio  desde
														
MN 2,450,000
100m² - 124m² Superficie de terreno
100m² - 124m² Superficie construída
2 - 3 Recámaras
Hasta 3 Baños
Hasta 1 Medios baños
Hasta 2 Estacionamientos","Vivir en conexión con la montaña, rodeado de áreas verdes, amenidades, vistas espectaculares y amenidades que definen un estilo de vida extraordinario que hoy Ideka trae para ti. El Proyecto: La arquitectura de Las Huastecas se inspira totalmente en su entorno, reinterpretando los muros de piedra caliza de la imponente montaña en un diseño vertical que contiene 114 unidades de alta funcionalidad para su primera fase (4 etapas en total). El Habitante: Sabe aprovechar lo que le rodea, disfruta de una buena vista, convertir una caminata por el parque en una aventura, pasar una tarde al aire libre sin preocupaciones. Jóvenes y adultos podrán disfrutar y convivir en los 20,000 m2 de amenidades y áreas verdes cuidadosamente diseñados para todas las edades. Departamentos: Las Huastecas cuenta con increíbles distribuciones de 2 y 3 recámaras que varían entre los 100 m y 124 m, así como Penthouses, para disfrutar momentos inigualables. Sus terrazas, amenidades y equipamiento lo hacen un proyecto único en su tipo, logrando una mezcla de espacios que se vuelven una extensión de tu hogar, enriqueciendo tu vida.","/propiedades/las-huastecas-51763548.html","Entrega Mayo 2017","Árboles 
Carril de Nado 
Estacionamiento de visitas","Elevador(es) (1)
Jardín(es) 
Alberca 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","2 a 3 Recámaras","_","100 a 124 m² totales","leon","MN 2,450,000","Gimnasio 
Seguridad contra incendios 
Planta de emergencia 
Área de Juegos Infantiles","Las Huastecas","Av. Miguel Alemán  #, Zona Valle Poniente, San Pedro Garza García","114 unidades"
"Inmuebles24Item","Estudio 
Cuarto de TV","","2
		
				Baños","Exclusivo desarrollo. Proyecto moderno con ubicación ideal, a sólo 10 minutos de Periférico, muy cerca de Televisa San Ángel. A pocos minutos de la Supervía Poniente. Desarrollo integral con amenidades como: ludoteca, gimnasio y múltiples áreas verdes. Departamentos de 73 a 83 m2 Todos cuentan con excelente distribución, acabados de lujo, mucha iluminación e increíble altura de 2.90 metros. Cocina integral equipada con barra de granito natural, muebles de excelente calidad, estufa y campana modernos. Desde $2'650,000.00 No pierdas esta gran oportunidad. Solicitamos el 20% de enganche a firma de contrato y saldo a firma de escrituras. Se aceptan créditos hipotecarios. Entrega en agosto de 2016.","Departamento
													
Precio Venta
																	
MN 2,738,764
73m² Superficie de terreno
73m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: En construcción","Exclusivo desarrollo. Proyecto moderno con ubicación ideal, a sólo 10 minutos de Periférico, muy cerca de Televisa San Ángel. A pocos minutos de la Supervía Poniente. Desarrollo integral con amenidades como: ludoteca, gimnasio y múltiples áreas verdes. Departamentos de 73 a 83 m2 Todos cuentan con excelente distribución, acabados de lujo, mucha iluminación e increíble altura de 2.90 metros. Cocina integral equipada con barra de granito natural, muebles de excelente calidad, estufa y campana modernos. Desde $2'650,000.00 No pierdas esta gran oportunidad. Solicitamos el 20% de enganche a firma de contrato y saldo a firma de escrituras. Se aceptan créditos hipotecarios. Entrega en agosto de 2016.","/propiedades/preciosos-deptos-a-10-mins-de-televisa-san-angel-50899008.html","totales","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral","2
			
					Recámaras","73 m²
			totales","_","leon","MN 2,738,764","Gimnasio 
Seguridad privada 
Cisterna 
Calentador de agua 
Gas","Preciosos Deptos a 10 Mins de Televisa San Ángel","Calzada Desierto de los Leones 4426, Tetelpan, Alvaro Obregón","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas (SI)
Salón de usos múltiples (SI)","","3
		
				Baños","Departamento nuevo en Bosques del Valle, completamente terminado, equipado, acabados de lujo, 203mts2, 2 recamaras, con opción a 3, 3 baños completos, cuarto de servicio, 3 cajones de estacionamiento. Hermosa torre con increíbles amenidades como alberca, gym, salones para eventos, etc.","Departamento
													
Precio Venta
																	
MN 10,750,000
203m² Superficie de terreno
203m² Superficie construída
3 Recámaras
3 Baños
3 Estacionamientos
Antigüedad: A estrenar","Departamento nuevo en Bosques del Valle, completamente terminado, equipado, acabados de lujo, 203mts2, 2 recamaras, con opción a 3, 3 baños completos, cuarto de servicio, 3 cajones de estacionamiento. Hermosa torre con increíbles amenidades como alberca, gym, salones para eventos, etc.Ver datosVer datos","/propiedades/departamento-venta-valle-51794948.html","totales","Asador (SI)
Estacionamiento de visitas (SI)","Elevador(es) (2)
Alberca (SI)
Cuartos de servicio (SI)
Frente a parque (SI)
Cocina integral (SI)
Acceso tercera edad (SI)","3
			
					Recámaras","203 m²
			totales","_","leon","MN 10,750,000","Gimnasio (SI)
Aire acondicionado (SI)
Seguridad privada (SI)
Calentador de agua (SI)
Calefacción (SI)","Departamento Venta Valle","_","_"
"Inmuebles24Item","","","1
		
				Baño","Departamento Ubicadísimo en San Jerónimo, en calle con salida a vías rápidas, centros comerciales y a dos minutos de San Pedro, 2 cajones de estacionamiento.2 recamarasCocina encinoBaño completo + Medio bañoLavanderíaCocina ComedorUn cuarto AdicionalMinisplits frio calor en todas las areas.Ventanas de doble cristal2 cajones de estacionamientoTecho impermeabilizado con carpetaTecho aislado termicamente","Departamento
													
Precio Venta
																	
MN 1,900,000
88m² Superficie de terreno
113m² Superficie construída
2 Recámaras
1 Baño
1 Medio baño
2 Estacionamientos
Antigüedad: de 10 a 20 años","Departamento Ubicadísimo en San Jerónimo, en calle con salida a vías rápidas, centros comerciales y a dos minutos de San Pedro, 2 cajones de estacionamiento.2 recamarasCocina encinoBaño completo + Medio bañoLavanderíaCocina ComedorUn cuarto AdicionalMinisplits frio calor en todas las areas.Ventanas de doble cristal2 cajones de estacionamientoTecho impermeabilizado con carpetaTecho aislado termicamente","/propiedades/departamento-venta-san-jeronimo-monterrey-nuevo-leon-51638121.html","construidos","","Centros Comerciales Cercanos (SI)
Escuelas Cercanas (SI)
Frente a parque (SI)","2
			
					Recámaras","_","_","leon","MN 1,900,000","","Departamento Venta San Jeronimo Monterrey Nuevo Leon","Jardines de San Jerónimo #213, Monterrey","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de Fiestas 
Salón de usos múltiples","","1
		
				Baño","Venta Departamento ubicado en zona exclusiva de Monterrey : TORRE MICROPOLIS , dimensiones: interior 76.76 m2 , exterior 12.93 m2 , cajon de estacionamiento No. 216 de 13.92 m2 y bodega No. 68 de 9.90 m2 , total de 113.52 m2. SUPER EQUIPADO cuenta con : 1 recamara con vestidor , 1 baño, sala comedor con 4 sillas , cocina integral con granito, aire acondicionado VRF, centro de lavado vertical, cama king size , 7 persianas BLA , 2 pantallas de 32"", refrigerador, microondas, mini componente , amenidades ( alberca , GYM , salones de fiestas , blender , etc ) cuenta con una terraza con vista al Cerro de la Silla de 12.93m2 en el piso 11 , cajon de estacionamiento y una bodega grande de 9.90 m2 , excelente ubicacion a 800 mts del ITSEM zona Tec y centros comerciales, tanto alrededor como en la parte inferior del edificio , esta asegurado y tiene todas sus obligaciones cumplidas. Tienes que conocerlo te encantara !!!!!! , haz tu cita al 346 con el Sr. Zavat Baca , somos Inmuebla ZaDa el lado humano de los bienes raices.","Departamento
													
Precio Venta
																	
MN 3,195,000
90m² Superficie de terreno
113m² Superficie construída
1 recamara
1 Baño
1 estacionamiento
Antigüedad: 2 años","Venta Departamento ubicado en zona exclusiva de Monterrey : TORRE MICROPOLIS , dimensiones: interior 76.76 m2 , exterior 12.93 m2 , cajon de estacionamiento No. 216 de 13.92 m2 y bodega No. 68 de 9.90 m2 , total de 113.52 m2. SUPER EQUIPADO cuenta con : 1 recamara con vestidor , 1 baño, sala comedor con 4 sillas , cocina integral con granito, aire acondicionado VRF, centro de lavado vertical, cama king size , 7 persianas BLA , 2 pantallas de 32"", refrigerador, microondas, mini componente , amenidades ( alberca , GYM , salones de fiestas , blender , etc ) cuenta con una terraza con vista al Cerro de la Silla de 12.93m2 en el piso 11 , cajon de estacionamiento y una bodega grande de 9.90 m2 , excelente ubicacion a 800 mts del ITSEM zona Tec y centros comerciales, tanto alrededor como en la parte inferior del edificio , esta asegurado y tiene todas sus obligaciones cumplidas. Tienes que conocerlo te encantara !!!!!! , haz tu cita al Ver datos346 con el Sr. Zavat Baca , somos Inmuebla ZaDa el lado humano de los bienes raices.","/propiedades/departamento-en-venta-zona-tec-monterrey-torre-52133687.html","construidos","Asador","Elevador(es) (1)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral","1
			
					recamara","_","_","leon","MN 3,195,000","Gimnasio 
Aire acondicionado 
Seguridad privada","Departamento en Venta Zona Tec Monterrey Torre Micropolis","Ave. Eugenio Garza Sada No. Departamento, Mas Palomas (Valle de Santiago), Monterrey","_"
"Inmuebles24Item","","","1
		
				Baño","Muy bien ubicados, cerca de avenidas principales, centros comerciales y escuelas. Cuatro departamentos que constan cada uno de dos recámaras, sala, comedor, cocina, 1 baño y lavandería. 90m2 aprox. cada departamento. Se venden los 4 están en un terreno de 20 x 15.","Departamento
													
Precio Venta
																	
MN 6,300,000
300m² Superficie de terreno
360m² Superficie construída
2 Recámaras
1 Baño
2 Estacionamientos
Antigüedad: de 10 a 20 años","Muy bien ubicados, cerca de avenidas principales, centros comerciales y escuelas. Cuatro departamentos que constan cada uno de dos recámaras, sala, comedor, cocina, 1 baño y lavandería. 90m2 aprox. cada departamento. Se venden los 4 están en un terreno de 20 x 15.","/propiedades/departamentos-col.-florida-excelentes-para-renta-a-52069017.html","construidos","","Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Número de departamentos (4)
Ubicación (Frente)","2
			
					Recámaras","_","_","leon","MN 6,300,000","","Departamentos Col. Florida, Excelentes Para Renta a Estudiantes del Tec.","José Alvarado, La Florida, Monterrey","_"
"Inmuebles24Item","","","2
		
				Baños","Exclusivo departamento eqyipado de lujo. El edificio cuenta con seguridad privada, Sala de juntas, sala de eventos, gimnasio, cuarto de chóferes o escoltas con cocina y regaderas. Vecinos previamente investigados, 20 departamentos en total. Comunicación depto caseta, cámaras en todo el edificio. Sala, comedor y cocina equipada. Con espacios muy amplio y abiertos. Dos recámaras con baño y vestidor con posible amplitud a 3 recámaras. Cuarto de servicio, lavanderia, bodega y 3 lugares estacionamiento. Acabados de mármol, granito y duela, muy bonito y completo. 444 metros totales 305 metros interiores Edificio 100% de lujo hecho por el arquitecto Alexander Lenoir. Características","Departamento
													
Precio Venta
																	
MN 13,500,000
444m² Superficie de terreno
305m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
3 Estacionamientos
Antigüedad: de 5 a 10 años","Exclusivo departamento eqyipado de lujo. El edificio cuenta con seguridad privada, Sala de juntas, sala de eventos, gimnasio, cuarto de chóferes o escoltas con cocina y regaderas. Vecinos previamente investigados, 20 departamentos en total. Comunicación depto caseta, cámaras en todo el edificio. Sala, comedor y cocina equipada. Con espacios muy amplio y abiertos. Dos recámaras con baño y vestidor con posible amplitud a 3 recámaras. Cuarto de servicio, lavanderia, bodega y 3 lugares estacionamiento. Acabados de mármol, granito y duela, muy bonito y completo. 444 metros totales 305 metros interiores Edificio 100% de lujo hecho por el arquitecto Alexander Lenoir. Características","/propiedades/departamento-equipado-de-lujo-en-venta-en-san-pedro-52137118.html","construidos","","Elevador(es) (1)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Estado de conservación (Excelente)","2
			
					Recámaras","_","_","leon","MN 13,500,000","Gimnasio 
Seguridad privada","Departamento Equipado de Lujo en Venta en San Pedro Garza Garcia","Torre Chipinque, Valle de San Angel , San Pedro Garza García","_"
"Inmuebles24Item","Bodega(s) (1)
Cuarto de TV","","2
		
				Baños","Excelentes acabados, madera tzlam sólida en recamaras, techos altos. Dos recamaras, la principal con baño y vestidor; hall tv (opción 3ra rec.); 2 baños completos, sala, comedor, cocina con granito, cuarto de lavado, dos estacionamientos independientes y bodega privada de 6 M2, sumando 120 M2 de construcción. Estacionam. visitas, área disponible para mascotas y vigilancia 24 hrs.; a 7 mins. de Periférico y 25 mins. de Santa Fe.","Departamento
													
Precio Venta
																	
MN 3,700,000
120m² Superficie de terreno
114m² Superficie construída
2 Recámaras
2 Baños
2 Estacionamientos
Antigüedad: de 5 a 10 años","Excelentes acabados, madera tzlam sólida en recamaras, techos altos. Dos recamaras, la principal con baño y vestidor; hall tv (opción 3ra rec.); 2 baños completos, sala, comedor, cocina con granito, cuarto de lavado, dos estacionamientos independientes y bodega privada de 6 M2, sumando 120 M2 de construcción. Estacionam. visitas, área disponible para mascotas y vigilancia 24 hrs.; a 7 mins. de Periférico y 25 mins. de Santa Fe.","/propiedades/departamento-en-venta-desierto-de-los-leones-4449-52165961.html","construidos","Estacionamiento de visitas","Centros Comerciales Cercanos 
Escuelas Cercanas 
Mascotas 
Cocina integral","2
			
					Recámaras","_","_","leon","MN 3,700,000","Seguridad privada 
Cisterna","Departamento en Venta Desierto de Los Leones 4449","AV. DESIERTO DE LOS LEONES 4449, Tetelpan, Alvaro Obregón","_"
