"_type","ambientes","areas_sociales","banos","comment","datos_principales","descripción","detail","entrega","exteriores","generales","habitaciones","m2totales","metros","mycity","price","servicios","title","ubicación","unidades"
"Inmuebles24Item","Bodega(s) (10)
Sauna 
Salón de usos múltiples","Lobby","_","Un concepto residencial ubicado en la zona más exclusiva de Querétaro. Proyecto que cuenta con 27 niveles de departamentos. Con una arquitectura vanguardista y vistas espectaculares de toda la ciudad, incluyendo lugares emblemáticos como los arcos y el centro histórico de la ciudad. Vistas que podrán ser disfrutadas desde la terraza de cada uno de los departamentos de la torre. Torre Adamant Querétaro tiene 175 departamentos que van desde los 51 hasta los 120m2 y una gran variedad de áreas comunes y amenidades como: - Suite de Huéspedes. - Sky Gym. - Terraza. - Lavandería. - Salón de Box y Yoga. - Sala lounge. - Cuarto de juegos. - Amplios estacionamientos para visitas. - Bodegas adicionales para propietarios. - Sky Jacuzzi. - Sala de masaje. - Sauna. - Alberca. - Asoleaderos. - Comedor para eventos. Para más información consulta: http://www.adamant.mx/queretaro/","Desarrollo vertical
													
Precio  desde
														
MN 1,584,414
51m² - 120m² Superficie de terreno
51m² - 120m² Superficie construída
2 - 3 Recámaras
Hasta 3 Baños
Hasta 1 Medios baños
Hasta 4 Estacionamientos","Un concepto residencial ubicado en la zona más exclusiva de Querétaro. Proyecto que cuenta con 27 niveles de departamentos. Con una arquitectura vanguardista y vistas espectaculares de toda la ciudad, incluyendo lugares emblemáticos como los arcos y el centro histórico de la ciudad. Vistas que podrán ser disfrutadas desde la terraza de cada uno de los departamentos de la torre. Torre Adamant Querétaro tiene 175 departamentos que van desde los 51 hasta los 120m2 y una gran variedad de áreas comunes y amenidades como: - Suite de Huéspedes. - Sky Gym. - Terraza. - Lavandería. - Salón de Box y Yoga. - Sala lounge. - Cuarto de juegos. - Amplios estacionamientos para visitas. - Bodegas adicionales para propietarios. - Sky Jacuzzi. - Sala de masaje. - Sauna. - Alberca. - Asoleaderos. - Comedor para eventos. Para más información consulta: http://www.adamant.mx/queretaro/","/propiedades/adamant-queretaro-52035145.html","Entrega 1° trimestre 2017","Árboles 
Estacionamiento de visitas","Elevador(es) (1)
Jardín(es) 
Alberca 
Acabados de Lujo 
Jacuzzi 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","2 a 3 Recámaras","_","51 a 120 m² totales","queretaro","MN 1,584,414","Gimnasio 
Internet/Wifi 
Circuito Cerrado 
Seguridad contra incendios 
Planta de emergencia 
Spa 
Conmutador","Adamant Querétaro","Av. del Campanario 50, Fraccionamiento Hacienda Campanario Miradores, Querétaro","58 unidades"
"Inmuebles24Item","","","_","Torre Ankara, la primera de 5 torres dentro de Kápital Diamante, 40 exclusivos departamentos con excelentes vistas de la ciudad y la mejor plusvalía. Acabados de lujo, Bodega, Patio privado, Salón de Usos Múltiples, Estudio, Jacuzzi, Juegos Infantiles, Seguridad, Sky Garden, Terraza, Alberca, Elevador La mejor ubicación con todos los servicios cercanos, a tan solo 10 minutos del centro de la ciudad, la mejor densidad por m2 (menos habitantes por m2)","Desarrollo Horizontal/Vertical
													
Precio  desde
														
MN 1,945,000
75m² - 301m² Superficie de terreno
75m² - 301m² Superficie construída
2 - 4 Recámaras
Hasta 4 Baños
Hasta 1 Medios baños
Hasta 3 Estacionamientos","Torre Ankara, la primera de 5 torres dentro de Kápital Diamante, 40 exclusivos departamentos con excelentes vistas de la ciudad y la mejor plusvalía. Acabados de lujo, Bodega, Patio privado, Salón de Usos Múltiples, Estudio, Jacuzzi, Juegos Infantiles, Seguridad, Sky Garden, Terraza, Alberca, Elevador La mejor ubicación con todos los servicios cercanos, a tan solo 10 minutos del centro de la ciudad, la mejor densidad por m2 (menos habitantes por m2)","/propiedades/torre-ankara-51955056.html","Entrega Septiembre 2017","Árboles","Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas","2 a 4 Recámaras","_","75 a 301 m² totales","queretaro","MN 1,945,000","Gimnasio 
Circuito Cerrado 
Seguridad contra incendios 
Área de Juegos Infantiles","Torre Ankara","Av de la Salvación, Zona comercial Plaza Boulevares, Querétaro","40 unidades"
"Inmuebles24Item","","Lobby","_","Ofrecemos la mejor opcion para hacer valer tu patrimonio. Calidad y precio se juntan en Puerta Real En Dinova te ofrecemos Fraccionamiento Puerta real Residencial & Country Club , donde podrás compartir con tu familia las maravillas de la vida, en un ambiente de tranquilidad y seguridad, rodeados de espacios abiertos y jardines, donde la calidad y el diseño hablan del estilo de vida de quienes han decidido vivir aquí. La plusvalía de tu inversión en Puerta Real está asegurada gracias a su ubicación privilegiada, a sólo cinco minutos del centro de Querétaro y estando aún más cerca de los mejores colegios y centros comerciales.","Desarrollo Horizontal/Vertical
													
Precio  desde
														
MN 1,766,300
187m² - 272m² Superficie de terreno
161m² - 234m² Superficie construída
3 - 4 Recámaras
Hasta 3 Baños
Hasta 1 Medios baños
Hasta 2 Estacionamientos","Ofrecemos la mejor opcion para hacer valer tu patrimonio. Calidad y precio se juntan en Puerta Real En Dinova te ofrecemos Fraccionamiento Puerta real Residencial & Country Club , donde podrás compartir con tu familia las maravillas de la vida, en un ambiente de tranquilidad y seguridad, rodeados de espacios abiertos y jardines, donde la calidad y el diseño hablan del estilo de vida de quienes han decidido vivir aquí. La plusvalía de tu inversión en Puerta Real está asegurada gracias a su ubicación privilegiada, a sólo cinco minutos del centro de Querétaro y estando aún más cerca de los mejores colegios y centros comerciales.","/propiedades/puerta-real-51903336.html","Entrega Inmediata","Árboles 
Cancha de squash 
Cancha de tenis 
Estacionamiento de visitas 
Pista de Jogging","Jardín(es) 
Acabados de Lujo 
Seguridad","3 a 4 Recámaras","_","187 a 272 m² totales","queretaro","MN 1,766,300","Gimnasio 
Planta de emergencia 
Área de Juegos Infantiles","Puerta Real","AV CAMINO A VANEGAS, Fraccionamiento Puerta Real, Corregidora","184 unidades"
"Inmuebles24Item","Salón de usos múltiples","","_","BELVEDERE , es un concepto residencial, glamoroso y único. • Arquitectura Boutique, es un servicio personalizado donde te ayudamos a elevar tu residencia al máximo, ofreciéndote total apoyo en arquitectura, diseño y mano de obra, para decorar y personalizar de acuerdo a tu estilo y necesidad. • Tasting Room Ofrece a los propietarios una experiencia enológica, con el espacio perfecto para realizar degustaciones de vino, una reunión entre amigos o cenas maridaje. • Automatización de Residencia en la áreas de Sala, comedor y recamara a través de un iPad que se obsequiara. Intensidad de Iluminación, Sonido y Vídeo, Aire Acondicionado y Persianas. cableados, conexiones y accesorios eléctricos necesarios, así como, el equipo (cerebro) requerido para controlarlos. • Plataforma de Yoga • Elevadores panorámicos • Sala Lounge • Pergolado con Columpios • Sala Lounge • Juegos Infantiles y Gimnasio al aire libre • Alberca • Acabados Residenciales • Muebles de baño marca Gravita • Closets marca Gravita • Cocina marca Gravita BELVEDERE RESIDENCIAL – Sustentabilidad. Belvedere como todos los proyectos que desarrollamos cuenta con Sustentabilidad y cuidado del medio ambiente, ya que incluye las siguientes tecnologías: • Calentador Solar y Calentador de paso en cada Residencia, con lo cual se ahorra más del 60% del consumo de Gas por familia. • Recuperación de Aguas Pluviales, con lo cual se alimentan los muebles sanitarios y se utiliza para riego de áreas verdes. • Lámparas en zonas publicas equipadas con sensor de movimiento, con lo cual se ahorra energía eléctrica. • Celdas Solares en Alberca y chapoteadero • Decks ecológicos de madera-plástico reciclado, evitando un costoso mantenimiento Ubicado en el exclusivo Desarrollo Residencial y Campo de Golf Zibatá Querétaro, dentro del fraccionamiento Cardón. Con vistas al valle de Amazcala y al Green, hoyo 11. Rodeado de naturaleza, confort y entorno vanguardista. Es exclusivo e innovador, donde el diseño de los espacios, texturas y colores, han sido pensados y creados con arquitectura, con conocimiento, con amor y pasión. Surgiendo torres independientes, con residencias realmente lujosas y cálidas, con grandes ventanales donde las vistas, la luz, los amaneceres y los atardeceres, acompañarán tu amor y pasión por la vida.","Desarrollo vertical
													
Precio  desde
														
MN 2,900,000
146m² - 218m² Superficie de terreno
146m² - 218m² Superficie construída
2 - 3 Recámaras
Hasta 3 Baños
Hasta 1 Medios baños
Hasta 2 Estacionamientos","BELVEDERE , es un concepto residencial, glamoroso y único. • Arquitectura Boutique, es un servicio personalizado donde te ayudamos a elevar tu residencia al máximo, ofreciéndote total apoyo en arquitectura, diseño y mano de obra, para decorar y personalizar de acuerdo a tu estilo y necesidad. • Tasting Room Ofrece a los propietarios una experiencia enológica, con el espacio perfecto para realizar degustaciones de vino, una reunión entre amigos o cenas maridaje. • Automatización de Residencia en la áreas de Sala, comedor y recamara a través de un iPad que se obsequiara. Intensidad de Iluminación, Sonido y Vídeo, Aire Acondicionado y Persianas. cableados, conexiones y accesorios eléctricos necesarios, así como, el equipo (cerebro) requerido para controlarlos. • Plataforma de Yoga • Elevadores panorámicos • Sala Lounge • Pergolado con Columpios • Sala Lounge • Juegos Infantiles y Gimnasio al aire libre • Alberca • Acabados Residenciales • Muebles de baño marca Gravita • Closets marca Gravita • Cocina marca Gravita BELVEDERE RESIDENCIAL – Sustentabilidad. Belvedere como todos los proyectos que desarrollamos cuenta con Sustentabilidad y cuidado del medio ambiente, ya que incluye las siguientes tecnologías: • Calentador Solar y Calentador de paso en cada Residencia, con lo cual se ahorra más del 60% del consumo de Gas por familia. • Recuperación de Aguas Pluviales, con lo cual se alimentan los muebles sanitarios y se utiliza para riego de áreas verdes. • Lámparas en zonas publicas equipadas con sensor de movimiento, con lo cual se ahorra energía eléctrica. • Celdas Solares en Alberca y chapoteadero • Decks ecológicos de madera-plástico reciclado, evitando un costoso mantenimiento Ubicado en el exclusivo Desarrollo Residencial y Campo de Golf Zibatá Querétaro, dentro del fraccionamiento Cardón. Con vistas al valle de Amazcala y al Green, hoyo 11. Rodeado de naturaleza, confort y entorno vanguardista. Es exclusivo e innovador, donde el diseño de los espacios, texturas y colores, han sido pensados y creados con arquitectura, con conocimiento, con amor y pasión. Surgiendo torres independientes, con residencias realmente lujosas y cálidas, con grandes ventanales donde las vistas, la luz, los amaneceres y los atardeceres, acompañarán tu amor y pasión por la vida.","/propiedades/green-front-residences-belvedere.-amor-y-pasion-por-la-51897890.html","Entrega Diciembre 2016","Árboles 
Campo de Golf 
Cancha de paddle 
Cancha de tenis 
Pista de Jogging 
Roof Garden","Elevador(es) (4)
Jardín(es) 
Alberca 
Acabados de Lujo 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque","2 a 3 Recámaras","_","157 a 171 m² totales","queretaro","MN 2,900,000","","Green Front Residences Belvedere. Amor y Pasión por La Vida","VALLE DEL CASSIS  No. 69, Juriquilla, Querétaro","48 unidades"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples","","2
		
				Baños","VENTA DEPARTAMENTO DE LUJO EN JURIQUILLA $3800,000.00 ABAJO DE SU PRECIO DE MERCADO!!!! VEALO ! 155M2. 2REC , 2.5 BAÑOS, CUARTO DE SERVICIO; BODEGA , 2 ESTACIONAMIENTOS TECHADOS. TODOS LOS SERVICIOS CERCA AMENIDADES •Alberca semi olimpica con chapoteadero • Asadores • Gimnasio con servicio de vapor • Salón familiar • Cafetería • Salón de proyecciones • Cancha de Padel • Juegos infantiles • Amplias áreas verdes :","Departamento
													
Precio Venta
																	
MN 3,800,000
155m² Superficie de terreno
155m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar","VENTA DEPARTAMENTO DE LUJO EN JURIQUILLA $3800,000.00 ABAJO DE SU PRECIO DE MERCADO!!!! VEALO ! 155M2. 2REC , 2.5 BAÑOS, CUARTO DE SERVICIO; BODEGA , 2 ESTACIONAMIENTOS TECHADOS. TODOS LOS SERVICIOS CERCA AMENIDADES •Alberca semi olimpica con chapoteadero • Asadores • Gimnasio con servicio de vapor • Salón familiar • Cafetería • Salón de proyecciones • Cancha de Padel • Juegos infantiles • Amplias áreas verdes :","/propiedades/venta-depto-2-recamaras-juriquilla-52167096.html","totales","Estacionamiento de visitas","Elevador(es) (1)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral 
Acceso discapacitados 
Estado de conservación (Excelente)
Piso en el que se encuentra (6)","2
			
					Recámaras","155 m²
			totales","_","queretaro","MN 3,800,000","Gimnasio 
Aire acondicionado 
Seguridad privada 
Cisterna 
Área de Juegos Infantiles 
Gas","Venta Depto 2 Recamaras Juriquilla","_","_"
"Inmuebles24Item","Bodega(s) (1)
Salón de usos múltiples","","3
		
				Baños","Departamento en venta o renta con muy bonita vista hacia áreas comunes y toda la zona de Juriquilla. El departamento está ubicado en el 4to piso en donde encontramos sala y comedor con terraza, tres recámaras, de las cuales dos tienen baño privado y la tercera comparte baño con el área social. Cocina con amplias ventanas y hermosas vistas que harán agradable esta tarea. Área de lavandería y baño de servicio. TRES cajones de estacionamiento techados, incluidos en el precio de renta pero con un costo adicional de $200,000.00 a la venta. Una bodega amplia y privada a nivel de estacionamiento. Las torres cuentan con gimnasio, áreas verdes y juegos infantiles, un amplio lobby con vigilancia 24 hrs. monitoreado, elevador de servicio, salas de espera, salón de eventos para 80 personas con cocina industrial equipada, amplios baños, alberca con chapoteadero, canchas de paddle tennis y cajones de estacionamiento para visitas. A unos metros de Superama, Fresko, Antea, parques con juegos infantiles, universidades, escuelas, plazas de servicio y comerciales. NO Incluye mantenimiento de $3,000.00..DE155","Departamento
													
Precio Venta
																	
MN 4,150,000Precio Renta
																	
MN 25,000
172m² Superficie de terreno
172m² Superficie construída
3 Recámaras
3 Baños
2 Estacionamientos
Antigüedad: A estrenar","Departamento en venta o renta con muy bonita vista hacia áreas comunes y toda la zona de Juriquilla. El departamento está ubicado en el 4to piso en donde encontramos sala y comedor con terraza, tres recámaras, de las cuales dos tienen baño privado y la tercera comparte baño con el área social. Cocina con amplias ventanas y hermosas vistas que harán agradable esta tarea. Área de lavandería y baño de servicio. TRES cajones de estacionamiento techados, incluidos en el precio de renta pero con un costo adicional de $200,000.00 a la venta. Una bodega amplia y privada a nivel de estacionamiento. Las torres cuentan con gimnasio, áreas verdes y juegos infantiles, un amplio lobby con vigilancia 24 hrs. monitoreado, elevador de servicio, salas de espera, salón de eventos para 80 personas con cocina industrial equipada, amplios baños, alberca con chapoteadero, canchas de paddle tennis y cajones de estacionamiento para visitas. A unos metros de Superama, Fresko, Antea, parques con juegos infantiles, universidades, escuelas, plazas de servicio y comerciales. NO Incluye mantenimiento de $3,000.00..DE155","/propiedades/departamento-en-vta-rta-juriquilla-de155-52133584.html","totales","Cancha de tenis 
Estacionamiento de visitas","Elevador(es) (2)
Alberca 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral 
Estado de conservación (Bueno)
Piso en el que se encuentra (4)
Número de departamentos (26)","3
			
					Recámaras","172 m²
			totales","_","queretaro","MN 4,150,000","Gimnasio","Departamento en Vta/rta - Juriquilla - De155","Sant Teresa, Juriquilla, Querétaro","_"
"Inmuebles24Item","Bodega(s) (1)
Sala de música y cine 
Salón de usos múltiples","","3
		
				Baños","Te ofrecemos 29 departamentos y 3 pent house, con un sistema arquitectónico vanguardista, diseño moderno, espacios planeados, todos nuestros departamentos con vista panorámicas y lo mejor doble amenidades tanto en la torre como las que ofrece Lucepolis Coto Club. Un desarrollo mas de Milenio III. Tenemos excelentes precios de contado, llámanos y con gusto nuestro equipo de asesores concertaran una cita para que conozca este maravilloso proyecto.","Departamento
													
Precio Venta
																	
MN 3,988,480
152m² Superficie de terreno
152m² Superficie construída
2 Recámaras
3 Baños
3 Estacionamientos
Antigüedad: A estrenar","Te ofrecemos 29 departamentos y 3 pent house, con un sistema arquitectónico vanguardista, diseño moderno, espacios planeados, todos nuestros departamentos con vista panorámicas y lo mejor doble amenidades tanto en la torre como las que ofrece Lucepolis Coto Club. Un desarrollo mas de Milenio III. Tenemos excelentes precios de contado, llámanos y con gusto nuestro equipo de asesores concertaran una cita para que conozca este maravilloso proyecto.","/propiedades/departamento-tipo-luxury-en-preventa-verticaria-51508269.html","totales","Estacionamiento de visitas","Elevador(es) (2)
Alberca 
Cuartos de servicio 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (1)","2
			
					Recámaras","152 m²
			totales","_","queretaro","MN 3,988,480","Gimnasio 
Calentador de agua 
Área de Juegos Infantiles","Departamento Tipo Luxury en Preventa, Verticaria Lucepolis, Querétaro","_","_"
"Inmuebles24Item","Business Center 
Cine 
Salón de Fiestas 
Salón de usos múltiples","","_","Condominio MODENA Es el lugar donde todos van a querer vivir, por su diseño vanguardista, por las amplias áreas de esparcimiento y los espacios recreativos, además de la excelente ubicación que tiene, hacen un distintivo muy significativo con cualquier oferta que existe en la zona. Condominio MODENA está dentro del fraccionamiento Terranova catalogado como medio residencial, el cual tiene el 85% vendido y entregado, además, a la entrada del fraccionamiento se está construyendo Paseo Terranova un Centro Comercial con tiendas boutique que sin duda ayudarán a incrementar la plusvalía de nuestros prototipos. Un éxito Total gracias a la confianza de nuestro clientes la 1a Etapa fue VENDIDA en 45 días, hemos iniciado con la Pre-Venta de 2a etapa que está conformada por 3 torres de 5 niveles con elevador.","Desarrollo vertical
													
Precio  desde
														
MN 1,315,000
101m² Superficie de terreno
101m² Superficie construída
3 Recámaras
Hasta 2 Baños
Hasta 2 Estacionamientos","Condominio MODENA Es el lugar donde todos van a querer vivir, por su diseño vanguardista, por las amplias áreas de esparcimiento y los espacios recreativos, además de la excelente ubicación que tiene, hacen un distintivo muy significativo con cualquier oferta que existe en la zona. Condominio MODENA está dentro del fraccionamiento Terranova catalogado como medio residencial, el cual tiene el 85% vendido y entregado, además, a la entrada del fraccionamiento se está construyendo Paseo Terranova un Centro Comercial con tiendas boutique que sin duda ayudarán a incrementar la plusvalía de nuestros prototipos. Un éxito Total gracias a la confianza de nuestro clientes la 1a Etapa fue VENDIDA en 45 días, hemos iniciado con la Pre-Venta de 2a etapa que está conformada por 3 torres de 5 niveles con elevador.","/propiedades/terranova-departamentos-modena-pre-penta-2a-etapa-51316225.html","Entrega Septiembre 2017","Árboles 
Estacionamiento de visitas 
Pista de Jogging 
Sky Garden","Elevador(es) (1)
Jardín(es) 
Alberca 
Acabados de Lujo 
Jacuzzi 
Seguridad 
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque","3 Recámaras","_","101 m² totales","queretaro","MN 1,315,000","Gimnasio 
Internet/Wifi 
Área de Juegos Infantiles 
Conmutador","Terranova Departamentos Modena (Pre - Venta) 2a Etapa","Avenida del Jacal 2, Jardines de La Hacienda, Querétaro","138 unidades"
"Inmuebles24Item","","","1
		
				Baño","Departamento de 2 cuartos diseñados por Humberto Artigas, reconocido arquitecto. Departamento ideal para pareja Joven, cuenta con 2 lugares de estacionamiento y todos los servicios al alcance, ademas de estar localizado en una de las colonias de mayor plusvalia en Querétaro. La calidad de los acabados es excelente, teniendo proveedores de la mas alta calidad, tales como Mabe, Maytag, Lamosa, Urrea, Porcelanite, Bticino, Monte Alban entre otros. Algunas características que complementan a este complejo son el acceso controlado y la vigilancia las 24 horas, Elevador, 6,000 M2 de areas verdes, Ciclopista, Cancha de Usos Multiples, Servicios Ocultos, Barda Perimetral, Jurgos Infantiles, Planta de pretratamiento de agua residual, Palapa para fiestas, etc.Otras Características:Espacios para autos: 2, M2 de Área Común: 6000, Vigilancia: SI,","Departamento
													
Precio Venta
																	
MN 1,893,000
6,000m² Superficie de terreno
135m² Superficie construída
2 Recámaras
1 Baño
Antigüedad: A estrenar","Departamento de 2 cuartos diseñados por Humberto Artigas, reconocido arquitecto. Departamento ideal para pareja Joven, cuenta con 2 lugares de estacionamiento y todos los servicios al alcance, ademas de estar localizado en una de las colonias de mayor plusvalia en Querétaro. La calidad de los acabados es excelente, teniendo proveedores de la mas alta calidad, tales como Mabe, Maytag, Lamosa, Urrea, Porcelanite, Bticino, Monte Alban entre otros. Algunas características que complementan a este complejo son el acceso controlado y la vigilancia las 24 horas, Elevador, 6,000 M2 de areas verdes, Ciclopista, Cancha de Usos Multiples, Servicios Ocultos, Barda Perimetral, Jurgos Infantiles, Planta de pretratamiento de agua residual, Palapa para fiestas, etc.Otras Características:Espacios para autos: 2, M2 de Área Común: 6000, Vigilancia: SI,","/propiedades/departamento-altavista-juriquilla-51629761.html","construidos","","Frente a parque (TRUE)","2
			
					Recámaras","_","_","queretaro","MN 1,893,000","","Departamento Altavista Juriquilla","_","_"
"Inmuebles24Item","Salón de usos múltiples 
Cuarto de TV","","2
		
				Baños","Departamento en segundo nivel, con espectacular vista a campo de golf, lagos, jardines, etc. -Seguridad 24hrs. -Cajones de estacionamiento para visitas. -Baños de servicios en cada torre. -Todos los servicios disponibles. -2 recamaras. -2.5 baños con canceles de baño de cristal templado. -Balcon en sala/comedor, y en las 2 recamaras. -Cocina integral de melanina italiana, cubierta de granito, estufa y campana de acero inoxidable Mabe línea de lujo. -Alacena. -Cuarto de lavado. -2 cajones de estacionamiento. -Elevador. -130.5 M2. Semi-amueblado incluye lavadora, secadora, refrigerador, un escritorio.","Departamento
													
Precio Venta
																	
MN 2,500,000
130m² Superficie de terreno
130m² Superficie construída
2 Recámaras
2 Baños
1 Medio baño
2 Estacionamientos
Antigüedad: A estrenar","Departamento en segundo nivel, con espectacular vista a campo de golf, lagos, jardines, etc. -Seguridad 24hrs. -Cajones de estacionamiento para visitas. -Baños de servicios en cada torre. -Todos los servicios disponibles. -2 recamaras. -2.5 baños con canceles de baño de cristal templado. -Balcon en sala/comedor, y en las 2 recamaras. -Cocina integral de melanina italiana, cubierta de granito, estufa y campana de acero inoxidable Mabe línea de lujo. -Alacena. -Cuarto de lavado. -2 cajones de estacionamiento. -Elevador. -130.5 M2. Semi-amueblado incluye lavadora, secadora, refrigerador, un escritorio.","/propiedades/departamento-en-zibata-semi-amueblado-51914079.html","totales","Estacionamiento de visitas","Amueblado (Semi)
Centros Comerciales Cercanos 
Escuelas Cercanas 
Frente a parque 
Cocina integral 
Estado de conservación (Excelente)
Piso en el que se encuentra (2)","2
			
					Recámaras","130 m²
			totales","_","queretaro","MN 2,500,000","Línea telefónica 
Seguridad privada 
Cisterna 
Área de Juegos Infantiles 
Gas","Departamento en Zibata Semi - Amueblado","_","_"
