"_id","product_name","Linked_Account_Required","Max_Interest_Rate","Max_Monthly_Interest","Base_Interest_Rate","Base_Monthly_Interest","All_Benefits","No_Account_Keeping_Fee","Internet_Banking","Counter_Service","Phone_Banking","Atm","Required_Linked_Account","Account_Type","Min_Opening_Amount","Min_Balance","Monthly_Account_Fee","Interest_Calculation_Frequency","Interest_Payment_Frequency","Interest_Paid_In_Steps","ATM_Withdrawal_Fee","ATM_Balance_Fee","Daily_ATM_Withdrawal_Limit","EFTPOS_Fee","Debit_Card_Replacement_Fee","Service_Fee_Frequency","Fee_Rebate_Available","Balance_Required_for_Fee_Free","Phone_Transaction_Fee","Internet_Transaction_Fee","Free_Electronic_Trans_per_Month","Counter_Deposit_Fee","Counter_Withdrawal_Fee","Free_Counter_Trans_Per_Month","Cheque_Fee","Cheque_Dishonour_Fee","Debit_Item_Dishonour_Fee","Overseas_ATM_Facilities","Overseas_ATM_Balance_Fee","Overseas_ATM_Withdrawal_Fee","Overseas_EFTPOS_Fee","OS_Emergency_Card_Replacement","Foreign_Transaction_Fee","Bankwest_Smart_eSaver_Smart_Rate_if_no_withdrawals","USaver","Savings_Term_Deposits","Home_Loans"
"http://www.infochoice.com.au/banking/savings-account/bankwest/bankwest-qantas-transaction-account/33883","Bankwest Qantas Transaction Account (Earn Qantas Points on your account balance 365 days a year)","","0.01%","$0.08","0.01%","$0.08","Earn Qantas Points on your account balance 365 days a year.
Earn 5 Qantas Points per eligible purchase.
$0 monthly account fees when you deposit at least $2,000 per month.
No ATM fees at Bankwest &amp;amp;amp; CommBank ATMs Australia wide.","No","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$6.00","Daily","Monthly","No","$0","$0","$1,000.00","$0","$15.00","Monthly","Yes","$0","$0","$0","","$0","$0","Unlimited","$0","$10.00","$10.00","-","$0","$0","$0","$0","2.95%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/hsbc/day-to-day-account/6275","Day to Day Account","","0.00%","$0.00","0.00%","$0.00","Open an HSBC Day to Day Account online.
Receive your HSBC Visa Debit Card and activate it.
Apply by 30 June 2016","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","Daily","Monthly","No","$0","$0","$1,000.00","$0","$0","","Yes","$0","$0","$0","Unlimited","$0","$5.00","0","$1.00","$40.00","$35.00","Cirrus, Maestro, VisaPlus","$0","$4.50","","$0","3.00%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/ing-direct/orange-everyday-use-any-atm-in-australia-for-free-when-you-deposit-your-pay-of--each-month/14857","Orange Everyday - Use any ATM in Australia for free when you deposit your pay of $1,000+ each month","","0.00%","$0.00","0.00%","$0.00","Fee free ATM usage in Australia. Offer applies for the next calendar month when you deposit your pay of $1,000+ by the last day of the preceding calendar month. Terms and conditions apply.","Yes","Yes","No","Yes","Yes","No","Trans","$0","$0","$0","","","No","$0","$0","$2,200.00","$0","$0","","Yes","$0","$0","$0","All","$0","$0","All","$0","$0","$0","VisaPlus","$0","$2.50","$0","$50.00","2.50%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bank-of-melbourne/complete-freedom/21127","Complete Freedom","","0.00%","$0.00","0.00%","$0.00","","No","Yes","Yes","Yes","Yes","No","Trans","$1.00","$0","$5.00","","","No","$0","$0","$2,000.00","$0","$15.00","","No","$0","$0","$0","unlimited","$0","$0","unlimited","$0","$9.00","$9.00","Cirrus, Maestro, VisaPlus","$0","$5.00","$0","$52.50","3.00%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/stgeorge/complete-freedom/6362","Complete Freedom","","0.00%","$0.00","0.00%","$0.00","New Complete Freedom customers who open an account and deposit $500 within 60 days will receive an additional $50 into the new account.*","No","Yes","Yes","Yes","Yes","No","Trans","$1.00","$0","$5.00","","","No","$0","$0","$2,000.00","$0","$15.00","","No","$0","$0","$0","unlimited","$0","$0","unlimited","$0","$9.00","$9.00","Cirrus, Maestro, VisaPlus","$0","$5.00","$0","$52.50","2.50%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/anz/anz-access-advantage/6272","ANZ Access Advantage (Get a $100 voucher for opening a new account and using your Visa Debit card 3 times. Offer eligibility applies.)","","0.00%","$0.00","0.00%","$0.00","Now with Apple Pay. Use your compatible Apple device to tap and pay when you’re out and about. Terms and Conditions apply. Visit anz.com/applepay for more information.","No","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$5.00","Daily","Quarterly","No","$0","$0","$1,000.00","$0","$0","Monthly","No","$0","$0","$0","Unlimited","$0","$0","Unlimited","$0","$6.00","$6.00","-","$0","$5.00","$0","$0","3.00%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bank-of-melbourne/express-freedom/21131","Express Freedom","","0.00%","$0.00","0.00%","$0.00","","No","Yes","Yes","Yes","Yes","No","Trans","$1.00","$0","$3.00","","","No","$0","$0","$2,000.00","$0","$15.00","Monthly","No","$0","$0","$0","unlimited","$0","$2.50","0","$1.00","$9.00","$9.00","Cirrus, Maestro, VisaPlus","$0","$5.00","$0","$52.50","3.00%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bank-of-melbourne/bank-of-melbourne-sense-everyday/21136","Bank of Melbourne Sense Everyday (must be linked to a Bank of Melbourne Sense Savings Account)","","0.00%","$0.00","0.00%","$0.00","","No","Yes","Yes","Yes","Yes","No","Trans","$1.00","$0","$5.00","","","No","$0","$0","$2,000.00","$0","$15.00","Monthly","No","$0","$0","$0","Unlimited","$0","$0","Unlimited","$0","$0","$9.00","VisaPlus","$5.00","$5.00","$5.00","$52.50","3.00%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/banksa/complete-freedom-account/6056","Complete Freedom Account","","0.00%","$0.00","0.00%","$0.00","","No","Yes","Yes","Yes","Yes","No","Trans","$1.00","$1.00","$5.00","","","No","$0","$0","$2,000.00","$0","$15.00","","No","$0","$0","$0","unlimited","$0","$0","unlimited","$0","$9.00","$9.00","VisaPlus, Other","$0","$5.00","$0","$52.50","","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/bankwest/bankwest-easy-transaction-account/7246","Bankwest Easy Transaction Account ($0 ATM fees at major Aus bank ATMs)","","0.00%","$0.00","0.00%","$0.00","","Yes","Yes","Yes","Yes","Yes","No","Trans","$0","$0","$0","","","No","$0","$0","$1,000.00","$0","$15.00","","Yes","$0","$0","$0","Unlimited","$0","$0","Unlimited","$0","$10.00","$10.00","-","$5.00","$5.00","$0","$0","2.95%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
"http://www.infochoice.com.au/banking/savings-account/stgeorge/express-freedom/6363","Express Freedom","","0.00%","$0.00","0.00%","$0.00","","No","Yes","Yes","Yes","Yes","No","Trans","$1.00","$0","$3.00","","","No","$0","$0","$2,000.00","$0","$15.00","Monthly","No","$0","$0","$0","unlimited","$0","$2.50","0","$1.00","$9.00","$9.00","Cirrus, Maestro, VisaPlus","$0","$5.00","$0","$52.50","2.50%","","","Savings Calculator
Term Deposit
Budget Planner","Borrowing Power Calculator
Loan Repayment Calculator
Stamp Duty Calculator"
